osmid,highway,oneway,reversed,length,name,geometry,bridge,maxspeed,ref,lanes
342896093,unclassified,False,True,96.154,,"LINESTRING (123.8789923 12.6648927, 123.8781132 12.6650027)",,,,
908010130,residential,False,False,84.87,C.Granado Street,"LINESTRING (123.8789923 12.6648927, 123.8789191 12.6656526)",,,,
342896088,unclassified,False,False,103.7,,"LINESTRING (123.8789923 12.6648927, 123.8796602 12.6647067, 123.8799163 12.6646562)",,,,
342896075,unclassified,False,True,64.048,Gullaba Street,"LINESTRING (123.87571 12.6648718, 123.8751201 12.664849)",,,,
351449946,unclassified,False,False,47.55,Gerona Street,"LINESTRING (123.87571 12.6648718, 123.8757146 12.6652994)",,,,
"[342896058, 342896075, 342896093]",unclassified,False,False,158.49399999999997,Gullaba Street,"LINESTRING (123.87571 12.6648718, 123.8761112 12.6648816, 123.8763832 12.6648779, 123.877157 12.6650209)",yes,,,
342896088,unclassified,False,False,85.25800000000001,,"LINESTRING (123.8799163 12.6646562, 123.8801057 12.6646172, 123.8806815 12.6644818)",,,,
342896088,unclassified,False,True,103.7,,"LINESTRING (123.8799163 12.6646562, 123.8796602 12.6647067, 123.8789923 12.6648927)",,,,
342896075,unclassified,False,False,63.59,Gullaba Street,"LINESTRING (123.8745341 12.6648365, 123.8751201 12.664849)",,,,
564504448,secondary,False,True,45.866,C. Gotladera Street,"LINESTRING (123.8745341 12.6648365, 123.874496 12.6652473)",,40,,
342896051,tertiary,False,False,48.438,,"LINESTRING (123.8751201 12.664849, 123.8750964 12.665284)",,,,
342896075,unclassified,False,False,64.048,Gullaba Street,"LINESTRING (123.8751201 12.664849, 123.87571 12.6648718)",,,,
342896075,unclassified,False,True,63.59,Gullaba Street,"LINESTRING (123.8751201 12.664849, 123.8745341 12.6648365)",,,,
342896093,unclassified,False,False,96.154,,"LINESTRING (123.8781132 12.6650027, 123.8789923 12.6648927)",,,,
604094944,residential,False,True,77.516,,"LINESTRING (123.8781132 12.6650027, 123.8781849 12.6656963)",,,,
342896093,unclassified,False,True,103.972,,"LINESTRING (123.8781132 12.6650027, 123.8776647 12.6650391, 123.8774082 12.6650379, 123.877157 12.6650209)",,,,
342896071,residential,False,False,81.982,,"LINESTRING (123.877157 12.6650209, 123.877146 12.6657581)",,,,
342896093,unclassified,False,False,103.97200000000001,,"LINESTRING (123.877157 12.6650209, 123.8774082 12.6650379, 123.8776647 12.6650391, 123.8781132 12.6650027)",,,,
"[342896058, 342896075, 342896093]",unclassified,False,True,158.494,Gullaba Street,"LINESTRING (123.877157 12.6650209, 123.8763832 12.6648779, 123.8761112 12.6648816, 123.87571 12.6648718)",yes,,,
342896067,residential,False,False,79.801,,"LINESTRING (123.8789191 12.6656526, 123.8781849 12.6656963)",,,,
908010130,residential,False,False,70.367,C.Granado Street,"LINESTRING (123.8789191 12.6656526, 123.8788527 12.6662821)",,,,
908010130,residential,False,True,84.87,C.Granado Street,"LINESTRING (123.8789191 12.6656526, 123.8789923 12.6648927)",,,,
342896067,residential,False,True,112.919,,"LINESTRING (123.877146 12.6657581, 123.8781849 12.6656963)",,,,
342896071,residential,False,False,64.89,,"LINESTRING (123.877146 12.6657581, 123.877137 12.6663416)",,,,
342896071,residential,False,True,81.982,,"LINESTRING (123.877146 12.6657581, 123.877157 12.6650209)",,,,
342896053,residential,False,False,171.761,,"LINESTRING (123.8807557 12.6661963, 123.8807735 12.666429, 123.8807641 12.6665369, 123.8807081 12.666622, 123.8807096 12.6670596, 123.8807965 12.6672812, 123.8808338 12.6673765, 123.880968 12.667674)",,,,
342896094,secondary,False,True,105.632,T. de Castro Street,"LINESTRING (123.8807557 12.6661963, 123.8805471 12.666213, 123.8800801 12.6662409, 123.8797838 12.6662512)",,,645,
342896094,secondary,False,False,4.516,T. de Castro Street,"LINESTRING (123.8797422 12.6662527, 123.8797838 12.6662512)",,,645,
342896094,secondary,False,True,96.556,T. de Castro Street,"LINESTRING (123.8797422 12.6662527, 123.8788527 12.6662821)",,,645,
342896094,secondary,False,False,96.556,T. de Castro Street,"LINESTRING (123.8788527 12.6662821, 123.8797422 12.6662527)",,,645,
342896094,secondary,False,True,65.569,T. de Castro Street,"LINESTRING (123.8788527 12.6662821, 123.8782487 12.666303)",,,645,
908010130,residential,False,True,70.367,C.Granado Street,"LINESTRING (123.8788527 12.6662821, 123.8789191 12.6656526)",,,,
908010129,tertiary,False,False,168.353,C.Granado Street,"LINESTRING (123.8788527 12.6662821, 123.8787534 12.6673454, 123.8786877 12.6677871)",,,,
342896071,residential,False,True,64.89,,"LINESTRING (123.877137 12.6663416, 123.877146 12.6657581)",,,,
