osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,width,access
26600287,True,2,145,secondary,60,False,10.046,,"LINESTRING (120.9908797 14.6003579, 120.9909617 14.6003147)",,
704746733,True,3,180,secondary,60,False,155.311,Legarda Street,"LINESTRING (120.9908797 14.6003579, 120.9908126 14.6002815, 120.9907575 14.6001847, 120.9902903 14.5992268, 120.9902344 14.5991122)",,
187486758,False,4,,tertiary,30,False,9.048,San Rafael Street,"LINESTRING (120.9902344 14.5991122, 120.9903078 14.5990725)",,
187486758,False,4,,tertiary,30,True,94.027,San Rafael Street,"LINESTRING (120.9902344 14.5991122, 120.990159 14.5991475, 120.9898715 14.5992822, 120.989782 14.5993105, 120.9897089 14.5993246, 120.9896165 14.5993227, 120.9895772 14.59932, 120.98941 14.5992897)",,
12254885,False,2,,residential,30,True,114.658,M. F. Jhocson Street,"LINESTRING (120.995976 14.6030556, 120.9952406 14.6038018)",,
12255029,False,2,,unclassified,40,True,54.659,G. Tuazon Street,"LINESTRING (120.995976 14.6030556, 120.9964499 14.6032326)",7.3,
832779575,False,2,,unclassified,40,False,18.996,G. Tuazon Street,"LINESTRING (120.995976 14.6030556, 120.9958052 14.6030124)",7.3,
12254885,False,2,,residential,30,False,164.861,M. F. Jhocson Street,"LINESTRING (120.9942098 14.6048987, 120.9952406 14.6038018)",,
12254885,False,2,,residential,30,True,161.339,M. F. Jhocson Street,"LINESTRING (120.9942098 14.6048987, 120.9931813 14.6059545)",,
832779572,False,2,,unclassified,30,True,40.66,F. Jhocson Street,"LINESTRING (120.9942098 14.6048987, 120.9939414 14.6046413)",,
832779572,False,2,,unclassified,30,False,82.27199999999999,F. Jhocson Street,"LINESTRING (120.9942098 14.6048987, 120.9944877 14.6051458, 120.9947656 14.6054067)",,
256019242,False,4,,tertiary,50,False,83.924,M. Earnshaw Street,"LINESTRING (120.9931408 14.6039899, 120.9931128 14.604175, 120.9931276 14.6045948, 120.9931339 14.6047423)",12.2,
832779572,False,2,,unclassified,30,False,72.979,F. Jhocson Street,"LINESTRING (120.9931408 14.6039899, 120.9933021 14.6040828, 120.9933996 14.6041532, 120.9936733 14.6043925)",,
846779439,False,4,,tertiary,50,True,73.272,M. Earnshaw Street,"LINESTRING (120.9931408 14.6039899, 120.9931317 14.6037035, 120.9931158 14.6033314)",12.2,
5019952,True,2,180,secondary,60,False,52.114000000000004,Legarda Street,"LINESTRING (120.9926515 14.6015581, 120.992494 14.6014726, 120.9923925 14.601412, 120.9922329 14.6013225)",,
310627473,False,4,,tertiary,50,True,8.982,J. Figueras Street,"LINESTRING (120.9926515 14.6015581, 120.9926505 14.601526, 120.992648 14.6014774)",13,
1250769554,False,4,,tertiary,50,False,36.754000000000005,J. Figueras Street,"LINESTRING (120.9926515 14.6015581, 120.9926865 14.6016567, 120.9927674 14.601869)",12,
704746730,True,3,145,secondary,60,False,10.314,,"LINESTRING (120.9910384 14.6003691, 120.9909673 14.6004313)",,
"[704746731, 1250769556]",True,2,180,secondary,60,False,167.405,Legarda Street,"LINESTRING (120.9910384 14.6003691, 120.9911004 14.6004181, 120.9911674 14.6004746, 120.9911907 14.6004973, 120.991257 14.6005579, 120.9912932 14.6005962, 120.9914865 14.6008136, 120.9916542 14.6009393, 120.9918868 14.6010628, 120.9921338 14.6011918, 120.9922669 14.6012676)",,
187489436,False,2,,tertiary,40,True,82.076,Loyola Street,"LINESTRING (120.9888487 14.6030726, 120.9891929 14.6037313)",,
832779578,True,2,,tertiary,40,False,11.885,J. Fajardo Street,"LINESTRING (120.9949489 14.6075507, 120.9948687 14.6074772)",8,
97047524,True,4,170,primary,60,False,43.549,España Boulevard,"LINESTRING (120.9894405 14.6067195, 120.9891444 14.6064525)",11.1,
"[97047523, 604094399]",False,2,,tertiary,30,False,10.631,Padre Noval Street,"LINESTRING (120.9894405 14.6067195, 120.9894767 14.6066803, 120.989507 14.6066488)",,
