osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge
906003488,residential,False,True,74.961,"LINESTRING (124.392086 11.2114954, 124.3921369 11.2111784, 124.3922576 11.2108456)",,,,
165831082,residential,False,False,165.09000000000003,"LINESTRING (124.3948223 11.211633, 124.3947767 11.211675, 124.3945541 11.2117636, 124.3945253 11.2117983, 124.394516 11.2118422, 124.3945327 11.2120203, 124.3945355 11.2121619, 124.3945271 11.2122971, 124.3945141 11.2123427, 124.394488 11.2123747, 124.3944424 11.2124012, 124.3944107 11.2124094, 124.3942474 11.2124118, 124.3940941 11.212414, 124.393932 11.2124083)",,,,
165831095,residential,False,False,55.991,"LINESTRING (124.3915993 11.2116555, 124.392086 11.2114954)",,,,
335899837,tertiary,False,False,46.341,"LINESTRING (124.3915993 11.2116555, 124.391702 11.2118768, 124.3917187 11.2119554, 124.3917098 11.2120483)",,,,
335899837,tertiary,False,True,130.55,"LINESTRING (124.3915993 11.2116555, 124.3915604 11.2115717, 124.3914673 11.2113744, 124.391363 11.2112283, 124.3908842 11.210728)",,,,
165831079,residential,False,False,44.743,"LINESTRING (124.3930137 11.2122172, 124.3929547 11.2126154)",,,,
165831124,residential,False,True,114.627,"LINESTRING (124.3930137 11.2122172, 124.3919722 11.2120795)",,,,
165831079,residential,False,True,106.119,"LINESTRING (124.3930137 11.2122172, 124.393079 11.2117426, 124.3931218 11.2115229, 124.3931735 11.2112763)",,,,
165831124,residential,False,False,66.53699999999999,"LINESTRING (124.3930137 11.2122172, 124.3934728 11.2122386, 124.393536 11.2122606, 124.3936088 11.2123004)",,,,
165831122,residential,False,False,39.094,"LINESTRING (124.3936088 11.2123004, 124.3935403 11.2126455)",,,,
165831124,residential,False,False,37.44,"LINESTRING (124.3936088 11.2123004, 124.3936611 11.212329, 124.393777 11.2123729, 124.393932 11.2124083)",,,,
165831124,residential,False,True,66.537,"LINESTRING (124.3936088 11.2123004, 124.393536 11.2122606, 124.3934728 11.2122386, 124.3930137 11.2122172)",,,,
247049793,primary,False,False,31.721,"LINESTRING (124.393932 11.2124083, 124.3938743 11.2126879)",2,684,Villaba-Palompon Road,
165831082,residential,False,True,165.09,"LINESTRING (124.393932 11.2124083, 124.3940941 11.212414, 124.3942474 11.2124118, 124.3944107 11.2124094, 124.3944424 11.2124012, 124.394488 11.2123747, 124.3945141 11.2123427, 124.3945271 11.2122971, 124.3945355 11.2121619, 124.3945327 11.2120203, 124.394516 11.2118422, 124.3945253 11.2117983, 124.3945541 11.2117636, 124.3947767 11.211675, 124.3948223 11.211633)",,,,
165831124,residential,False,True,37.44,"LINESTRING (124.393932 11.2124083, 124.393777 11.2123729, 124.3936611 11.212329, 124.3936088 11.2123004)",,,,
"[247049793, 165831081]",primary,False,True,215.287,"LINESTRING (124.393932 11.2124083, 124.3939841 11.2120703, 124.3939841 11.2119351, 124.3939618 11.2117744, 124.3938835 11.2114729, 124.3936216 11.2105212)",2,684,Villaba-Palompon Road,
165831102,tertiary,False,True,44.666,"LINESTRING (124.3916065 11.212437, 124.3917098 11.2120483)",,,,
165831103,residential,False,False,32.877,"LINESTRING (124.3916065 11.212437, 124.3919051 11.2124774)",,,,
"[165831102, 335899839]",tertiary,False,"[False, True]",139.44299999999998,"LINESTRING (124.3916065 11.212437, 124.3916024 11.2124563, 124.3914659 11.2129911, 124.3913811 11.2133108, 124.391731 11.2133919)",,,,
165831079,residential,False,False,113.681,"LINESTRING (124.3929547 11.2126154, 124.3928769 11.2136349)",,,,
165831079,residential,False,True,44.743,"LINESTRING (124.3929547 11.2126154, 124.3930137 11.2122172)",,,,
165831103,residential,False,False,63.961,"LINESTRING (124.3929547 11.2126154, 124.3935403 11.2126455)",,,,
165831103,residential,False,True,115.506,"LINESTRING (124.3929547 11.2126154, 124.3919051 11.2124774)",,,,
165831103,residential,False,False,36.734,"LINESTRING (124.3935403 11.2126455, 124.3938743 11.2126879)",,,,
165831103,residential,False,True,63.961,"LINESTRING (124.3935403 11.2126455, 124.3929547 11.2126154)",,,,
165831122,residential,False,True,39.094,"LINESTRING (124.3935403 11.2126455, 124.3936088 11.2123004)",,,,
165831122,residential,False,False,126.049,"LINESTRING (124.3935403 11.2126455, 124.393513 11.2127703, 124.3934024 11.2134652, 124.3933377 11.2137611)",,,,
165831103,residential,False,True,36.734,"LINESTRING (124.3938743 11.2126879, 124.3935403 11.2126455)",,,,
247049793,primary,False,True,31.721,"LINESTRING (124.3938743 11.2126879, 124.393932 11.2124083)",2,684,Villaba-Palompon Road,
247049793,primary,False,False,134.819,"LINESTRING (124.3938743 11.2126879, 124.3938524 11.212822, 124.3938395 11.2129817, 124.3938381 11.2136905, 124.3938583 11.2138972)",2,684,Villaba-Palompon Road,
165831120,residential,False,False,49.813,"LINESTRING (124.3922845 11.2135093, 124.3922159 11.2139522)",,,,
335899839,tertiary,False,False,61.767,"LINESTRING (124.3922845 11.2135093, 124.391731 11.2133919)",,,,
335899839,tertiary,False,True,66.107,"LINESTRING (124.3922845 11.2135093, 124.3928769 11.2136349)",,,,
165831114,residential,False,True,48.635,"LINESTRING (124.3912052 11.2137737, 124.3916421 11.2138611)",,,,
165831083,tertiary,False,False,44.175,"LINESTRING (124.3916421 11.2138611, 124.3915693 11.2142519)",,,,
165831083,tertiary,False,True,53.066,"LINESTRING (124.3916421 11.2138611, 124.391731 11.2133919)",,,,
165831114,residential,False,False,48.635,"LINESTRING (124.3916421 11.2138611, 124.3912052 11.2137737)",,,,
165831114,residential,False,True,63.4,"LINESTRING (124.3916421 11.2138611, 124.3922159 11.2139522)",,,,
247049793,primary,False,False,34.114,"LINESTRING (124.3938583 11.2138972, 124.3938742 11.2142036)",2,684,Villaba-Palompon Road,
165831107,primary_link,False,False,26.269,"LINESTRING (124.3938583 11.2138972, 124.3938221 11.2139373, 124.3937364 11.2139775, 124.3936478 11.2139989)",,,,
247049793,primary,False,True,134.819,"LINESTRING (124.3938583 11.2138972, 124.3938381 11.2136905, 124.3938395 11.2129817, 124.3938524 11.212822, 124.3938743 11.2126879)",2,684,Villaba-Palompon Road,
165831114,residential,False,False,63.4,"LINESTRING (124.3922159 11.2139522, 124.3916421 11.2138611)",,,,
165831114,residential,False,True,69.677,"LINESTRING (124.3922159 11.2139522, 124.3928499 11.214029)",,,,
165831120,residential,False,False,42.37,"LINESTRING (124.3922159 11.2139522, 124.3921711 11.2143307)",,,,
165831120,residential,False,True,49.813,"LINESTRING (124.3922159 11.2139522, 124.3922845 11.2135093)",,,,
335899839,tertiary,False,True,33.584,"LINESTRING (124.3936478 11.2139989, 124.3938742 11.2142036)",,,,
165831107,primary_link,False,True,26.269000000000002,"LINESTRING (124.3936478 11.2139989, 124.3937364 11.2139775, 124.3938221 11.2139373, 124.3938583 11.2138972)",,,,
335899839,tertiary,False,False,43.009,"LINESTRING (124.3936478 11.2139989, 124.3935797 11.2139342, 124.3933377 11.2137611)",,,,
165831079,residential,False,False,44.535,"LINESTRING (124.3928499 11.214029, 124.3928156 11.2144281)",,,,
165831079,residential,False,True,43.921,"LINESTRING (124.3928499 11.214029, 124.3928769 11.2136349)",,,,
165831114,residential,False,False,69.677,"LINESTRING (124.3928499 11.214029, 124.3922159 11.2139522)",,,,
165831114,residential,False,True,48.031,"LINESTRING (124.3928499 11.214029, 124.3932852 11.2140943)",,,,
165831114,residential,False,False,48.031,"LINESTRING (124.3932852 11.2140943, 124.3928499 11.214029)",,,,
165831122,residential,False,False,43.864,"LINESTRING (124.3932852 11.2140943, 124.3932654 11.2144883)",,,,
165831122,residential,False,True,37.49,"LINESTRING (124.3932852 11.2140943, 124.3933377 11.2137611)",,,,
165831118,residential,False,False,44.97,"LINESTRING (124.3911623 11.2141873, 124.3915693 11.2142519)",,,Zulueta,
247049793,primary,False,True,34.114,"LINESTRING (124.3938742 11.2142036, 124.3938583 11.2138972)",2,684,Villaba-Palompon Road,
335899839,tertiary,False,False,33.584,"LINESTRING (124.3938742 11.2142036, 124.3936478 11.2139989)",,,,
716025778,primary,False,True,46.682,"LINESTRING (124.3938742 11.2142036, 124.3939539 11.2144567, 124.3940087 11.214602)",2,684,Santo Rosario-Villaba Road,
165831083,tertiary,False,False,77.018,"LINESTRING (124.3915693 11.2142519, 124.391481 11.2149391)",,,,
165831083,tertiary,False,True,44.175,"LINESTRING (124.3915693 11.2142519, 124.3916421 11.2138611)",,,,
165831118,residential,False,False,66.222,"LINESTRING (124.3915693 11.2142519, 124.3921711 11.2143307)",,,Zulueta,
165831118,residential,False,True,44.97,"LINESTRING (124.3915693 11.2142519, 124.3911623 11.2141873)",,,Zulueta,
165831118,residential,False,False,71.126,"LINESTRING (124.3921711 11.2143307, 124.3928156 11.2144281)",,,Zulueta,
165831118,residential,False,True,66.222,"LINESTRING (124.3921711 11.2143307, 124.3915693 11.2142519)",,,Zulueta,
165831120,residential,False,False,80.815,"LINESTRING (124.3921711 11.2143307, 124.3920731 11.2150511)",,,,
165831120,residential,False,True,42.37,"LINESTRING (124.3921711 11.2143307, 124.3922159 11.2139522)",,,,
165831079,residential,False,True,44.535,"LINESTRING (124.3928156 11.2144281, 124.3928499 11.214029)",,,,
165831118,residential,False,False,49.515,"LINESTRING (124.3928156 11.2144281, 124.3932654 11.2144883)",,,Zulueta,
165831118,residential,False,True,71.126,"LINESTRING (124.3928156 11.2144281, 124.3921711 11.2143307)",,,Zulueta,
165831118,residential,False,False,82.053,"LINESTRING (124.3932654 11.2144883, 124.3940087 11.214602)",,,Zulueta,
165831118,residential,False,True,49.515,"LINESTRING (124.3932654 11.2144883, 124.3928156 11.2144281)",,,Zulueta,
165831122,residential,False,True,43.864,"LINESTRING (124.3932654 11.2144883, 124.3932852 11.2140943)",,,,
165831118,residential,False,True,82.053,"LINESTRING (124.3940087 11.214602, 124.3932654 11.2144883)",,,Zulueta,
"[716025776, 716025777, 716025775]",primary,False,True,137.275,"LINESTRING (124.3940087 11.214602, 124.3942915 11.2153584, 124.394312 11.2154167, 124.3944309 11.2157649)",2,684,Santo Rosario-Villaba Road,yes
716025778,primary,False,False,46.682,"LINESTRING (124.3940087 11.214602, 124.3939539 11.2144567, 124.3938742 11.2142036)",2,684,Santo Rosario-Villaba Road,
165831083,tertiary,False,True,77.018,"LINESTRING (124.391481 11.2149391, 124.3915693 11.2142519)",,,,
165831085,residential,False,True,65.771,"LINESTRING (124.391481 11.2149391, 124.3920731 11.2150511)",,,,
