osmid,lanes,highway,oneway,reversed,length,name,geometry
32373338,2,unclassified,False,False,116.591,,"LINESTRING (123.7898894 13.29021, 123.7904683 13.2910943)"
103636825,2,secondary,False,False,78.553,Bacacay Road,"LINESTRING (123.7898894 13.29021, 123.7893202 13.2906484)"
103636825,2,secondary,False,True,42.347,Bacacay Road,"LINESTRING (123.7898894 13.29021, 123.7901953 13.2899725)"
32373338,2,unclassified,False,False,80.675,,"LINESTRING (123.7925198 13.294248, 123.7929336 13.2948515)"
32373338,2,unclassified,False,True,61.219,,"LINESTRING (123.7925198 13.294248, 123.7922284 13.2937761)"
92403608,,residential,False,False,58.865,,"LINESTRING (123.7925198 13.294248, 123.7920383 13.2944943)"
92403608,,residential,False,True,89.632,,"LINESTRING (123.7925198 13.294248, 123.7932485 13.2938648)"
92403616,,residential,False,True,79.237,,"LINESTRING (123.7936011 13.2910466, 123.7942248 13.2906733)"
32373338,2,unclassified,False,True,59.147,,"LINESTRING (123.7932289 13.2952991, 123.7929336 13.2948515)"
92403606,,residential,False,False,72.394,,"LINESTRING (123.7932289 13.2952991, 123.7938279 13.2950092)"
92403606,,residential,False,True,62.544,,"LINESTRING (123.7932289 13.2952991, 123.7927126 13.2955519)"
32373338,2,unclassified,False,False,193.61599999999999,,"LINESTRING (123.7932289 13.2952991, 123.7941688 13.2967421, 123.7941842 13.2967712)"
92403612,,residential,False,False,122.611,,"LINESTRING (123.7954275 13.290474, 123.7944568 13.2910427)"
92403609,,residential,False,False,171.07299999999998,,"LINESTRING (123.7954275 13.290474, 123.7955415 13.2906735, 123.7945879 13.2912311, 123.7944568 13.2910427)"
92403621,,residential,False,False,60.819,,"LINESTRING (123.7937724 13.2920936, 123.7934952 13.2916178)"
92403627,,residential,False,False,139.679,,"LINESTRING (123.7937724 13.2920936, 123.7926791 13.2927613)"
92403621,,residential,False,True,70.511,,"LINESTRING (123.7937724 13.2920936, 123.7937817 13.2921065, 123.7941157 13.2925717, 123.7941456 13.2926134)"
92403605,,residential,False,False,54.073,,"LINESTRING (123.7919412 13.2913461, 123.7915507 13.2916495)"
92403622,,residential,False,True,15.657,,"LINESTRING (123.7919412 13.2913461, 123.7920152 13.2914671)"
92403622,,residential,False,False,110.786,,"LINESTRING (123.7919412 13.2913461, 123.7918457 13.2911439, 123.7915137 13.2904408)"
92403626,,residential,False,False,161.696,,"LINESTRING (123.7886964 13.2925304, 123.7886962 13.2925702, 123.7887123 13.29269, 123.7887205 13.2927263, 123.7887789 13.2929293, 123.7889027 13.2931702, 123.7890731 13.2934054, 123.7893366 13.2938211)"
92403626,,residential,False,True,55.019999999999996,,"LINESTRING (123.7886964 13.2925304, 123.7887221 13.292236, 123.7886685 13.2920436)"
