osmid,lanes,highway,maxspeed,oneway,reversed,length,ref,name,geometry
112137381,2,residential,20,False,True,59.568,,,"LINESTRING (120.7586879 14.9519593, 120.758134 14.9519347)"
835213685,4,trunk,60,False,False,67.645,2,MacArthur Highway,"LINESTRING (120.7586879 14.9519593, 120.7586461 14.9525663)"
835213685,4,trunk,60,False,True,174.05900000000003,2,MacArthur Highway,"LINESTRING (120.7586879 14.9519593, 120.7587603 14.9511287, 120.7588019 14.950398)"
112136997,2,tertiary,40,False,True,312.737,,River Control Road,"LINESTRING (120.7611063 14.9464234, 120.7605988 14.9472264, 120.7604895 14.9474353, 120.7604214 14.9476584, 120.7603936 14.9478275, 120.7603886 14.9479739, 120.7604107 14.948116, 120.7604702 14.9482736, 120.7605102 14.9483623, 120.7605789 14.9485083, 120.7606235 14.9486104, 120.7607304 14.9488442, 120.760817 14.9489714)"
37862870,2,secondary,40,False,True,68.494,,Gonzales Avenue,"LINESTRING (120.7588019 14.950398, 120.7594255 14.9505262)"
835213685,4,trunk,60,False,True,105.387,2,MacArthur Highway,"LINESTRING (120.7588019 14.950398, 120.7588635 14.9494521)"
835213685,4,trunk,60,False,False,174.05900000000003,2,MacArthur Highway,"LINESTRING (120.7588019 14.950398, 120.7587603 14.9511287, 120.7586879 14.9519593)"
37862641,2,tertiary,40,False,False,238.198,,Dalan Iglesia,"LINESTRING (120.7624948 14.9513243, 120.7612657 14.9531072)"
37862870,2,secondary,40,False,True,102.789,,Gonzales Avenue,"LINESTRING (120.7624948 14.9513243, 120.7634155 14.9515758)"
"[37862641, 828392397]",2,tertiary,40,False,True,101.272,,Dalan Iglesia,"LINESTRING (120.7624948 14.9513243, 120.7629876 14.9505503, 120.7629886 14.9505485)"
37862870,2,secondary,40,False,False,341.47299999999996,,Gonzales Avenue,"LINESTRING (120.7624948 14.9513243, 120.760546 14.9508132, 120.7594255 14.9505262)"
835213685,4,trunk,60,False,False,105.387,2,MacArthur Highway,"LINESTRING (120.7588635 14.9494521, 120.7588019 14.950398)"
37862872,2,tertiary,40,False,True,228.51399999999998,,Pigulut Road,"LINESTRING (120.7588635 14.9494521, 120.7592284 14.9495143, 120.7596092 14.949557, 120.7599033 14.9495189, 120.7602322 14.9493501, 120.7604749 14.9491951, 120.760817 14.9489714)"
37862873,2,secondary,60,False,False,76.723,,Apalit-Macabebe Road,"LINESTRING (120.7588635 14.9494521, 120.7583566 14.9493484, 120.7581669 14.9493007)"
835213685,4,trunk,60,False,True,131.44299999999998,2,MacArthur Highway,"LINESTRING (120.7588635 14.9494521, 120.7588837 14.9491774, 120.7589024 14.9489105, 120.7589212 14.9484375, 120.7589172 14.9482717)"
37862872,2,tertiary,40,False,False,228.514,,Pigulut Road,"LINESTRING (120.760817 14.9489714, 120.7604749 14.9491951, 120.7602322 14.9493501, 120.7599033 14.9495189, 120.7596092 14.949557, 120.7592284 14.9495143, 120.7588635 14.9494521)"
112136997,2,tertiary,40,False,False,312.737,,River Control Road,"LINESTRING (120.760817 14.9489714, 120.7607304 14.9488442, 120.7606235 14.9486104, 120.7605789 14.9485083, 120.7605102 14.9483623, 120.7604702 14.9482736, 120.7604107 14.948116, 120.7603886 14.9479739, 120.7603936 14.9478275, 120.7604214 14.9476584, 120.7604895 14.9474353, 120.7605988 14.9472264, 120.7611063 14.9464234)"
