osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge,ref,maxspeed
23435530,D. Samiano Street,residential,False,False,71.861,,"LINESTRING (121.3133897 14.144741, 121.3137211 14.1441803)",,,
395067246,G. Medel Street,tertiary,False,True,99.552,2,"LINESTRING (121.3133897 14.144741, 121.3127116 14.1441334)",,,
"[23435530, 23435445]","['D. Samiano Street', 'A. Alvela Street']",residential,False,"[False, True]",130.423,,"LINESTRING (121.3133897 14.144741, 121.313158 14.1450822, 121.3130721 14.1452154, 121.313055 14.1452653, 121.3130721 14.1453236, 121.3130979 14.1453652, 121.3134841 14.1456066)",,,
"[395067248, 23435596, 395067246]",G. Medel Street,tertiary,False,False,167.558,2,"LINESTRING (121.3133897 14.144741, 121.3138233 14.1450404, 121.3139455 14.145134, 121.3145275 14.1455264, 121.3146825 14.1455513)",yes,,
23435750,Marfori Subdivision Road 2,residential,False,True,209.988,,"LINESTRING (121.3155027 14.1484854, 121.3139058 14.1474044)",,,
23435427,Marfori Subdivision Road 1,residential,False,True,185.401,,"LINESTRING (121.3155919 14.1478757, 121.3141268 14.1470029)",,,
23434462,Calle Aleman,residential,False,False,76.551,,"LINESTRING (121.3148558 14.1414416, 121.3154782 14.1411104)",,,
23434873,J. del Valle Street,residential,False,False,31.203,,"LINESTRING (121.3148558 14.1414416, 121.3150192 14.1416732)",,,
23434462,Calle Aleman,residential,False,True,220.39999999999998,,"LINESTRING (121.3148558 14.1414416, 121.3142834 14.1417771, 121.3141682 14.1418331, 121.3139174 14.1419748, 121.3130299 14.1423196)",,,
395067246,G. Medel Street,tertiary,False,False,99.552,2,"LINESTRING (121.3127116 14.1441334, 121.3133897 14.144741)",,,
31558559,Juan V. Brion Street,residential,False,False,163.041,,"LINESTRING (121.3127116 14.1441334, 121.313158 14.1435092, 121.3136195 14.1429623)",,,
395067246,G. Medel Street,tertiary,False,True,176.022,2,"LINESTRING (121.3127116 14.1441334, 121.3120361 14.1433318, 121.3116734 14.1429118)",,,
23435750,Marfori Subdivision Road 2,residential,False,False,209.988,,"LINESTRING (121.3139058 14.1474044, 121.3155027 14.1484854)",,,
144971190,Mariano Marfori Avenue,primary,False,False,47.359,2,"LINESTRING (121.3139058 14.1474044, 121.3137052 14.1477833)",,67,50
144971190,Mariano Marfori Avenue,primary,False,True,50.605999999999995,2,"LINESTRING (121.3139058 14.1474044, 121.3139914 14.147249, 121.3141268 14.1470029)",,67,50
23434088,Alfredo M. Marfori Street,tertiary,False,False,39.033,1,"LINESTRING (121.3164693 14.1477726, 121.3161733 14.1475705)",,,40
62214654,Roxas,residential,False,True,79.596,1,"LINESTRING (121.3164693 14.1477726, 121.3169038 14.1471939)",,,
23435427,Marfori Subdivision Road 1,residential,False,False,185.401,,"LINESTRING (121.3141268 14.1470029, 121.3155919 14.1478757)",,,
144971190,Mariano Marfori Avenue,primary,False,False,50.605999999999995,2,"LINESTRING (121.3141268 14.1470029, 121.3139914 14.147249, 121.3139058 14.1474044)",,67,50
"[144971190, 436215047]",Mariano Marfori Avenue,primary,False,True,93.24499999999999,2,"LINESTRING (121.3141268 14.1470029, 121.314399 14.1464769, 121.3145165 14.1462543)",,67,50
44502433,J. Castro Street,residential,False,False,45.818,,"LINESTRING (121.3170295 14.141804, 121.3174356 14.1419253)",,,
44502433,J. Castro Street,residential,False,True,50.652,,"LINESTRING (121.3170295 14.141804, 121.3165908 14.1416411)",,,
26509601,P. Velasco Street,residential,False,True,155.011,,"LINESTRING (121.3170295 14.141804, 121.3168207 14.1420108, 121.3165936 14.1422627, 121.31631 14.1425995, 121.3160723 14.1428429)",,,
436215047,Mariano Marfori Avenue,primary,False,True,72.586,2,"LINESTRING (121.3145165 14.1462543, 121.314849 14.1456867)",,67,50
"[23435445, 395067221, 395067223]",A. Alvela Street,residential,False,True,132.586,,"LINESTRING (121.3145165 14.1462543, 121.3136304 14.1457016, 121.3135404 14.1456432, 121.3134841 14.1456066)",yes,,
"[144971190, 436215047]",Mariano Marfori Avenue,primary,False,False,93.24499999999999,2,"LINESTRING (121.3145165 14.1462543, 121.314399 14.1464769, 121.3141268 14.1470029)",,67,50
684894326,Margarita Roxas Viuda de Soriano,residential,True,False,10.883,,"LINESTRING (121.3153644 14.1441956, 121.3152637 14.1442022)",,,
23435988,Margarita Roxas Viuda de Soriano,residential,False,True,98.18,,"LINESTRING (121.3153644 14.1441956, 121.3155009 14.1442867, 121.3159217 14.144573, 121.3159408 14.1446543, 121.3159008 14.1447419, 121.3158732 14.1447776)",,,
23434873,J. del Valle Street,residential,False,True,120.101,,"LINESTRING (121.3141936 14.143396, 121.3147976 14.1424885)",,,
