osmid,highway,oneway,reversed,length,bridge,geometry,lanes
"[831602240, 831602241, 554325442, 554325441]",secondary,False,"[False, True]",112.544,yes,"LINESTRING (121.0975208 16.8504803, 121.097496 16.8504385, 121.0973667 16.8502245, 121.0973342 16.850181, 121.0973006 16.8501669, 121.0972618 16.8501592, 121.0972242 16.8501644, 121.0971156 16.8502054, 121.0968259 16.8502542, 121.0966583 16.8502645)",
934732402,secondary,False,False,317.29699999999997,,"LINESTRING (121.0975208 16.8504803, 121.0977674 16.8504262, 121.0979001 16.8504223, 121.0980463 16.8504403, 121.0981657 16.8504442, 121.0982622 16.850439, 121.0983467 16.8504352, 121.0984164 16.8504377, 121.0985036 16.8504375, 121.0985425 16.8504365, 121.0986283 16.8504082, 121.0987477 16.8503338, 121.0988644 16.8502362, 121.0989046 16.85019, 121.0989757 16.8501233, 121.0990374 16.8500784, 121.0990847 16.8500649, 121.0991014 16.8500639, 121.0991111 16.8500668, 121.0991182 16.850078, 121.0991135 16.8501191, 121.0990934 16.8501611, 121.0990541 16.8502336, 121.0990246 16.8503132, 121.099028 16.8503851, 121.0990374 16.8504737, 121.0990709 16.8505866, 121.0991125 16.850688, 121.0991279 16.8507176, 121.0991487 16.8507573, 121.0991822 16.8507926, 121.0993592 16.8509678, 121.0995112 16.8510575)",2
554325486,residential,False,False,152.505,,"LINESTRING (121.0995112 16.8510575, 121.0992801 16.8512053, 121.099146 16.8512824, 121.0990709 16.8513125, 121.0990558 16.8513112, 121.099036 16.8513064, 121.099022 16.8513057, 121.0990028 16.851306, 121.098678 16.8514415, 121.0986049 16.85148, 121.0985854 16.8514947, 121.0985667 16.8515114, 121.0985405 16.8515403, 121.0983346 16.8517751)",
934732402,secondary,False,False,22.834,,"LINESTRING (121.0995112 16.8510575, 121.0996301 16.851109, 121.0997039 16.8511475)",2
934732402,secondary,False,True,317.297,,"LINESTRING (121.0995112 16.8510575, 121.0993592 16.8509678, 121.0991822 16.8507926, 121.0991487 16.8507573, 121.0991279 16.8507176, 121.0991125 16.850688, 121.0990709 16.8505866, 121.0990374 16.8504737, 121.099028 16.8503851, 121.0990246 16.8503132, 121.0990541 16.8502336, 121.0990934 16.8501611, 121.0991135 16.8501191, 121.0991182 16.850078, 121.0991111 16.8500668, 121.0991014 16.8500639, 121.0990847 16.8500649, 121.0990374 16.8500784, 121.0989757 16.8501233, 121.0989046 16.85019, 121.0988644 16.8502362, 121.0987477 16.8503338, 121.0986283 16.8504082, 121.0985425 16.8504365, 121.0985036 16.8504375, 121.0984164 16.8504377, 121.0983467 16.8504352, 121.0982622 16.850439, 121.0981657 16.8504442, 121.0980463 16.8504403, 121.0979001 16.8504223, 121.0977674 16.8504262, 121.0975208 16.8504803)",2
831611308,residential,False,False,104.947,,"LINESTRING (121.0997039 16.8511475, 121.099779 16.8510757, 121.0998367 16.8510333, 121.0998796 16.8510115, 121.0999332 16.8509948, 121.0999721 16.8509922, 121.1000593 16.8509986, 121.1002041 16.851014, 121.1003074 16.8510205, 121.1003651 16.8510243, 121.100416 16.8510372, 121.1004817 16.8510667, 121.1006024 16.8511411)",
934732402,secondary,False,False,401.973,,"LINESTRING (121.0997039 16.8511475, 121.099842 16.8512579, 121.1000057 16.8513696, 121.1002669 16.8515278, 121.100357 16.851566, 121.100416 16.8515942, 121.1004563 16.8516276, 121.1004724 16.8516776, 121.1004804 16.8517636, 121.1004804 16.8518291, 121.1004804 16.8519459, 121.1004717 16.8521095, 121.1004556 16.8522238, 121.1004388 16.852294, 121.1004375 16.852322, 121.1004405 16.8523422, 121.1004489 16.8523614, 121.1005455 16.8524824, 121.100587 16.8525312, 121.100636 16.8525806, 121.1006749 16.852605, 121.1007292 16.8526223, 121.1008029 16.85263, 121.100872 16.8526326, 121.1009397 16.8526428, 121.1009894 16.8526589, 121.1010256 16.8526756, 121.1010792 16.852707, 121.1011322 16.8527468, 121.1012381 16.8529124, 121.1013186 16.8530292, 121.1014152 16.8531075, 121.1014956 16.853128, 121.1015929 16.8531081, 121.1017638 16.8530542, 121.1019134 16.8529785, 121.1020917 16.8528071)",2
934732402,secondary,False,True,22.834,,"LINESTRING (121.0997039 16.8511475, 121.0996301 16.851109, 121.0995112 16.8510575)",2
554325446,tertiary,False,True,15.254,,"LINESTRING (121.1021474 16.8526807, 121.1020917 16.8528071)",1
554325447,unclassified,False,False,296.883,,"LINESTRING (121.1021474 16.8526807, 121.1021715 16.8525684, 121.1022091 16.8524689, 121.1022413 16.852399, 121.1022735 16.8521981, 121.1022936 16.8521416, 121.1023117 16.8521108, 121.1024082 16.8520274, 121.1024277 16.8519972, 121.1024431 16.8519581, 121.1024431 16.8519318, 121.1024331 16.8518843, 121.1024116 16.8518252, 121.1023727 16.8517713, 121.1022896 16.8516828, 121.1022654 16.8516276, 121.1022238 16.8514941, 121.1021849 16.8513118, 121.1021648 16.8512374, 121.1021407 16.8511873, 121.1021031 16.8511527, 121.1019784 16.8510846, 121.1018792 16.8510012, 121.1018135 16.8509062, 121.101682 16.8505744, 121.1016385 16.8504801, 121.1015278 16.8503761)",
554325446,tertiary,False,False,15.254,,"LINESTRING (121.1020917 16.8528071, 121.1021474 16.8526807)",1
934732402,secondary,False,True,401.97299999999996,,"LINESTRING (121.1020917 16.8528071, 121.1019134 16.8529785, 121.1017638 16.8530542, 121.1015929 16.8531081, 121.1014956 16.853128, 121.1014152 16.8531075, 121.1013186 16.8530292, 121.1012381 16.8529124, 121.1011322 16.8527468, 121.1010792 16.852707, 121.1010256 16.8526756, 121.1009894 16.8526589, 121.1009397 16.8526428, 121.100872 16.8526326, 121.1008029 16.85263, 121.1007292 16.8526223, 121.1006749 16.852605, 121.100636 16.8525806, 121.100587 16.8525312, 121.1005455 16.8524824, 121.1004489 16.8523614, 121.1004405 16.8523422, 121.1004375 16.852322, 121.1004388 16.852294, 121.1004556 16.8522238, 121.1004717 16.8521095, 121.1004804 16.8519459, 121.1004804 16.8518291, 121.1004804 16.8517636, 121.1004724 16.8516776, 121.1004563 16.8516276, 121.100416 16.8515942, 121.100357 16.851566, 121.1002669 16.8515278, 121.1000057 16.8513696, 121.099842 16.8512579, 121.0997039 16.8511475)",2
554325447,unclassified,False,True,296.883,,"LINESTRING (121.1015278 16.8503761, 121.1016385 16.8504801, 121.101682 16.8505744, 121.1018135 16.8509062, 121.1018792 16.8510012, 121.1019784 16.8510846, 121.1021031 16.8511527, 121.1021407 16.8511873, 121.1021648 16.8512374, 121.1021849 16.8513118, 121.1022238 16.8514941, 121.1022654 16.8516276, 121.1022896 16.8516828, 121.1023727 16.8517713, 121.1024116 16.8518252, 121.1024331 16.8518843, 121.1024431 16.8519318, 121.1024431 16.8519581, 121.1024277 16.8519972, 121.1024082 16.8520274, 121.1023117 16.8521108, 121.1022936 16.8521416, 121.1022735 16.8521981, 121.1022413 16.852399, 121.1022091 16.8524689, 121.1021715 16.8525684, 121.1021474 16.8526807)",
831611308,residential,False,True,104.94699999999999,,"LINESTRING (121.1006024 16.8511411, 121.1004817 16.8510667, 121.100416 16.8510372, 121.1003651 16.8510243, 121.1003074 16.8510205, 121.1002041 16.851014, 121.1000593 16.8509986, 121.0999721 16.8509922, 121.0999332 16.8509948, 121.0998796 16.8510115, 121.0998367 16.8510333, 121.099779 16.8510757, 121.0997039 16.8511475)",
