osmid,lanes,highway,oneway,reversed,length,geometry,name,ref,maxspeed,width,bridge
28738888,2,residential,False,True,77.718,"LINESTRING (121.0433921 14.3925612, 121.0426731 14.3926203)",,,,,
28738888,2,residential,False,False,157.24400000000003,"LINESTRING (121.0433921 14.3925612, 121.0441245 14.3924629, 121.0441882 14.3924656, 121.0442372 14.3924786, 121.0442836 14.3925044, 121.0443337 14.3925487, 121.0443835 14.3926077, 121.0445462 14.3927922, 121.0445735 14.3928218, 121.0445949 14.3928394, 121.044618 14.3928524, 121.0446439 14.3928582, 121.044677 14.3928596)",,,,,
894615284,,residential,False,False,50.099000000000004,"LINESTRING (121.0433921 14.3925612, 121.0434352 14.392904, 121.0434542 14.3930076)",,,,,
92599521,,residential,False,False,159.622,"LINESTRING (121.0445142 14.3909446, 121.0442553 14.3909375, 121.0439668 14.390968, 121.0437871 14.3909599, 121.0434721 14.3909297, 121.0431502 14.390792, 121.0430722 14.3907606)",Country Drive,,,,
"[422621097, 106485499, 753777646]",4,trunk,False,False,36.525,"LINESTRING (121.0445142 14.3909446, 121.0445129 14.3908899, 121.0445074 14.3908047, 121.0445074 14.3907411, 121.0445075 14.3906667, 121.0445075 14.3906163)",National Road 1,1,50,13.1,yes
422621097,4,trunk,False,True,53.032,"LINESTRING (121.0445142 14.3909446, 121.0445256 14.3911294, 121.0445352 14.3912734, 121.0445489 14.3914203)",National Road 1,1,50,13.1,
1204130894,4,trunk,False,True,30.749,"LINESTRING (121.045199 14.3867862, 121.045084 14.3865331)",National Road 1,1,50,13.1,
769206234,2,trunk,True,False,9.765,"LINESTRING (121.045199 14.3867862, 121.0452165 14.3867932, 121.0452306 14.3868029, 121.0452652 14.3868436)",National Road 1,1,50,6,
28738888,2,residential,False,True,157.244,"LINESTRING (121.044677 14.3928596, 121.0446439 14.3928582, 121.044618 14.3928524, 121.0445949 14.3928394, 121.0445735 14.3928218, 121.0445462 14.3927922, 121.0443835 14.3926077, 121.0443337 14.3925487, 121.0442836 14.3925044, 121.0442372 14.3924786, 121.0441882 14.3924656, 121.0441245 14.3924629, 121.0433921 14.3925612)",,,,,
422621097,4,trunk,False,False,122.64100000000002,"LINESTRING (121.044677 14.3928596, 121.0446349 14.3924426, 121.044625 14.3923233, 121.0446163 14.3922181, 121.0445817 14.3917606)",National Road 1,1,50,13.1,
422621097,4,trunk,False,True,14.898,"LINESTRING (121.044677 14.3928596, 121.0446871 14.3929688, 121.0446898 14.392993)",National Road 1,1,50,13.1,
27372139,2,tertiary,False,False,23.211,"LINESTRING (121.0449847 14.389226, 121.0447771 14.38917)",Katihan Street,,40,,
152178397,2,trunk,True,False,25.292,"LINESTRING (121.0449847 14.389226, 121.045086 14.3890208)",National Road 1,1,50,6,
753781177,2,secondary,False,True,8.731,"LINESTRING (121.0449847 14.389226, 121.0450641 14.3892418)",E. Rodriguez Sr. Avenue,,40,,
55807017,2,trunk,True,False,9.394,"LINESTRING (121.0451965 14.3868706, 121.0451987 14.3868146, 121.0451981 14.3867989, 121.045199 14.3867862)",National Road 1,1,50,6,
35005819,2,tertiary,False,True,25.185000000000002,"LINESTRING (121.0477384 14.3873904, 121.0476455 14.3873909, 121.0475778 14.3873912, 121.0475047 14.387387)",Centennial Avenue,,30,,
35005955,,residential,False,True,73.35900000000001,"LINESTRING (121.0477384 14.3873904, 121.0477629 14.3872013, 121.0478125 14.3871259, 121.0479119 14.3870648, 121.0479121 14.3867991)",,,,,
35005868,2,residential,False,False,205.48899999999998,"LINESTRING (121.0492986 14.3883364, 121.049226 14.3892057, 121.0492181 14.3892916, 121.0491562 14.3901792)",Umali Street,,30,,
"[35005880, 35005874]",2,residential,False,False,130.678,"LINESTRING (121.0492986 14.3883364, 121.0484224 14.3883243, 121.048401 14.3883293, 121.0483844 14.3883409, 121.048374 14.3883589, 121.0483699 14.3883841, 121.0483484 14.3886223)","['Burgos Street', 'Santo Niño Street']",,30,,
35005868,2,residential,False,False,71.371,"LINESTRING (121.0491562 14.3901792, 121.0491165 14.3908199)",Umali Street,,30,,
35005868,2,residential,False,True,205.48899999999998,"LINESTRING (121.0491562 14.3901792, 121.0492181 14.3892916, 121.049226 14.3892057, 121.0492986 14.3883364)",Umali Street,,30,,
195323492,2,secondary,False,False,100.85,"LINESTRING (121.0491562 14.3901792, 121.0484868 14.3900136, 121.048249 14.3899547)",Rizal Street,,40,,
35005868,2,residential,False,False,68.466,"LINESTRING (121.0491165 14.3908199, 121.04903 14.3914299)",Umali Street,,30,,
