osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,junction
504214295,residential,False,True,235.294,"LINESTRING (124.162214 7.0066205, 124.1619601 7.0066089, 124.1619122 7.0066039, 124.1618673 7.0065946, 124.1617597 7.00656, 124.1617047 7.0065467, 124.1615997 7.006542, 124.161414 7.0065493, 124.1611813 7.0065586, 124.160665 7.0065746, 124.1602975 7.0065999, 124.1600924 7.0066082)",,,,
504214319,primary,False,False,112.543,"LINESTRING (124.162214 7.0066205, 124.1622274 7.006942, 124.1622676 7.0072641, 124.1623025 7.0074571, 124.162336 7.0076235)",2,935,Sinsuat Avenue,
504214319,primary,False,False,20.204,"LINESTRING (124.162336 7.0076235, 124.1623702 7.007802)",2,935,Sinsuat Avenue,
504214318,tertiary,False,False,141.482,"LINESTRING (124.162336 7.0076235, 124.1626739 7.0075956, 124.1636141 7.007525)",,,,
504214319,primary,False,True,112.543,"LINESTRING (124.162336 7.0076235, 124.1623025 7.0074571, 124.1622676 7.0072641, 124.1622274 7.006942, 124.162214 7.0066205)",2,935,Sinsuat Avenue,
504214326,primary,True,False,15.482,"LINESTRING (124.1629893 7.0106962, 124.1629614 7.0106992, 124.1629339 7.0106938, 124.1629092 7.0106806, 124.1628896 7.0106606, 124.1628769 7.0106358)",2,935,,roundabout
1133754620,primary,False,False,55.466,"LINESTRING (124.1629893 7.0106962, 124.163032 7.0109166, 124.163087 7.0111855)",2,935,Sinsuat Avenue,
504214306,unclassified,False,True,111.553,"LINESTRING (124.1633928 7.0126789, 124.1624084 7.0129066)",,,,
1133754620,primary,False,True,169.454,"LINESTRING (124.1633928 7.0126789, 124.163087 7.0111855)",2,935,Sinsuat Avenue,
1133754620,primary,False,False,163.72,"LINESTRING (124.1633928 7.0126789, 124.1636288 7.0137731, 124.1636717 7.0139834, 124.1636825 7.0141218)",2,935,Sinsuat Avenue,
504214300,unclassified,False,False,48.397,"LINESTRING (124.1603632 7.0132493, 124.1604115 7.0136819)",,,,
"[147221099, 504214308]",unclassified,False,True,219.985,"LINESTRING (124.1603632 7.0132493, 124.160158 7.0119615, 124.1600434 7.0112966)",,,,
504214306,unclassified,False,False,113.96799999999999,"LINESTRING (124.1603632 7.0132493, 124.160439 7.0132427, 124.1605456 7.01325, 124.1606509 7.0132566, 124.1607696 7.0132606, 124.1608816 7.0132526, 124.1609721 7.0132367, 124.1613845 7.0131515)",,,,
504214282,residential,False,True,74.367,"LINESTRING (124.1643316 7.0080441, 124.1636597 7.0080947)",,,,
504214321,residential,False,False,63.876,"LINESTRING (124.1643316 7.0080441, 124.164302 7.0074704)",,,,
504214321,residential,False,True,24.937,"LINESTRING (124.1643316 7.0080441, 124.1643476 7.0082678)",,,,
504214282,residential,False,False,74.367,"LINESTRING (124.1636597 7.0080947, 124.1643316 7.0080441)",,,,
504214315,residential,False,False,25.37,"LINESTRING (124.1636597 7.0080947, 124.1636758 7.0083223)",,,,
504214315,residential,False,True,63.547,"LINESTRING (124.1636597 7.0080947, 124.1636141 7.007525)",,,,
504214304,residential,False,True,74.966,"LINESTRING (124.1624084 7.0129066, 124.162222 7.0122583)",,,,
504214306,unclassified,False,False,111.553,"LINESTRING (124.1624084 7.0129066, 124.1633928 7.0126789)",,,,
504214306,unclassified,False,True,116.244,"LINESTRING (124.1624084 7.0129066, 124.1618867 7.0130251, 124.1613845 7.0131515)",,,,
504214304,residential,False,False,74.966,"LINESTRING (124.162222 7.0122583, 124.1624084 7.0129066)",,,,
504214304,residential,False,True,187.342,"LINESTRING (124.162222 7.0122583, 124.1621107 7.0119961, 124.1620664 7.0118909, 124.1620034 7.0117751, 124.1619712 7.0117139, 124.1619042 7.0116128, 124.1618669 7.0115415, 124.1618582 7.011495, 124.1618599 7.0114404, 124.1618881 7.0113093, 124.1619055 7.0112174, 124.1619202 7.0110723, 124.1619131 7.0106634)",,,,
"[865282741, 504214286]",residential,False,True,110.822,"LINESTRING (124.162222 7.0122583, 124.1616775 7.0123874, 124.1615823 7.0124114, 124.161247 7.0124966)",,,,
1133754620,primary,False,True,163.72,"LINESTRING (124.1636825 7.0141218, 124.1636717 7.0139834, 124.1636288 7.0137731, 124.1633928 7.0126789)",2,935,Sinsuat Avenue,
504214318,tertiary,False,True,70.141,"LINESTRING (124.1649351 7.0074152, 124.164302 7.0074704)",,,,
504214321,residential,False,True,168.633,"LINESTRING (124.1641612 7.005961, 124.164235 7.0065786, 124.1642806 7.0070538, 124.164294 7.0072135, 124.1642994 7.0073506, 124.164302 7.0074704)",,,,
504214321,residential,False,False,24.937,"LINESTRING (124.1643476 7.0082678, 124.1643316 7.0080441)",,,,
504214321,residential,False,True,92.014,"LINESTRING (124.1643476 7.0082678, 124.1643865 7.0090944)",,,,
504214295,residential,False,False,101.475,"LINESTRING (124.1591737 7.0066452, 124.1600924 7.0066082)",,,,
504214285,residential,False,False,159.642,"LINESTRING (124.1565941 7.0108111, 124.1567503 7.0122384)",,,,
1133754625,secondary,False,False,44.982,"LINESTRING (124.1565941 7.0108111, 124.15665 7.0107998, 124.1567228 7.0107935, 124.1569997 7.0107761)",2,,Rizal Boulevard,
504214297,residential,False,True,72.183,"LINESTRING (124.1583851 7.0131501, 124.1583167 7.0137957)",,,,
504214297,residential,False,False,72.183,"LINESTRING (124.1583167 7.0137957, 124.1583851 7.0131501)",,,,
857985984,residential,False,True,65.781,"LINESTRING (124.1583167 7.0137957, 124.1589122 7.013821)",,,,
504214298,residential,False,True,82.021,"LINESTRING (124.1589296 7.0130836, 124.1589282 7.0132606, 124.1589122 7.013821)",,,,
857985984,residential,False,False,65.781,"LINESTRING (124.1589122 7.013821, 124.1583167 7.0137957)",,,,
504214298,residential,False,False,82.021,"LINESTRING (124.1589122 7.013821, 124.1589282 7.0132606, 124.1589296 7.0130836)",,,,
504214299,unclassified,False,True,166.192,"LINESTRING (124.1589122 7.013821, 124.1601688 7.0137079, 124.1604115 7.0136819)",,,,
