osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,access,bridge
"[55916432, 1184818284]",False,2,J.P. Rizal Street,secondary,40,True,222.22500000000002,"LINESTRING (121.1718494 14.5894631, 121.1718485 14.5895264, 121.1718556 14.5896938, 121.1718829 14.5901917, 121.1718937 14.5904466, 121.1719123 14.591225, 121.1719133 14.5912655, 121.171916 14.5913779, 121.1719157 14.5914603)",,,
"[368990250, 1081562692, 1184818285]",True,2,J.P. Rizal Street,secondary,40,False,205.93900000000002,"LINESTRING (121.1718494 14.5894631, 121.1718544 14.5892708, 121.1718616 14.5890872, 121.1718904 14.5887809, 121.1719386 14.5882119, 121.171952 14.5880312, 121.1719992 14.5876174)",,,
189233357,False,2,J.P. Rizal Street,residential,,True,68.041,"LINESTRING (121.1719992 14.5876174, 121.1720861 14.5870113)",4.9,,
"[1081562684, 1081562685]",False,4,Pascual Oliveros Street,secondary,50,False,88.631,"LINESTRING (121.1719992 14.5876174, 121.1720852 14.5876269, 121.1723142 14.5876496, 121.1725285 14.5876692, 121.1727009 14.5876844, 121.1728186 14.5876976)",9.8,,
1081562686,False,4,Pascual Oliveros Street,secondary,50,True,70.197,"LINESTRING (121.1719992 14.5876174, 121.1716502 14.5875809, 121.1715036 14.5875663, 121.1714816 14.5875641, 121.1713505 14.587551)",9.8,,
51767110,True,2,A. Masangkay Street,tertiary,,False,68.546,"LINESTRING (121.175309 14.5877633, 121.1753031 14.5877041, 121.1752612 14.5871486)",,,
1186022728,True,2,Pascual Oliveros Street,secondary,40,False,44.156,"LINESTRING (121.175309 14.5877633, 121.1753944 14.5877542, 121.1757176 14.587727)",6,,
"[1081562682, 23212251, 189315429]",False,4,"['Dela Paz Street', 'Pascual Oliveros Street']","['living_street', 'residential']",,"[False, True]",116.132,"LINESTRING (121.1757176 14.587727, 121.1760524 14.5877012, 121.1760552 14.588194, 121.1762893 14.5881936)",9.8,,
"[1081562681, 1186037212]",True,2,M. L. Quezon Street,tertiary,30,False,53.525,"LINESTRING (121.1757176 14.587727, 121.1757262 14.5879517, 121.1757281 14.5882082)",,,
"[1186037228, 1186037229]",True,2,M. L. Quezon Street,secondary,40,False,63.915000000000006,"LINESTRING (121.1757176 14.587727, 121.175717 14.5875183, 121.1757177 14.5873155, 121.1757183 14.5871522)",7,,
319830742,True,2,Santo Niño Street,tertiary,30,False,93.776,"LINESTRING (121.1784622 14.5851937, 121.1781779 14.5859909)",,,
23212221,False,2,Santo Niño Street,secondary,40,True,72.72200000000001,"LINESTRING (121.1784622 14.5851937, 121.1785805 14.5848631, 121.1786848 14.5845762)",6,,
1002478228,True,2,C. Lawis Street,tertiary,,False,62.0,"LINESTRING (121.1780002 14.5892882, 121.1774316 14.5893782)",,,
1002478228,True,2,C. Lawis Street,tertiary,,False,39.358,"LINESTRING (121.1754911 14.5895115, 121.1751254 14.5895172)",,,
51767110,True,2,A. Masangkay Street,tertiary,,False,145.054,"LINESTRING (121.1754911 14.5895115, 121.1753989 14.5888607, 121.17534 14.5882156)",,,
1078909919,False,2,J. Sumulong Street,secondary,30,False,53.191,"LINESTRING (121.1757099 14.5846235, 121.1752273 14.5845201)",,yes,
"[55916457, 1186037222]",True,2,J. Sumulong Street,secondary,40,False,89.64099999999999,"LINESTRING (121.1757099 14.5846235, 121.1757998 14.5846414, 121.1760451 14.5846903, 121.1763903 14.5847569, 121.1765258 14.5847859)",7,,
"[60968114, 1186037223]",False,2,M. L. Quezon Street,secondary,40,True,92.714,"LINESTRING (121.1757099 14.5846235, 121.175714 14.5843382, 121.1757232 14.5839068, 121.1757274 14.5837899)",,,
1002478228,True,2,C. Lawis Street,tertiary,,False,24.4,"LINESTRING (121.1757177 14.5895036, 121.1754911 14.5895115)",,,
