osmid,highway,oneway,reversed,length,ref,maxspeed,name,geometry,lanes
55490860,unclassified,False,True,82.746,,,,"LINESTRING (123.0405495 10.6045578, 123.0407565 10.6052736)",
55590440,trunk,False,False,36.788,69,50,,"LINESTRING (123.0405495 10.6045578, 123.0408695 10.6044552)",
55590440,trunk,False,True,84.615,69,50,,"LINESTRING (123.0405495 10.6045578, 123.0398114 10.6047874)",
55527472,trunk,False,True,83.837,69,60,,"LINESTRING (123.0390456 10.6050298, 123.0392533 10.6057556)",
55590440,trunk,False,False,87.932,69,50,,"LINESTRING (123.0390456 10.6050298, 123.0398114 10.6047874)",
55493153,secondary,False,False,198.61,,60,Bago-Murcia Road,"LINESTRING (123.0390456 10.6050298, 123.038815 10.604322, 123.038512 10.6033225)",
55524395,residential,False,True,161.632,,,,"LINESTRING (123.0449385 10.6040104, 123.043528 10.6044472)",
787467856,tertiary,False,False,35.564,,,,"LINESTRING (123.0449385 10.6040104, 123.0448553 10.6037012)",
55524395,residential,False,False,161.632,,,,"LINESTRING (123.043528 10.6044472, 123.0449385 10.6040104)",
55524395,residential,False,True,63.321,,,,"LINESTRING (123.043528 10.6044472, 123.0429751 10.6046173)",
55524401,residential,False,False,89.127,,,,"LINESTRING (123.043528 10.6044472, 123.0433054 10.6036761)",
55524401,residential,False,True,95.297,,,,"LINESTRING (123.043528 10.6044472, 123.0437881 10.6052652)",
55524382,residential,False,False,90.449,,,,"LINESTRING (123.0421961 10.6048419, 123.0424185 10.6056254)",
55524382,residential,False,True,85.831,,,,"LINESTRING (123.0421961 10.6048419, 123.041994 10.604096)",
55524395,residential,False,False,88.729,,,,"LINESTRING (123.0421961 10.6048419, 123.0429751 10.6046173)",
55524395,residential,False,True,68.665,,,,"LINESTRING (123.0421961 10.6048419, 123.0415969 10.6050275)",
55524382,residential,False,False,51.548,,,,"LINESTRING (123.0424185 10.6056254, 123.0425272 10.6060765)",
55524382,residential,False,True,90.449,,,,"LINESTRING (123.0424185 10.6056254, 123.0421961 10.6048419)",
55527475,tertiary,False,False,70.332,,,,"LINESTRING (123.0424185 10.6056254, 123.0417955 10.6057838)",
55527475,tertiary,False,True,154.957,,,,"LINESTRING (123.0424185 10.6056254, 123.0437881 10.6052652)",
55524395,residential,False,False,68.665,,,,"LINESTRING (123.0415969 10.6050275, 123.0421961 10.6048419)",
55524395,residential,False,True,95.842,,,,"LINESTRING (123.0415969 10.6050275, 123.0407565 10.6052736)",
55524447,residential,False,False,86.853,,,,"LINESTRING (123.0415969 10.6050275, 123.0417955 10.6057838)",
55524447,residential,False,True,85.055,,,,"LINESTRING (123.0415969 10.6050275, 123.041417 10.6042833)",
55524447,residential,False,False,52.506,,,,"LINESTRING (123.0417955 10.6057838, 123.041929 10.6062374)",
55524447,residential,False,True,86.853,,,,"LINESTRING (123.0417955 10.6057838, 123.0415969 10.6050275)",
55527475,tertiary,False,True,70.332,,,,"LINESTRING (123.0417955 10.6057838, 123.0424185 10.6056254)",
101926631,tertiary,False,False,92.726,,,,"LINESTRING (123.0417955 10.6057838, 123.0409838 10.6060264)",
55524401,residential,False,False,92.43,,,,"LINESTRING (123.0440423 10.606058, 123.0437881 10.6052652)",
55527476,residential,False,False,20.367,,,,"LINESTRING (123.0440423 10.606058, 123.0442223 10.6060106)",
55527476,residential,False,True,161.125,,,,"LINESTRING (123.0440423 10.606058, 123.0429842 10.6063893, 123.042634 10.6064859)",
55524401,residential,False,False,95.297,,,,"LINESTRING (123.0437881 10.6052652, 123.043528 10.6044472)",
55524401,residential,False,True,92.43,,,,"LINESTRING (123.0437881 10.6052652, 123.0440423 10.606058)",
55527475,tertiary,False,False,154.957,,,,"LINESTRING (123.0437881 10.6052652, 123.0424185 10.6056254)",
55524447,residential,False,True,49.361,,,,"LINESTRING (123.0420392 10.6066679, 123.041929 10.6062374)",
55527476,residential,False,False,68.086,,,,"LINESTRING (123.0420392 10.6066679, 123.042634 10.6064859)",
55527476,residential,False,True,96.143,,,,"LINESTRING (123.0420392 10.6066679, 123.0411934 10.6069055)",
55527472,trunk,False,False,82.352,69,60,,"LINESTRING (123.0394482 10.606471, 123.0392533 10.6057556)",
101926631,tertiary,False,True,174.964,,,,"LINESTRING (123.0394482 10.606471, 123.0409838 10.6060264)",
"[55527472, 55524438]",trunk,False,"[False, True]",41.745,69,60,,"LINESTRING (123.0394482 10.606471, 123.0395043 10.6067172, 123.0394828 10.6068385)",
55524395,residential,False,False,172.814,,,,"LINESTRING (123.0392533 10.6057556, 123.0407565 10.6052736)",
55527472,trunk,False,False,83.837,69,60,,"LINESTRING (123.0392533 10.6057556, 123.0390456 10.6050298)",
55527472,trunk,False,True,82.352,69,60,,"LINESTRING (123.0392533 10.6057556, 123.0394482 10.606471)",
55524447,residential,False,False,85.055,,,,"LINESTRING (123.041417 10.6042833, 123.0415969 10.6050275)",
55590440,trunk,False,False,10.611,69,50,,"LINESTRING (123.041417 10.6042833, 123.0415092 10.6042534)",
55590440,trunk,False,True,62.818,69,50,,"LINESTRING (123.041417 10.6042833, 123.0408695 10.6044552)",
55524382,residential,False,False,85.831,,,,"LINESTRING (123.041994 10.604096, 123.0421961 10.6048419)",
55590440,trunk,False,False,75.289,69,50,,"LINESTRING (123.041994 10.604096, 123.0426452 10.6038752)",
55590440,trunk,False,True,55.802,69,50,,"LINESTRING (123.041994 10.604096, 123.0415092 10.6042534)",
787467862,residential,False,True,34.827,,,,"LINESTRING (123.041994 10.604096, 123.0418861 10.6038013)",
55524401,residential,False,True,89.127,,,,"LINESTRING (123.0433054 10.6036761, 123.043528 10.6044472)",
55590440,trunk,False,True,75.477,69,50,,"LINESTRING (123.0433054 10.6036761, 123.0426452 10.6038752)",
55590440,trunk,False,False,160.97299999999998,69,50,,"LINESTRING (123.0433054 10.6036761, 123.0441729 10.6034162, 123.0444208 10.6033479, 123.0445388 10.603311, 123.0446407 10.6032767, 123.0447109 10.6032458)",
787467856,tertiary,False,True,53.041,,,,"LINESTRING (123.0447109 10.6032458, 123.0448553 10.6037012)",
55590440,trunk,False,True,160.973,69,50,,"LINESTRING (123.0447109 10.6032458, 123.0446407 10.6032767, 123.0445388 10.603311, 123.0444208 10.6033479, 123.0441729 10.6034162, 123.0433054 10.6036761)",
55490860,unclassified,False,False,87.316,,,,"LINESTRING (123.0409838 10.6060264, 123.0407565 10.6052736)",
