osmid,lanes,name,highway,oneway,reversed,length,maxspeed,access,geometry
134861351,2,Delgado Avenue,primary,False,False,76.077,,,"LINESTRING (124.7391292 11.3215571, 124.7384801 11.3213061)"
134861360,,Peñaranda Street,tertiary,False,True,88.158,,,"LINESTRING (124.7391292 11.3215571, 124.7388097 11.3222854)"
134861358,2,Rizal Street,residential,False,True,61.391,15,,"LINESTRING (124.7342355 11.3240533, 124.7347577 11.3242598)"
154661752,2,Abanilla Street,residential,False,False,70.474,20,yes,"LINESTRING (124.7342355 11.3240533, 124.7339827 11.3246366)"
"[154661752, 154661748]",2,"['Abanilla Street', 'Plaridel Street']",residential,False,"[False, True]",168.666,20,yes,"LINESTRING (124.7342355 11.3240533, 124.7346198 11.3231674, 124.7351401 11.3233837)"
134861360,,Peñaranda Street,tertiary,False,False,108.458,,,"LINESTRING (124.7378674 11.3244802, 124.7382533 11.3235812)"
134861360,,Peñaranda Street,tertiary,False,True,104.375,,,"LINESTRING (124.7378674 11.3244802, 124.7374959 11.3253453)"
154661748,,Plaridel Street,residential,False,False,73.031,20,yes,"LINESTRING (124.7378674 11.3244802, 124.7384791 11.3247478)"
154661748,,Plaridel Street,residential,False,True,71.77,20,yes,"LINESTRING (124.7378674 11.3244802, 124.7372486 11.3242601)"
134861358,2,Rizal Street,residential,False,False,119.589,15,,"LINESTRING (124.7357704 11.3246729, 124.7347577 11.3242598)"
134861358,2,Rizal Street,residential,False,True,63.485,15,,"LINESTRING (124.7357704 11.3246729, 124.736311 11.324885)"
154661749,,Arellano Street,residential,False,False,105.149,20,yes,"LINESTRING (124.7357704 11.3246729, 124.7361403 11.3237996)"
154661749,,Arellano Street,residential,False,True,71.044,20,yes,"LINESTRING (124.7357704 11.3246729, 124.7355299 11.3252667)"
154661748,,Plaridel Street,residential,False,True,75.617,20,yes,"LINESTRING (124.7391188 11.3250105, 124.7384791 11.3247478)"
165684310,2,San Roque Street,tertiary,False,False,102.339,40,,"LINESTRING (124.7391188 11.3250105, 124.7386222 11.3257915)"
134861361,2,Burgos Street,tertiary,False,False,67.601,15,,"LINESTRING (124.736073 11.3254937, 124.7366514 11.3257127)"
134861361,2,Burgos Street,tertiary,False,True,64.37,15,,"LINESTRING (124.736073 11.3254937, 124.7355299 11.3252667)"
154661569,2,Santa Elena Street,residential,False,False,72.488,20,yes,"LINESTRING (124.736073 11.3254937, 124.736311 11.324885)"
892958509,2,Santa Elena Street,residential,False,True,70.093,20,yes,"LINESTRING (124.736073 11.3254937, 124.7358421 11.326082)"
134861359,,,residential,False,False,66.129,,,"LINESTRING (124.7333866 11.3259322, 124.7339442 11.3261662)"
154661752,2,Abanilla Street,residential,False,True,86.665,20,yes,"LINESTRING (124.7333866 11.3259322, 124.7337266 11.3252277)"
165690442,,,residential,False,False,27.096,,,"LINESTRING (124.7333866 11.3259322, 124.7332819 11.3261532)"
134861360,,Peñaranda Street,tertiary,False,False,73.926,,,"LINESTRING (124.7372426 11.325962, 124.7374959 11.3253453)"
134861361,2,Burgos Street,tertiary,False,False,60.441,15,,"LINESTRING (124.7372426 11.325962, 124.7377501 11.3261807)"
134861361,2,Burgos Street,tertiary,False,True,70.166,15,,"LINESTRING (124.7372426 11.325962, 124.7366514 11.3257127)"
921596361,,Peñaranda Street,residential,False,True,71.508,,,"LINESTRING (124.7372426 11.325962, 124.7369784 11.3265506)"
134861358,2,Rizal Street,residential,False,False,65.152,15,,"LINESTRING (124.7386222 11.3257915, 124.7380682 11.3255719)"
165684310,2,San Roque Street,tertiary,False,False,77.389,40,,"LINESTRING (124.7386222 11.3257915, 124.7382577 11.3263887)"
165684310,2,San Roque Street,tertiary,False,True,102.339,40,,"LINESTRING (124.7386222 11.3257915, 124.7391188 11.3250105)"
245463841,,San Roque Street,residential,False,True,25.311,,,"LINESTRING (124.7376163 11.3274511, 124.7377262 11.3272506)"
154662126,2,Santo Rosario Street,residential,False,False,54.919,20,yes,"LINESTRING (124.7379074 11.3269737, 124.7374496 11.3267677)"
245463841,,San Roque Street,residential,False,False,36.583,,,"LINESTRING (124.7379074 11.3269737, 124.7377262 11.3272506)"
245463841,,San Roque Street,residential,False,True,75.433,,,"LINESTRING (124.7379074 11.3269737, 124.7382577 11.3263887)"
134861361,2,Burgos Street,tertiary,False,True,59.982,15,,"LINESTRING (124.7382577 11.3263887, 124.7377501 11.3261807)"
165684310,2,San Roque Street,tertiary,False,True,77.389,40,,"LINESTRING (124.7382577 11.3263887, 124.7386222 11.3257915)"
245463841,,San Roque Street,residential,False,False,75.433,,,"LINESTRING (124.7382577 11.3263887, 124.7379074 11.3269737)"
134861358,2,Rizal Street,residential,False,False,67.293,15,,"LINESTRING (124.7380682 11.3255719, 124.7374959 11.3253453)"
134861358,2,Rizal Street,residential,False,True,65.152,15,,"LINESTRING (124.7380682 11.3255719, 124.7386222 11.3257915)"
154661359,,Holasca Street,residential,False,False,76.063,,,"LINESTRING (124.7380682 11.3255719, 124.7377501 11.3261807)"
154661359,,Holasca Street,residential,False,True,102.001,,,"LINESTRING (124.7380682 11.3255719, 124.7384791 11.3247478)"
154661359,,Holasca Street,residential,False,True,59.443,,,"LINESTRING (124.7372096 11.3272477, 124.7374496 11.3267677)"
154662126,2,Santo Rosario Street,residential,False,False,68.474,20,yes,"LINESTRING (124.7369784 11.3265506, 124.7364002 11.3263102)"
154662126,2,Santo Rosario Street,residential,False,True,56.764,20,yes,"LINESTRING (124.7369784 11.3265506, 124.7374496 11.3267677)"
921596361,,Peñaranda Street,residential,False,False,71.508,,,"LINESTRING (124.7369784 11.3265506, 124.7372426 11.325962)"
921596361,,Peñaranda Street,residential,False,True,60.802,,,"LINESTRING (124.7369784 11.3265506, 124.7367522 11.3270504)"
154661359,,Holasca Street,residential,False,False,108.063,,,"LINESTRING (124.7389409 11.3238879, 124.7384791 11.3247478)"
154661359,,Holasca Street,residential,False,True,67.905,,,"LINESTRING (124.7389409 11.3238879, 124.7392494 11.3233574)"
154661751,,Astorga Street,residential,False,True,82.362,,,"LINESTRING (124.7389409 11.3238879, 124.7382533 11.3235812)"
