osmid,highway,oneway,reversed,length,geometry,lanes,bridge,ref,name
245371322,residential,False,False,34.985,"LINESTRING (125.2130256 11.1060814, 125.2131939 11.1063492)",,,,
245371329,residential,False,False,44.252,"LINESTRING (125.2130256 11.1060814, 125.2126761 11.1062833)",,,,
"[245371322, 332802518]",residential,False,True,108.457,"LINESTRING (125.2130256 11.1060814, 125.2126802 11.105594, 125.2123495 11.105795)",,,,
245371329,residential,False,False,42.699,"LINESTRING (125.2126761 11.1062833, 125.2123388 11.106478)",,,,
245371329,residential,False,True,44.252,"LINESTRING (125.2126761 11.1062833, 125.2130256 11.1060814)",,,,
245371330,residential,False,False,64.947,"LINESTRING (125.2126761 11.1062833, 125.2123495 11.105795)",,,,
245371330,residential,False,True,36.228,"LINESTRING (125.2126761 11.1062833, 125.212845 11.1065638)",,,,
245371324,residential,False,False,37.423,"LINESTRING (125.2123388 11.106478, 125.2125176 11.1067652)",,,,
245371324,residential,False,True,63.331,"LINESTRING (125.2123388 11.106478, 125.212019 11.1060027)",,,,
245371329,residential,False,False,45.524,"LINESTRING (125.2123388 11.106478, 125.2119792 11.1066856)",,,,
245371329,residential,False,True,42.699,"LINESTRING (125.2123388 11.106478, 125.2126761 11.1062833)",,,,
245371322,residential,False,False,41.969,"LINESTRING (125.2133713 11.1066314, 125.2135733 11.1069526)",,,,
245371322,residential,False,True,36.869,"LINESTRING (125.2133713 11.1066314, 125.2131939 11.1063492)",,,,
245371323,residential,False,False,45.624,"LINESTRING (125.2133713 11.1066314, 125.2130138 11.1068442)",,,,
245371328,tertiary,False,False,60.22,"LINESTRING (125.2119792 11.1066856, 125.2116532 11.1062486)",2,,,
245371328,tertiary,False,True,38.704,"LINESTRING (125.2119792 11.1066856, 125.2121702 11.1069789)",2,,,
245371329,residential,False,False,53.233,"LINESTRING (125.2119792 11.1066856, 125.2115857 11.1069686)",,,,
245371329,residential,False,True,45.524,"LINESTRING (125.2119792 11.1066856, 125.2123388 11.106478)",,,,
245371323,residential,False,False,41.631,"LINESTRING (125.2130138 11.1068442, 125.2126876 11.1070384)",,,,
245371323,residential,False,True,45.624,"LINESTRING (125.2130138 11.1068442, 125.2133713 11.1066314)",,,,
245371330,residential,False,False,36.213,"LINESTRING (125.2130138 11.1068442, 125.212845 11.1065638)",,,,
245371330,residential,False,True,40.794,"LINESTRING (125.2130138 11.1068442, 125.2132039 11.1071601)",,,,
245371329,residential,False,True,53.233,"LINESTRING (125.2115857 11.1069686, 125.2119792 11.1066856)",,,,
245371323,residential,False,False,44.021,"LINESTRING (125.2126876 11.1070384, 125.2123427 11.1072438)",,,,
245371323,residential,False,True,41.631,"LINESTRING (125.2126876 11.1070384, 125.2130138 11.1068442)",,,,
245371324,residential,False,False,37.151,"LINESTRING (125.2126876 11.1070384, 125.2128556 11.107329)",,,,
245371324,residential,False,True,35.594,"LINESTRING (125.2126876 11.1070384, 125.2125176 11.1067652)",,,,
245371330,residential,False,False,40.794,"LINESTRING (125.2132039 11.1071601, 125.2130138 11.1068442)",,,,
387037053,residential,False,False,46.443,"LINESTRING (125.2132039 11.1071601, 125.2135733 11.1069526)",,,,
387037053,residential,False,True,42.391,"LINESTRING (125.2132039 11.1071601, 125.2128556 11.107329)",,,,
"[245371314, 245371321, 245371330]",residential,False,True,144.683,"LINESTRING (125.2132039 11.1071601, 125.2133559 11.1074638, 125.2133935 11.1075552, 125.2134743 11.1077853, 125.2135803 11.1083974)",,yes,,
245371323,residential,False,True,44.021,"LINESTRING (125.2123427 11.1072438, 125.2126876 11.1070384)",,,,
245371328,tertiary,False,False,34.956,"LINESTRING (125.2123427 11.1072438, 125.2121702 11.1069789)",2,,,
245371328,tertiary,False,True,35.57,"LINESTRING (125.2123427 11.1072438, 125.2125141 11.1075159)",2,,,
245371324,residential,False,True,37.151,"LINESTRING (125.2128556 11.107329, 125.2126876 11.1070384)",,,,
387037053,residential,False,False,42.391,"LINESTRING (125.2128556 11.107329, 125.2132039 11.1071601)",,,,
387037053,residential,False,True,42.666,"LINESTRING (125.2128556 11.107329, 125.2125141 11.1075159)",,,,
245371328,tertiary,False,False,35.57,"LINESTRING (125.2125141 11.1075159, 125.2123427 11.1072438)",2,,,
387037053,residential,False,False,42.666,"LINESTRING (125.2125141 11.1075159, 125.2128556 11.107329)",,,,
