osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,ref,width
29671115,2,Don Placido Campos Avenue,secondary,40,False,False,85.658,"LINESTRING (120.9353977 14.327186, 120.9351998 14.3274289, 120.9349649 14.3276706, 120.9348611 14.3277512)",,,,
30069658,1,Camerino Avenue,tertiary,20,True,False,80.993,"LINESTRING (120.9353977 14.327186, 120.9353439 14.3271486, 120.9347868 14.3267615)",,,,
660335768,4,Don Placido Campos Avenue,secondary,40,False,True,91.46600000000001,"LINESTRING (120.9353977 14.327186, 120.9354549 14.3271061, 120.9355578 14.3269623, 120.9355913 14.3269156, 120.9356286 14.3268593, 120.9356575 14.326817, 120.9357931 14.3266181, 120.9358713 14.3265034)",,,,
"[1198899498, 29493810]",2,Camerino Avenue,secondary,30,False,False,88.84700000000001,"LINESTRING (120.9353977 14.327186, 120.9355705 14.3272991, 120.9355908 14.3273125, 120.9360809 14.3276335)",,,,
570843456,2,Narciso Guevarra Street,tertiary,30,True,False,41.909,"LINESTRING (120.9359886 14.3300112, 120.9356242 14.3298793)",,,,
902916081,,,residential,,False,False,42.509,"LINESTRING (120.9359886 14.3300112, 120.9360382 14.3298839, 120.9360637 14.3298092, 120.9360811 14.3297683, 120.9361227 14.3297091, 120.9361482 14.3296637)",,,,
577205344,2,Amuntay Road,tertiary,30,False,False,9.097,"LINESTRING (120.9337783 14.3243296, 120.9338093 14.3244057)",,,,
115966179,2,Narciso Guevarra Street,tertiary,30,True,False,59.016,"LINESTRING (120.9333785 14.3287708, 120.9329414 14.3284509)",,,,
"[874221403, 660335764]",2,Don Placido Campos Avenue,secondary,40,False,False,164.31,"LINESTRING (120.9333785 14.3287708, 120.9332764 14.3288819, 120.9332024 14.3289793, 120.9331323 14.3290716, 120.9329654 14.3292886, 120.9328196 14.3294688, 120.9326481 14.3297043, 120.9324711 14.3299572)",,,,
660335765,2,Don Placido Campos Avenue,secondary,40,False,True,94.299,"LINESTRING (120.9333785 14.3287708, 120.9336254 14.3285857, 120.9340786 14.3282619)",,,,
580764622,2,Don Placido Campos Avenue,secondary,40,False,False,83.19900000000001,"LINESTRING (120.9366642 14.3252604, 120.9366235 14.3253237, 120.9362601 14.325898)",,,,
580764622,2,Don Placido Campos Avenue,secondary,40,False,True,212.50199999999998,"LINESTRING (120.9366642 14.3252604, 120.9366949 14.3252086, 120.9368058 14.3250229, 120.9370797 14.3245643, 120.9375122 14.3238169, 120.9376435 14.3236016)",,,,
643274729,2,Isidro Mangubat Street,tertiary,30,True,False,81.30300000000001,"LINESTRING (120.9366642 14.3252604, 120.9367519 14.3253074, 120.9370578 14.3254742, 120.9372681 14.3255889, 120.9373222 14.3256184)",,,,
30068499,,F. Tirona Street,residential,,False,False,137.975,"LINESTRING (120.9390259 14.3256939, 120.9388746 14.3255881, 120.9387258 14.3254959, 120.9386654 14.3254621, 120.9386245 14.3254562, 120.9386024 14.3254712, 120.9385876 14.3255011, 120.9385474 14.3255972, 120.9384656 14.3257778, 120.9383062 14.3261695)",,,,
570205215,,Felipe Tirona Street,tertiary,30,False,False,67.921,"LINESTRING (120.9383062 14.3261695, 120.9380699 14.3267358)",,,,
30068499,,F. Tirona Street,residential,,False,True,137.975,"LINESTRING (120.9383062 14.3261695, 120.9384656 14.3257778, 120.9385474 14.3255972, 120.9385876 14.3255011, 120.9386024 14.3254712, 120.9386245 14.3254562, 120.9386654 14.3254621, 120.9387258 14.3254959, 120.9388746 14.3255881, 120.9390259 14.3256939)",,,,
"[639571395, 639571396, 639571397, 708397406]",2,Isidro Mangubat Street,tertiary,30,True,False,176.365,"LINESTRING (120.9383062 14.3261695, 120.9385514 14.3263223, 120.9387834 14.326447, 120.9389255 14.3265038, 120.9390906 14.3265499, 120.9392063 14.3265639, 120.9394078 14.3265538, 120.939834 14.326644)",yes,,,
36759381,2,Isidro Mangubat Street,tertiary,30,True,False,52.224,"LINESTRING (120.9373222 14.3256184, 120.9376786 14.3258161, 120.9377429 14.3258517)",,,,
575278524,1,Malihan Street,tertiary,30,True,False,88.172,"LINESTRING (120.9373222 14.3256184, 120.9373064 14.3256452, 120.9369164 14.326307)",,,,
666227791,1,Malihan Street,tertiary,20,True,False,96.821,"LINESTRING (120.9365423 14.3268863, 120.9361046 14.3275952, 120.9360809 14.3276335)",,,,
570205217,2,Malihan Street,tertiary,30,False,False,90.08,"LINESTRING (120.9356649 14.3283696, 120.9352672 14.3290822)",,,,
30069820,1,Juan Ramirez Street,residential,20,True,False,110.74,"LINESTRING (120.9356649 14.3283696, 120.9351813 14.3280314, 120.9348947 14.3277806, 120.9348611 14.3277512)",,,,
