osmid,highway,oneway,reversed,length,geometry,ref,bridge,lanes,name
218194179,residential,False,False,237.928,"LINESTRING (120.4742088 23.0445783, 120.4742797 23.0445691, 120.4743475 23.044552, 120.4744043 23.0445309, 120.4748751 23.0443038, 120.475838 23.0438361, 120.4760458 23.0437287, 120.476144 23.0436597, 120.4762441 23.0435698)",,,,
1168276362,primary,False,False,68.731,"LINESTRING (120.4776181 23.0378036, 120.4776476 23.037913, 120.4776902 23.0380979, 120.4777357 23.0384115)",3,,,
1189531344,residential,False,True,77.353,"LINESTRING (120.4777357 23.0384115, 120.4774379 23.0390509)",,,,
1168276362,primary,False,True,68.73100000000001,"LINESTRING (120.4777357 23.0384115, 120.4776902 23.0380979, 120.4776476 23.037913, 120.4776181 23.0378036)",3,,,
1189531346,primary,False,False,78.305,"LINESTRING (120.4777357 23.0384115, 120.4777746 23.0386913, 120.4778196 23.0391114)",3,,,
1189531344,residential,False,False,77.353,"LINESTRING (120.4774379 23.0390509, 120.4777357 23.0384115)",,,,
"[1189531344, 1189531345, 307524338]",residential,False,True,403.13100000000003,"LINESTRING (120.4774379 23.0390509, 120.477245 23.0395427, 120.477167 23.0398759, 120.477123 23.0401205, 120.4770466 23.0405617, 120.4770252 23.0406684, 120.4769594 23.0409286, 120.4769044 23.0411187, 120.4768507 23.0412248, 120.4767957 23.0412952, 120.476718 23.0413816, 120.4765543 23.0414963, 120.4764293 23.0415751, 120.4763719 23.041616, 120.4762985 23.0416816, 120.4762271 23.0417888, 120.4761909 23.0418875, 120.4761775 23.0419567, 120.4761909 23.0420332, 120.4762378 23.0421085, 120.4763036 23.0421702, 120.4764317 23.0422422)",,yes,2,南化橋
307524339,residential,False,True,363.302,"LINESTRING (120.4797034 23.0419131, 120.479195 23.041956, 120.479089 23.0419807, 120.4789335 23.0420535, 120.4787313 23.0421593, 120.4785673 23.0422325, 120.4784305 23.042267, 120.4783568 23.0422572, 120.4782777 23.0422238, 120.478165 23.0421301, 120.4780617 23.0420252, 120.4779773 23.0419721, 120.4778941 23.0419375, 120.477756 23.0419054, 120.4776071 23.0418598, 120.4774395 23.0417968, 120.4773282 23.0417611, 120.4772048 23.0417512, 120.4771337 23.0417697, 120.4770707 23.0418092, 120.4770224 23.0418869, 120.4768708 23.0423917)",,,,
"[307534025, 1189531346, 1189531347]",primary,False,True,385.10600000000005,"LINESTRING (120.4797034 23.0419131, 120.4792478 23.0415279, 120.4788333 23.0411893, 120.4787436 23.0411167, 120.4786666 23.0410544, 120.4784902 23.0409117, 120.4782689 23.0407031, 120.4781603 23.0405674, 120.4780691 23.040418, 120.4779632 23.040144, 120.4779211 23.0399221, 120.4778196 23.0391114)",3,yes,,南化橋
307524338,residential,False,True,47.907,"LINESTRING (120.4764317 23.0422422, 120.4768708 23.0423917)",,,,
218194183,residential,False,False,158.76999999999998,"LINESTRING (120.4764317 23.0422422, 120.4762244 23.0427767, 120.4761547 23.0429649, 120.4761024 23.043147, 120.4760809 23.0432469, 120.4760742 23.0433284, 120.476101 23.0433876, 120.4761547 23.0434703, 120.4762441 23.0435698)",,,,
"[1189531344, 1189531345, 307524338]",residential,False,False,403.131,"LINESTRING (120.4764317 23.0422422, 120.4763036 23.0421702, 120.4762378 23.0421085, 120.4761909 23.0420332, 120.4761775 23.0419567, 120.4761909 23.0418875, 120.4762271 23.0417888, 120.4762985 23.0416816, 120.4763719 23.041616, 120.4764293 23.0415751, 120.4765543 23.0414963, 120.476718 23.0413816, 120.4767957 23.0412952, 120.4768507 23.0412248, 120.4769044 23.0411187, 120.4769594 23.0409286, 120.4770252 23.0406684, 120.4770466 23.0405617, 120.477123 23.0401205, 120.477167 23.0398759, 120.477245 23.0395427, 120.4774379 23.0390509)",,yes,2,南化橋
307524338,residential,False,False,47.907,"LINESTRING (120.4768708 23.0423917, 120.4764317 23.0422422)",,,,
218194178,residential,False,False,233.599,"LINESTRING (120.4768708 23.0423917, 120.4772678 23.0425213, 120.4773137 23.0425423, 120.4773966 23.042583, 120.4775476 23.0426591, 120.4777228 23.0427903, 120.4779384 23.0429766, 120.4780912 23.0430877, 120.4782495 23.0432037, 120.4783286 23.0432876, 120.478393 23.0433728, 120.4785918 23.0436838)",,,,
218194179,residential,False,True,146.69000000000003,"LINESTRING (120.4768708 23.0423917, 120.4767617 23.0426343, 120.4765007 23.0432148, 120.476439 23.0433345, 120.4763492 23.0434493, 120.4762441 23.0435698)",,,,
307524339,residential,False,False,363.302,"LINESTRING (120.4768708 23.0423917, 120.4770224 23.0418869, 120.4770707 23.0418092, 120.4771337 23.0417697, 120.4772048 23.0417512, 120.4773282 23.0417611, 120.4774395 23.0417968, 120.4776071 23.0418598, 120.477756 23.0419054, 120.4778941 23.0419375, 120.4779773 23.0419721, 120.4780617 23.0420252, 120.478165 23.0421301, 120.4782777 23.0422238, 120.4783568 23.0422572, 120.4784305 23.042267, 120.4785673 23.0422325, 120.4787313 23.0421593, 120.4789335 23.0420535, 120.479089 23.0419807, 120.479195 23.041956, 120.4797034 23.0419131)",,,,
218194179,residential,False,False,146.69,"LINESTRING (120.4762441 23.0435698, 120.4763492 23.0434493, 120.476439 23.0433345, 120.4765007 23.0432148, 120.4767617 23.0426343, 120.4768708 23.0423917)",,,,
218194179,residential,False,True,237.928,"LINESTRING (120.4762441 23.0435698, 120.476144 23.0436597, 120.4760458 23.0437287, 120.475838 23.0438361, 120.4748751 23.0443038, 120.4744043 23.0445309, 120.4743475 23.044552, 120.4742797 23.0445691, 120.4742088 23.0445783)",,,,
218194183,residential,False,False,267.91900000000004,"LINESTRING (120.4762441 23.0435698, 120.4766061 23.0437479, 120.47732 23.0441205, 120.4774024 23.0441476, 120.4774652 23.0441496, 120.4775427 23.0441336, 120.477772 23.0440347, 120.4781322 23.0438795, 120.4785918 23.0436838)",,,,
218194183,residential,False,True,158.76999999999998,"LINESTRING (120.4762441 23.0435698, 120.4761547 23.0434703, 120.476101 23.0433876, 120.4760742 23.0433284, 120.4760809 23.0432469, 120.4761024 23.043147, 120.4761547 23.0429649, 120.4762244 23.0427767, 120.4764317 23.0422422)",,,,
