osmid,oneway,ref,highway,reversed,length,name,maxspeed,geometry,lanes,width,bridge,tunnel
85788350,False,東8-1,tertiary,False,6.873,,,"LINESTRING (121.1629556 23.0449778, 121.1630185 23.0449561)",,,,
301894516,False,9,primary,False,54.858,和平路,50,"LINESTRING (121.1629556 23.0449778, 121.1627774 23.0445125)",,,,
301894516,False,9,primary,True,118.181,和平路,50,"LINESTRING (121.1629556 23.0449778, 121.1633395 23.0459802)",,,,
301894515,False,東8-1,tertiary,False,99.545,民族路,,"LINESTRING (121.1629556 23.0449778, 121.1628613 23.0450697, 121.1620747 23.0453289)",,,,
241782990,False,,residential,False,118.329,博愛路,,"LINESTRING (121.164951 23.0477877, 121.1652886 23.0488055)",,,,
241782990,False,,residential,True,87.321,博愛路,,"LINESTRING (121.164951 23.0477877, 121.1647019 23.0470366)",,,,
241782991,False,,residential,False,33.656,民生路,,"LINESTRING (121.164951 23.0477877, 121.1646392 23.0478841)",,,,
241782991,False,,residential,False,45.319,民生路,,"LINESTRING (121.164129 23.0480418, 121.1637112 23.0481771)",,,,
241782991,False,,residential,True,55.07,民生路,,"LINESTRING (121.164129 23.0480418, 121.1646392 23.0478841)",,,,
301894516,False,9,primary,False,50.993,和平路,50,"LINESTRING (121.164129 23.0480418, 121.1639633 23.0476093)",,,,
301894516,False,9,primary,True,56.273,和平路,50,"LINESTRING (121.164129 23.0480418, 121.1643118 23.0485191)",,,,
311403088,False,,residential,True,100.091,民生路,,"LINESTRING (121.1622622 23.048639, 121.1613374 23.0489324)",,,,
241782991,False,,residential,True,103.45500000000001,民生路,,"LINESTRING (121.1622622 23.048639, 121.163174 23.048351, 121.1632184 23.0483366)",,,,
301894520,False,東8,tertiary,False,121.327,三民路,,"LINESTRING (121.1622622 23.048639, 121.1624179 23.0490346, 121.1626681 23.0496642)",,,,
301894520,False,東8,tertiary,True,75.075,三民路,,"LINESTRING (121.1622622 23.048639, 121.1620692 23.04809, 121.1620364 23.0479966)",,,,
241782989,False,,residential,True,83.676,信義路,,"LINESTRING (121.1652886 23.0488055, 121.1645166 23.0490538)",,,,
241782990,False,,residential,False,53.082,博愛路,,"LINESTRING (121.1652886 23.0488055, 121.1654599 23.0492561)",,,,
241782990,False,,residential,True,118.329,博愛路,,"LINESTRING (121.1652886 23.0488055, 121.164951 23.0477877)",,,,
241782989,False,,residential,False,83.676,信義路,,"LINESTRING (121.1645166 23.0490538, 121.1652886 23.0488055)",,,,
241782989,False,,residential,True,97.622,信義路,,"LINESTRING (121.1645166 23.0490538, 121.1636186 23.0493504)",,,,
301894516,False,9,primary,False,48.351,和平路,50,"LINESTRING (121.1645166 23.0490538, 121.1643595 23.0486437)",,,,
301894516,False,9,primary,True,50.624,和平路,50,"LINESTRING (121.1645166 23.0490538, 121.164681 23.0494832)",,,,
241782990,False,,residential,True,53.082,博愛路,,"LINESTRING (121.1654599 23.0492561, 121.1652886 23.0488055)",,,,
241784535,False,東8,tertiary,False,68.071,,,"LINESTRING (121.1654599 23.0492561, 121.1656925 23.0491997, 121.1660957 23.0490768)",,,,
241784535,False,東8,tertiary,True,83.953,,,"LINESTRING (121.1654599 23.0492561, 121.1647692 23.0494798, 121.164681 23.0494832)",,,,
241782989,False,,residential,False,102.748,信義路,,"LINESTRING (121.1617219 23.0499737, 121.1626681 23.0496642)",,,,
241782989,False,,residential,True,95.717,信義路,,"LINESTRING (121.1617219 23.0499737, 121.1608322 23.0502397)",,,,
301894540,False,,residential,False,50.824,中正路,,"LINESTRING (121.1617219 23.0499737, 121.1618915 23.0504033)",,,,
301894540,False,,residential,True,122.288,中正路,,"LINESTRING (121.1617219 23.0499737, 121.1615145 23.0494121, 121.1613374 23.0489324)",,,,
241784534,False,東8,tertiary,False,122.045,,,"LINESTRING (121.1660957 23.0490768, 121.1657705 23.0480208)",,,,
241784535,False,東8,tertiary,True,68.071,,,"LINESTRING (121.1660957 23.0490768, 121.1656925 23.0491997, 121.1654599 23.0492561)",,,,
241784533,False,東8,tertiary,True,102.935,仁愛路,,"LINESTRING (121.1628147 23.0500431, 121.163767 23.0497446)",,,,
301894520,False,東8,tertiary,True,44.722,三民路,,"LINESTRING (121.1628147 23.0500431, 121.1626681 23.0496642)",,,,
301894538,False,,residential,False,5.917,三民路,,"LINESTRING (121.1628147 23.0500431, 121.1628342 23.0500932)",,,,
241784534,False,東8,tertiary,True,122.045,,,"LINESTRING (121.1657705 23.0480208, 121.1660957 23.0490768)",,,,
301894522,False,,unclassified,False,189.297,,,"LINESTRING (121.1657705 23.0480208, 121.1652646 23.0463833)",,,,
301894522,False,,unclassified,True,216.811,,,"LINESTRING (121.1646649 23.0445132, 121.1652646 23.0463833)",,,,
407220322,True,,residential,False,58.129000000000005,,,"LINESTRING (121.1646649 23.0445132, 121.1644168 23.0445916, 121.1643605 23.0444522, 121.1644935 23.044401)",,,,
301894515,False,東8-1,tertiary,True,102.053,民族路,,"LINESTRING (121.1611357 23.0456383, 121.1620747 23.0453289)",,,,
301894518,False,東8-1,tertiary,False,34.685,三民路,,"LINESTRING (121.1611357 23.0456383, 121.1612465 23.0459331)",,,,
