osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,name
275618201,unclassified,False,False,208.214,"LINESTRING (120.7560786 24.5546329, 120.7559494 24.5546891, 120.7557455 24.5547778, 120.7554048 24.5549778, 120.7548573 24.5553129, 120.7548296 24.5554064, 120.755024 24.5558427)",,,,
1187800205,secondary,False,True,304.7880000000001,"LINESTRING (120.7560786 24.5546329, 120.7563461 24.5550565, 120.7563704 24.555095, 120.7565031 24.5553428, 120.7566189 24.5555712, 120.7566954 24.555799, 120.7567157 24.5559012, 120.7567746 24.5561223, 120.7568296 24.5564321, 120.7568841 24.5566691, 120.7569191 24.5567979, 120.7569579 24.5568875, 120.756992 24.5569417, 120.757032 24.5569686, 120.7570806 24.5569933, 120.7571355 24.5570149, 120.7572308 24.5570886)",119,40,,
275618215,residential,False,False,109.70400000000001,"LINESTRING (120.7572308 24.5570886, 120.7571397 24.5571633, 120.7571183 24.5574121, 120.7570531 24.5576389, 120.7569537 24.5579657, 120.7569103 24.5579995)",,,,
446949305,secondary,False,True,88.941,"LINESTRING (120.7572308 24.5570886, 120.7573353 24.5571914, 120.7573857 24.5573681, 120.7574652 24.5578399)",119,,,
1187800205,secondary,False,False,304.788,"LINESTRING (120.7572308 24.5570886, 120.7571355 24.5570149, 120.7570806 24.5569933, 120.757032 24.5569686, 120.756992 24.5569417, 120.7569579 24.5568875, 120.7569191 24.5567979, 120.7568841 24.5566691, 120.7568296 24.5564321, 120.7567746 24.5561223, 120.7567157 24.5559012, 120.7566954 24.555799, 120.7566189 24.5555712, 120.7565031 24.5553428, 120.7563704 24.555095, 120.7563461 24.5550565, 120.7560786 24.5546329)",119,40,,
"[1026892753, 240766699]",unclassified,False,False,145.788,"LINESTRING (120.755024 24.5558427, 120.7537419 24.5560617, 120.7536123 24.556102)",,,yes,飛龍大橋
275618201,unclassified,False,False,389.54800000000006,"LINESTRING (120.755024 24.5558427, 120.7551561 24.5560959, 120.7553349 24.5567168, 120.7554347 24.5570438, 120.7554601 24.5572331, 120.755489 24.5578988, 120.755516 24.5579941, 120.7556237 24.5581025, 120.7556769 24.5582559, 120.7556961 24.5583538, 120.755676 24.5585011, 120.7556211 24.5586893, 120.7555778 24.5588616, 120.7554386 24.5591988)",,,,
275618201,unclassified,False,True,208.214,"LINESTRING (120.755024 24.5558427, 120.7548296 24.5554064, 120.7548573 24.5553129, 120.7554048 24.5549778, 120.7557455 24.5547778, 120.7559494 24.5546891, 120.7560786 24.5546329)",,,,
"[1026892753, 240766699]",unclassified,False,True,145.788,"LINESTRING (120.7536123 24.556102, 120.7537419 24.5560617, 120.755024 24.5558427)",,,yes,飛龍大橋
"[446949304, 446949305, 362022350]",secondary,False,False,187.724,"LINESTRING (120.7576314 24.5594942, 120.7577143 24.5592192, 120.7577224 24.5590036, 120.7576558 24.5587, 120.7576064 24.5584164, 120.7575375 24.5581461, 120.7574652 24.5578399)",119,,yes,飛龍橋
362022350,secondary,False,True,158.948,"LINESTRING (120.7576314 24.5594942, 120.7575519 24.5596887, 120.7574447 24.5598471, 120.7573545 24.5599438, 120.7572728 24.5600138, 120.7569498 24.5601907, 120.7568378 24.5602308, 120.7564753 24.5603614)",119,,,
723912398,residential,False,True,56.043,"LINESTRING (120.7554386 24.5591988, 120.7557763 24.5595984)",,,,
275618201,unclassified,False,True,389.548,"LINESTRING (120.7554386 24.5591988, 120.7555778 24.5588616, 120.7556211 24.5586893, 120.755676 24.5585011, 120.7556961 24.5583538, 120.7556769 24.5582559, 120.7556237 24.5581025, 120.755516 24.5579941, 120.755489 24.5578988, 120.7554601 24.5572331, 120.7554347 24.5570438, 120.7553349 24.5567168, 120.7551561 24.5560959, 120.755024 24.5558427)",,,,
723912398,residential,False,False,56.043,"LINESTRING (120.7557763 24.5595984, 120.7554386 24.5591988)",,,,
