osmid,highway,oneway,reversed,length,geometry,ref,bridge,name,lanes
8029756,residential,False,False,366.59700000000004,"LINESTRING (121.1988681 24.7030244, 121.1993871 24.7035994, 121.2001354 24.7045119, 121.2003326 24.7047082, 121.2007913 24.7049884, 121.2010789 24.7051601, 121.2012921 24.7052844, 121.20139 24.7053396)",,,,
"[948369483, 327346276, 948369484]",secondary,False,False,635.3509999999999,"LINESTRING (121.1988681 24.7030244, 121.1998042 24.7034009, 121.2003218 24.7036031, 121.2009951 24.7038346, 121.2013391 24.7039674, 121.2017327 24.7041703, 121.2021598 24.7044542, 121.202473 24.7047264, 121.203001 24.7052503, 121.20322 24.7054928, 121.2033514 24.7056694, 121.2034963 24.705907, 121.2037431 24.7063358)",120,yes,麥樹仁橋,
8029756,residential,False,True,117.274,"LINESTRING (121.2037431 24.7063358, 121.2035056 24.7062688, 121.2030631 24.7061227, 121.202657 24.7059655)",,,,
329096662,secondary,False,False,126.269,"LINESTRING (121.2037431 24.7063358, 121.2039037 24.7064876, 121.2040735 24.7067653, 121.2043565 24.7071199, 121.2044048 24.7071917, 121.2044402 24.7072706)",120,,,
"[327346276, 948369483, 948369484]",secondary,False,True,635.351,"LINESTRING (121.2037431 24.7063358, 121.2034963 24.705907, 121.2033514 24.7056694, 121.20322 24.7054928, 121.203001 24.7052503, 121.202473 24.7047264, 121.2021598 24.7044542, 121.2017327 24.7041703, 121.2013391 24.7039674, 121.2009951 24.7038346, 121.2003218 24.7036031, 121.1998042 24.7034009, 121.1988681 24.7030244)",120,yes,麥樹仁橋,
329096660,secondary,False,False,26.572,"LINESTRING (121.2047686 24.7079933, 121.2049036 24.7081984)",120,,,
329096662,secondary,False,True,87.07000000000001,"LINESTRING (121.2047686 24.7079933, 121.2046837 24.7078508, 121.2045322 24.7075024, 121.2044402 24.7072706)",120,,,
"[93523057, 1120068436, 1120068438]",tertiary,True,False,130.5,"LINESTRING (121.2047686 24.7079933, 121.2048409 24.7079648, 121.2057569 24.7076041, 121.2058076 24.7075841, 121.2059539 24.7075265)",竹60,yes,尖石二號橋,1
329096660,secondary,False,True,26.572,"LINESTRING (121.2049036 24.7081984, 121.2047686 24.7079933)",120,,,
329096662,secondary,False,False,87.07,"LINESTRING (121.2044402 24.7072706, 121.2045322 24.7075024, 121.2046837 24.7078508, 121.2047686 24.7079933)",120,,,
329096662,secondary,False,True,126.269,"LINESTRING (121.2044402 24.7072706, 121.2044048 24.7071917, 121.2043565 24.7071199, 121.2040735 24.7067653, 121.2039037 24.7064876, 121.2037431 24.7063358)",120,,,
"[1120068435, 1120068439, 93523071]",tertiary,True,False,129.764,"LINESTRING (121.2059539 24.7075265, 121.2057791 24.7076412, 121.2049691 24.7081567, 121.2049036 24.7081984)",竹60,yes,尖石大橋,1
8029756,residential,False,False,145.989,"LINESTRING (121.20139 24.7053396, 121.2014698 24.7053843, 121.20184 24.7055927, 121.2020278 24.7057011, 121.2022048 24.7057827, 121.202657 24.7059655)",,,,
"[582910748, 1119094454]",residential,False,"[False, True]",281.185,"LINESTRING (121.20139 24.7053396, 121.2017367 24.7048002, 121.2020852 24.7050463, 121.2020972 24.7051372, 121.2023919 24.7054243, 121.2026033 24.7055825, 121.2027235 24.7056342, 121.2028722 24.7055596, 121.2029176 24.7055904, 121.2027906 24.7057676, 121.202657 24.7059655)",,,,
8029756,residential,False,True,366.597,"LINESTRING (121.20139 24.7053396, 121.2012921 24.7052844, 121.2010789 24.7051601, 121.2007913 24.7049884, 121.2003326 24.7047082, 121.2001354 24.7045119, 121.1993871 24.7035994, 121.1988681 24.7030244)",,,,
8029756,residential,False,False,117.274,"LINESTRING (121.202657 24.7059655, 121.2030631 24.7061227, 121.2035056 24.7062688, 121.2037431 24.7063358)",,,,
8029756,residential,False,True,145.989,"LINESTRING (121.202657 24.7059655, 121.2022048 24.7057827, 121.2020278 24.7057011, 121.20184 24.7055927, 121.2014698 24.7053843, 121.20139 24.7053396)",,,,
"[582910748, 1119094454]",residential,False,"[False, True]",281.185,"LINESTRING (121.202657 24.7059655, 121.2027906 24.7057676, 121.2029176 24.7055904, 121.2028722 24.7055596, 121.2027235 24.7056342, 121.2026033 24.7055825, 121.2023919 24.7054243, 121.2020972 24.7051372, 121.2020852 24.7050463, 121.2017367 24.7048002, 121.20139 24.7053396)",,,,
