osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
85644656,吉祥路,tertiary,False,False,133.934,"LINESTRING (121.8216785 24.8560894, 121.8215556 24.8561695, 121.8212399 24.8563753, 121.8212118 24.8563936, 121.8211871 24.8564114, 121.8211506 24.8564378, 121.8210955 24.8564775, 121.8206225 24.8568187)",,宜3,
129008185,纘祥路,residential,False,True,237.00400000000002,"LINESTRING (121.8216785 24.8560894, 121.8221456 24.8569026, 121.8223298 24.8572876, 121.82264 24.8579336, 121.8226795 24.8580162)",,,
1028631200,吉祥路,tertiary,False,True,82.889,"LINESTRING (121.8216785 24.8560894, 121.8218033 24.8560077, 121.8223447 24.8556532)",,宜3,
129008200,開蘭路,tertiary,False,False,175.46999999999997,"LINESTRING (121.8226746 24.8562165, 121.8230571 24.8568507, 121.823082 24.8568919, 121.823187 24.8570751, 121.823493 24.8576088)",,,
129008200,開蘭路,tertiary,False,True,70.931,"LINESTRING (121.8226746 24.8562165, 121.8225653 24.8560299, 121.8223447 24.8556532)",,,
1111915805,南門路,residential,False,False,123.907,"LINESTRING (121.8226746 24.8562165, 121.8230364 24.8560119, 121.8231941 24.855918, 121.823705 24.8556104)",,,
85644656,吉祥路,tertiary,False,True,31.899,"LINESTRING (121.820375 24.8569972, 121.8206225 24.8568187)",,宜3,
85644656,吉祥路,tertiary,False,False,154.87,"LINESTRING (121.820375 24.8569972, 121.8198075 24.8574362, 121.8192069 24.8579008)",,宜3,
129008183,新興路,unclassified,False,False,212.018,"LINESTRING (121.820375 24.8569972, 121.8198419 24.8562398, 121.8196626 24.8559226, 121.8195755 24.8555524, 121.8195524 24.8552802)",,,
129008200,開蘭路,tertiary,False,False,91.012,"LINESTRING (121.823493 24.8576088, 121.8239055 24.8583367)",,,
129008200,開蘭路,tertiary,False,True,175.46999999999997,"LINESTRING (121.823493 24.8576088, 121.823187 24.8570751, 121.823082 24.8568919, 121.8230571 24.8568507, 121.8226746 24.8562165)",,,
