osmid,oneway,highway,reversed,length,geometry,bridge,ref,maxspeed
218190616,True,unclassified,False,16.06,"LINESTRING (120.4027553 23.0550804, 120.4026159 23.0551468)",,,
294442404,False,unclassified,True,318.547,"LINESTRING (120.4027553 23.0550804, 120.4030802 23.0549264, 120.4033141 23.0548238, 120.4037867 23.054617, 120.4038741 23.0545823, 120.4039403 23.0545627, 120.4040149 23.054548, 120.4040854 23.0545472, 120.4041448 23.0545477, 120.4042215 23.0545622, 120.4042995 23.0545922, 120.4043606 23.0546351, 120.4044038 23.0546871, 120.404443 23.0547589, 120.4044951 23.0548714, 120.4046579 23.0552669, 120.4048302 23.055651, 120.4048626 23.0557111, 120.4048918 23.055779)",,,
"[1120285129, 294442404, 830266428, 1155856141]",False,unclassified,False,405.307,"LINESTRING (120.4073862 23.0582308, 120.407105 23.0581585, 120.406997 23.0581403, 120.4064888 23.0580097, 120.4063413 23.0579645, 120.4061372 23.0578756, 120.406068 23.0578309, 120.4059756 23.0577741, 120.4058662 23.0576971, 120.405776 23.0576104, 120.405689 23.0575274, 120.4056258 23.0574196, 120.4054941 23.0571128, 120.4052333 23.0565028, 120.4049732 23.0559486, 120.4048918 23.055779)",yes,,
294442409,True,unclassified,False,44.669999999999995,"LINESTRING (120.4025127 23.0548128, 120.4025155 23.0548963, 120.4025204 23.0549457, 120.4025333 23.0549758, 120.4025571 23.0550067, 120.4025858 23.0550272, 120.402619 23.0550387, 120.4026627 23.0550548, 120.4027553 23.0550804)",,,
1119595739,False,residential,False,37.339,"LINESTRING (120.4045545 23.0559072, 120.4048918 23.055779)",,,
1119595739,False,residential,True,37.339,"LINESTRING (120.4048918 23.055779, 120.4045545 23.0559072)",,,
294442404,False,unclassified,False,318.547,"LINESTRING (120.4048918 23.055779, 120.4048626 23.0557111, 120.4048302 23.055651, 120.4046579 23.0552669, 120.4044951 23.0548714, 120.404443 23.0547589, 120.4044038 23.0546871, 120.4043606 23.0546351, 120.4042995 23.0545922, 120.4042215 23.0545622, 120.4041448 23.0545477, 120.4040854 23.0545472, 120.4040149 23.054548, 120.4039403 23.0545627, 120.4038741 23.0545823, 120.4037867 23.054617, 120.4033141 23.0548238, 120.4030802 23.0549264, 120.4027553 23.0550804)",,,
"[1120285129, 294442404, 1155856141, 830266428]",False,unclassified,True,405.307,"LINESTRING (120.4048918 23.055779, 120.4049732 23.0559486, 120.4052333 23.0565028, 120.4054941 23.0571128, 120.4056258 23.0574196, 120.405689 23.0575274, 120.405776 23.0576104, 120.4058662 23.0576971, 120.4059756 23.0577741, 120.406068 23.0578309, 120.4061372 23.0578756, 120.4063413 23.0579645, 120.4064888 23.0580097, 120.406997 23.0581403, 120.407105 23.0581585, 120.4073862 23.0582308)",yes,,
1165353522,False,primary_link,True,8.709,"LINESTRING (120.4030864 23.0542201, 120.4030217 23.0541692)",,,
445898520,True,primary,False,88.255,"LINESTRING (120.4030864 23.0542201, 120.4029883 23.0543204, 120.4026521 23.0546667, 120.4025127 23.0548128)",,20,60
1165353522,False,primary_link,False,8.709,"LINESTRING (120.4030217 23.0541692, 120.4030864 23.0542201)",,,
