osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction
278007800,宜56,南澳路,tertiary,False,True,206.72700000000003,"LINESTRING (121.8033614 24.4655064, 121.8038883 24.4650474, 121.8040562 24.4649264, 121.8044934 24.4646286, 121.8049305 24.4643203)",,,
726151146,9;9丁,蘇花路二段,primary,False,False,111.48100000000001,"LINESTRING (121.8033614 24.4655064, 121.8030703 24.4653673, 121.8027605 24.4652403, 121.802358 24.4650952)",50,,
726151146,9;9丁,蘇花路二段,primary,False,True,144.309,"LINESTRING (121.8033614 24.4655064, 121.8037506 24.4657323, 121.8040941 24.4659549, 121.8042811 24.4660785, 121.8045331 24.4662451)",50,,
299399524,,,residential,False,False,386.37100000000004,"LINESTRING (121.802358 24.4650952, 121.8024327 24.4656943, 121.8025735 24.4660995, 121.802709 24.4664413, 121.8028927 24.466694, 121.8030241 24.466821, 121.8031674 24.4669816, 121.803241 24.4670594, 121.8034823 24.467285, 121.8037663 24.4675843, 121.8038384 24.4675597, 121.8042914 24.4672495)",,,
"[511742339, 521124428]",,,residential,False,False,227.409,"LINESTRING (121.802358 24.4650952, 121.8023061 24.4647247, 121.802236 24.4642238, 121.8022998 24.46365, 121.8025208 24.4630954)",,,
"[726151146, 310370844, 375497166]",9;9丁,"['蘇花路二段', '武雲橋']",primary,False,False,42.787,"LINESTRING (121.802358 24.4650952, 121.8023274 24.4650872, 121.802046 24.4650076, 121.8019541 24.4649816)",50,yes,
726151146,9;9丁,蘇花路二段,primary,False,True,111.48100000000002,"LINESTRING (121.802358 24.4650952, 121.8027605 24.4652403, 121.8030703 24.4653673, 121.8033614 24.4655064)",50,,
"[511742339, 521124428]",,,residential,False,True,227.409,"LINESTRING (121.8025208 24.4630954, 121.8022998 24.46365, 121.802236 24.4642238, 121.8023061 24.4647247, 121.802358 24.4650952)",,,
299399517,,,unclassified,False,True,118.913,"LINESTRING (121.8002823 24.4656163, 121.8005349 24.4645719)",,,
299399517,,,unclassified,False,False,115.82000000000001,"LINESTRING (121.8002823 24.4656163, 121.8002268 24.4658405, 121.8003105 24.4661571, 121.8004019 24.4662928, 121.8007303 24.4664253)",,,
211154670,宜58,南澳南路,tertiary,False,True,88.462,"LINESTRING (121.8064583 24.4632168, 121.8058932 24.4626099)",,,
657959765,宜56,南澳路,tertiary,False,True,128.342,"LINESTRING (121.8064583 24.4632168, 121.8074565 24.462505)",,,
278007800,宜56,南澳路,tertiary,False,False,197.402,"LINESTRING (121.8064583 24.4632168, 121.806288 24.4633398, 121.8057982 24.4636936, 121.8053586 24.4640111, 121.8049305 24.4643203)",,,
299399514,,大通路,unclassified,False,False,52.864,"LINESTRING (121.8005909 24.464588, 121.8007249 24.4641285)",,,
375497166,9;9丁,蘇花路二段,primary,False,False,5.944,"LINESTRING (121.8005909 24.464588, 121.8005349 24.4645719)",50,,
375497166,9;9丁,蘇花路二段,primary,False,True,144.747,"LINESTRING (121.8005909 24.464588, 121.8011647 24.4647537, 121.8015204 24.4648564, 121.8019541 24.4649816)",50,,
299399514,,大通路,unclassified,False,True,25.657,"LINESTRING (121.80079 24.4639055, 121.8007249 24.4641285)",,,
310370843,,,residential,True,False,41.529999999999994,"LINESTRING (121.80079 24.4639055, 121.8007208 24.4638666, 121.8006864 24.4638009, 121.8006877 24.463727, 121.8007331 24.4636656, 121.8008105 24.4636304)",,,roundabout
