osmid,name,highway,oneway,reversed,length,geometry,tunnel,ref
47213436,温泉路,unclassified,False,False,186.571,"LINESTRING (121.3760768 23.4972619, 121.374272 23.4969867)",,
192617139,成功南路,residential,False,False,316.876,"LINESTRING (121.3760768 23.4972619, 121.3762744 23.4960474, 121.376253 23.4958112, 121.3762208 23.4956243, 121.3758148 23.4944882)",,
"[311267832, 311267833, 192616910]",成功北路,unclassified,False,True,366.15500000000003,"LINESTRING (121.3760768 23.4972619, 121.3758911 23.4997317, 121.3759651 23.4997945, 121.3762697 23.4998073, 121.3765031 23.4998228, 121.3767532 23.4998462)",yes,
73321306,中正南路一段,tertiary,False,False,109.88,"LINESTRING (121.3775699 23.4973448, 121.3776429 23.4963589)",,
195564975,中山路一段,tertiary,False,False,42.473,"LINESTRING (121.3775699 23.4973448, 121.3779681 23.4972328)",,
840594958,中正北路一段,tertiary,False,True,8.181,"LINESTRING (121.3775699 23.4973448, 121.3775519 23.4974165)",,
192616910,成功北路,unclassified,False,False,61.063,"LINESTRING (121.3773487 23.4999039, 121.3767532 23.4998462)",,
271667258,民生街,residential,False,True,56.685,"LINESTRING (121.3773487 23.4999039, 121.3779043 23.4999202)",,
840594958,中正北路一段,tertiary,False,False,46.225,"LINESTRING (121.3773487 23.4999039, 121.3773954 23.4994904)",,
202153839,中正北路一段,tertiary,False,True,106.695,"LINESTRING (121.3773487 23.4999039, 121.3772954 23.5004273, 121.3772595 23.5008599)",,
195563247,民權西路,tertiary,False,True,147.165,"LINESTRING (121.3737394 23.4955695, 121.373414 23.4968589)",,花62
804520297,,residential,False,False,166.682,"LINESTRING (121.3737394 23.4955695, 121.374272 23.4969867)",,
195563247,民權西路,tertiary,False,False,256.551,"LINESTRING (121.3737394 23.4955695, 121.373829 23.4952785, 121.3740102 23.4951174, 121.3744825 23.4949226, 121.3751089 23.4946833, 121.3758148 23.4944882)",,花62
73321306,中正南路一段,tertiary,False,False,86.421,"LINESTRING (121.3777348 23.4941206, 121.3773693 23.4934194)",,
73321306,中正南路一段,tertiary,False,True,222.04899999999998,"LINESTRING (121.3777348 23.4941206, 121.3777834 23.4943358, 121.3777622 23.4945933, 121.3776559 23.4961091)",,
243791045,民權東路,tertiary,False,False,97.729,"LINESTRING (121.3777348 23.4941206, 121.3780911 23.4940732, 121.3783703 23.494041, 121.3786872 23.4940387)",,花62
"[311267821, 311267822, 195563247]",民權西路,tertiary,False,True,200.05,"LINESTRING (121.3777348 23.4941206, 121.377045 23.494265, 121.3769414 23.4942806, 121.3768733 23.4942926, 121.3768371 23.494299, 121.3767367 23.4943168, 121.3762981 23.4943935, 121.3758148 23.4944882)",,花62
