osmid,bridge,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,tunnel
112299237,yes,True,1,頭屋一交流道,trunk_link,False,363.211,"LINESTRING (120.8468333 24.578433, 120.8467904 24.578197, 120.846777 24.5775318, 120.8466482 24.5766091, 120.8463307 24.5752067)",,,
393319481,,False,,,unclassified,False,7.49,"LINESTRING (120.8508816 24.574595, 120.8508352 24.5746475)",,,
492285275,,True,,尖豐路,primary,False,174.041,"LINESTRING (120.8508816 24.574595, 120.8513796 24.5748951, 120.8518913 24.5751691, 120.8523507 24.5754092)",13,50,
"[959943714, 112299207]",yes,True,1,,trunk_link,False,74.62,"LINESTRING (120.8463307 24.5752067, 120.8462943 24.5748941, 120.8463285 24.5746576, 120.8463359 24.5745396)",,,
112299210,,True,1,,trunk_link,False,42.300000000000004,"LINESTRING (120.8464659 24.5740724, 120.8465066 24.574278, 120.8464882 24.5743853, 120.8464866 24.5743948, 120.8464638 24.5744439)",,,
959943712,,True,1,頭屋一交流道,trunk_link,False,130.838,"LINESTRING (120.8464659 24.5740724, 120.846594 24.5742233, 120.8466611 24.5742854, 120.8467957 24.5743317, 120.8469703 24.5743414, 120.8473969 24.5743467, 120.8476371 24.5743803)",,,
1039689866,,False,,中正街,tertiary,False,9.156,"LINESTRING (120.8546976 24.5766325, 120.8546158 24.5766678)",126,,
"[446954904, 1039689865, 446954902]",,False,,中正街,residential,True,155.21999999999997,"LINESTRING (120.8546976 24.5766325, 120.8547453 24.5765443, 120.8546644 24.5763535, 120.8546878 24.576148, 120.8553205 24.5759246, 120.8554384 24.5759361, 120.8555834 24.5760293)",,,yes
112299187,,True,,尖豐路,primary,False,13.481,"LINESTRING (120.8464687 24.574529, 120.8463359 24.5745396)",13,,
112299210,,True,1,,trunk_link,False,46.635999999999996,"LINESTRING (120.8464687 24.574529, 120.8465561 24.5747264, 120.8465767 24.5747949, 120.8466103 24.574927)",,,
1128332835,,False,,頭屋外環道,tertiary,True,8.945,"LINESTRING (120.8482826 24.5743534, 120.8482929 24.5744333)",苗25,,
