osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,lanes,bridge
330177765,False,中山路一段,residential,False,82.685,"LINESTRING (121.7707426 24.8203849, 121.7709271 24.8211094)",,,,
331325972,False,中山路一段,residential,True,136.895,"LINESTRING (121.7707426 24.8203849, 121.7706437 24.8200046, 121.7705817 24.819856, 121.7705056 24.8197015, 121.7704329 24.8196053, 121.7701694 24.8192902)",,,,
26697027,False,中山路二段,residential,False,70.677,"LINESTRING (121.771829 24.8239006, 121.7720183 24.8242992, 121.7721062 24.8244843)",,,,
"[26697027, 330177765]",False,"['中山路一段', '中山路二段']",residential,True,324.00299999999993,"LINESTRING (121.771829 24.8239006, 121.7718016 24.8238377, 121.7714976 24.8231391, 121.7714886 24.8231183, 121.7713456 24.8226513, 121.7711706 24.8220257, 121.7711206 24.8218375, 121.7710271 24.8214856, 121.7709271 24.8211094)",,,,
375653494,False,復興街,residential,True,60.943,"LINESTRING (121.771829 24.8239006, 121.7714976 24.8240247, 121.77139 24.824065, 121.7712708 24.8241097)",,,,
444963486,False,湯圍街,residential,True,29.914,"LINESTRING (121.7725178 24.8251854, 121.7727762 24.8250536)",,,,
26697027,False,中山路二段,residential,False,158.406,"LINESTRING (121.7725178 24.8251854, 121.7730108 24.8259253, 121.7730987 24.8260572, 121.773113 24.8260682, 121.7731609 24.8261265, 121.7733691 24.8263798)",,,,
26697027,False,中山路二段,residential,True,88.34,"LINESTRING (121.7725178 24.8251854, 121.7724336 24.8250349, 121.7721062 24.8244843)",,,,
444963486,False,湯圍街,residential,False,77.81700000000001,"LINESTRING (121.7725178 24.8251854, 121.7723654 24.8252984, 121.7719207 24.8256282)",,,,
26697027,False,中山路二段,residential,False,64.049,"LINESTRING (121.7733691 24.8263798, 121.7737742 24.8268232)",,,,
26697027,False,中山路二段,residential,True,158.406,"LINESTRING (121.7733691 24.8263798, 121.7731609 24.8261265, 121.773113 24.8260682, 121.7730987 24.8260572, 121.7730108 24.8259253, 121.7725178 24.8251854)",,,,
200951866,False,德陽街,residential,False,202.20300000000003,"LINESTRING (121.7733691 24.8263798, 121.7736133 24.8262233, 121.7736855 24.8261386, 121.7737395 24.8260164, 121.7737569 24.82581, 121.7737933 24.8256664, 121.7738792 24.825531, 121.7739556 24.8254654, 121.7740914 24.8253485, 121.774122 24.8253246, 121.7741522 24.825301, 121.7743536 24.8251498, 121.7745382 24.8250035)",,,,
26697027,False,中山路二段,residential,True,112.082,"LINESTRING (121.7745913 24.8275059, 121.7737742 24.8268232)",,,,
323595524,False,溫泉路,residential,False,61.348,"LINESTRING (121.7745913 24.8275059, 121.7750721 24.8271683)",,,,
906877176,False,德陽路,tertiary,False,6.617,"LINESTRING (121.7726094 24.8278539, 121.7725622 24.8278952)",宜5,,,
