osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,maxspeed,width
544950357,139,民族路,secondary,False,True,17.811,"LINESTRING (120.6799636 23.9066313, 120.6797919 23.9065994)",,,,,
544950356,139,民族路,secondary,False,False,279.979,"LINESTRING (120.6799636 23.9066313, 120.6803615 23.9067151, 120.6806731 23.9067864, 120.6808961 23.9068416, 120.681222 23.906913, 120.6814393 23.9069657, 120.6816262 23.9070051, 120.6817625 23.907037, 120.6818748 23.9070654, 120.6826276 23.9072678)",,,,,
906018058,3,南崗二路,primary,True,False,89.793,"LINESTRING (120.6799636 23.9066313, 120.679865 23.9070414, 120.6797818 23.9074215)",2,,,,
205364407,,大同街,residential,False,True,285.051,"LINESTRING (120.6884997 23.9056863, 120.6884132 23.9060973, 120.6883065 23.9066242, 120.6882777 23.9067797, 120.6882509 23.9069143, 120.6881698 23.9074143, 120.6880697 23.9078285, 120.687976 23.9082038)",,,,,
205364391,,民權街,residential,False,False,73.989,"LINESTRING (120.6856365 23.909197, 120.6863113 23.9094464)",,,,,
205364391,,民權街,residential,False,True,98.837,"LINESTRING (120.6856365 23.909197, 120.6847204 23.9088992)",,,,,
205364400,,中山街,residential,False,False,94.651,"LINESTRING (120.6856365 23.909197, 120.685934 23.9083904)",,,,,
205364400,,中山街,residential,False,True,100.104,"LINESTRING (120.6856365 23.909197, 120.6853001 23.9100431)",,,,,
205364391,,民權街,residential,False,False,98.115,"LINESTRING (120.6874459 23.9098408, 120.6883549 23.9101375)",,,,,
205364391,,民權街,residential,False,True,123.43199999999999,"LINESTRING (120.6874459 23.9098408, 120.6869423 23.9096634, 120.6865886 23.9095528, 120.6863113 23.9094464)",,,,,
205364407,,大同街,residential,False,False,95.751,"LINESTRING (120.6874459 23.9098408, 120.6875534 23.909543, 120.6877412 23.9090231)",,,,,
205364407,,大同街,residential,False,True,99.87599999999999,"LINESTRING (120.6874459 23.9098408, 120.6871572 23.9105933, 120.6871118 23.9106154, 120.6870551 23.9106012)",,,,,
205364389,,玉井街,residential,False,True,24.094,"LINESTRING (120.6840009 23.9119553, 120.6837978 23.912067)",,,,,
205364402,,藍田街,residential,False,True,108.148,"LINESTRING (120.6840009 23.9119553, 120.6834138 23.9111442)",,,,,
205364389,,玉井街,residential,False,False,84.171,"LINESTRING (120.6840009 23.9119553, 120.684556 23.9116359, 120.6847017 23.9115521)",,,,,
