osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,tunnel,access
309157014,False,8,仁愛路四段,secondary,True,13.219,"LINESTRING (121.5636444 25.0375211, 121.5635132 25.0375228)",,,,,
244509947,True,4,市府路,secondary,False,176.974,"LINESTRING (121.5636444 25.0375211, 121.5636474 25.037697, 121.563675 25.0390173, 121.5636758 25.0391124)",,,,,
299836291,False,,信義路四段,secondary,True,16.933,"LINESTRING (121.5595406 25.0331222, 121.5597077 25.0331059)",,,,,
299836291,False,,信義路四段,secondary,False,16.933,"LINESTRING (121.5597077 25.0331059, 121.5595406 25.0331222)",,,,,
49153851,True,3,基隆路一段,secondary,False,56.813,"LINESTRING (121.5597077 25.0331059, 121.559784 25.0332097, 121.5599866 25.0335495)",,,,,
335596325,True,,松智路,tertiary,False,129.145,"LINESTRING (121.5654667 25.0390595, 121.5654666 25.0390541, 121.5654652 25.0389894, 121.5654415 25.0378983)",,,,,
335596330,True,,松高路,tertiary,False,10.815000000000001,"LINESTRING (121.5654667 25.0390595, 121.5654727 25.0390597, 121.565574 25.0390624)",,,,,
308724902,True,,松智路,tertiary,False,9.899,"LINESTRING (121.565402 25.0358979, 121.5653996 25.0358089)",,,,,
308724901,True,,松壽路,tertiary,False,179.886,"LINESTRING (121.565402 25.0358979, 121.5653483 25.0358992, 121.5649942 25.0359079, 121.5639979 25.0359323, 121.5637215 25.0359488, 121.5636176 25.0359477)",,,,,
252657379,True,,松壽路,tertiary,False,11.863,"LINESTRING (121.5653996 25.0358089, 121.5654414 25.035807, 121.5655172 25.0358036)",,,,,
252657381,True,,松智路,tertiary,False,116.296,"LINESTRING (121.5653996 25.0358089, 121.5653979 25.0357643, 121.5653957 25.0357051, 121.5653904 25.034887, 121.5653892 25.0347631)",,,,,
49153742,False,,,residential,False,183.65300000000002,"LINESTRING (121.5653892 25.0347631, 121.5652952 25.0347637, 121.5636195 25.0347751, 121.5635672 25.0347836)",,,,,
252657381,True,,松智路,tertiary,False,84.88600000000001,"LINESTRING (121.5653892 25.0347631, 121.5653883 25.034703, 121.5653883 25.0345827, 121.5653884 25.0340704, 121.5653884 25.0339997)",,,,,
49153742,False,,,residential,True,183.65300000000002,"LINESTRING (121.5635672 25.0347836, 121.5636195 25.0347751, 121.5652952 25.0347637, 121.5653892 25.0347631)",,,,,
231534776,True,3,市府路,secondary,False,118.816,"LINESTRING (121.5635672 25.0347836, 121.5636054 25.0357839, 121.563603 25.0358515)",,,,,
238704234,True,4,信義路五段,secondary,False,7.098,"LINESTRING (121.5613884 25.0330523, 121.561318 25.0330548)",50,,,,
229887107,True,1,莊敬路,tertiary,False,194.253,"LINESTRING (121.5613884 25.0330523, 121.5613938 25.0331272, 121.561398 25.0337208, 121.5613838 25.0338403, 121.5613478 25.0339159, 121.5612653 25.0339966, 121.5611821 25.0340477, 121.5606346 25.0343212, 121.5605296 25.0343728)",30,5,,,
49153841,True,3,基隆路一段,secondary,False,188.855,"LINESTRING (121.5605296 25.0343728, 121.5613199 25.0356478, 121.5613679 25.035726, 121.5614444 25.0358552)",,,,,
49153841,True,3,基隆路一段,secondary,False,5.914,"LINESTRING (121.5605009 25.0343264, 121.5605296 25.0343728)",,,,,
49153746,True,1,莊敬路,tertiary,False,187.337,"LINESTRING (121.5605009 25.0343264, 121.5606053 25.0342711, 121.5607734 25.0341853, 121.5611297 25.034008, 121.5612223 25.0339572, 121.5612839 25.0338938, 121.5613208 25.0338348, 121.5613363 25.0337633, 121.5613381 25.033695, 121.5613233 25.0331256, 121.561318 25.0330548)",30,5,,,
334841512,True,3,信義路五段,secondary,False,162.406,"LINESTRING (121.561318 25.0330548, 121.5612948 25.0330551, 121.5612399 25.0330558, 121.5598543 25.0330891, 121.5597077 25.0331059)",50,,,,
198643101,True,,松智路,tertiary,False,9.918000000000001,"LINESTRING (121.5655172 25.0358036, 121.5655173 25.0358197, 121.5655175 25.0358818, 121.5655175 25.0358928)",,,,,
198643103,True,,松壽路,tertiary,False,87.086,"LINESTRING (121.5655172 25.0358036, 121.5655334 25.0358032, 121.5655927 25.0358018, 121.5656274 25.035801, 121.5663813 25.0357831)",,,,,
198645489,True,,松壽路,tertiary,False,11.65,"LINESTRING (121.5655175 25.0358928, 121.5654421 25.0358961, 121.565402 25.0358979)",,,,,
198645491,True,,松智路,tertiary,False,129.214,"LINESTRING (121.5655175 25.0358928, 121.5655179 25.0359937, 121.5655373 25.0370547)",,,,,
238686797,True,,松智路,tertiary,False,9.685,"LINESTRING (121.565574 25.0390624, 121.565574 25.0390634, 121.565575 25.0391495)",,,,,
268569318,True,,松高路,tertiary,False,54.242999999999995,"LINESTRING (121.565574 25.0390624, 121.565575 25.0390624, 121.5656501 25.0390604, 121.5658478 25.0390553, 121.5661122 25.0390485)",,,,,
198645488,True,3,基隆路一段,secondary,False,107.719,"LINESTRING (121.5603204 25.0344965, 121.5601842 25.0342677, 121.5598369 25.0336326)",,,,,
