osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,access,width
308170363,2,3;114,中山路一段,primary,False,True,13.573,"LINESTRING (121.4627443 25.010586, 121.4628696 25.0106308)",,,
27595303,2,3;114,中山路一段,primary,False,False,154.466,"LINESTRING (121.4627443 25.010586, 121.4626399 25.0105283, 121.461692 25.0100932, 121.4614766 25.0099658, 121.4614445 25.0098888)",,,
111317497,,106,民權路,secondary,True,False,139.615,"LINESTRING (121.4627443 25.010586, 121.4627625 25.0105284, 121.4627849 25.0104765, 121.4628596 25.0102949, 121.462971 25.0100179, 121.4631239 25.0096051, 121.4631627 25.0094875, 121.4631874 25.0093971)",,,
326955641,,,縣民大道二段,secondary,True,False,136.313,"LINESTRING (121.4678358 25.0162735, 121.46684 25.0156413, 121.4668162 25.0156262, 121.4667288 25.0155689)",30,,
327350101,,,縣民大道二段,secondary,True,False,120.999,"LINESTRING (121.4669816 25.0155048, 121.4679467 25.0161523)",,,
318170911,,,板新路,residential,True,False,17.507,"LINESTRING (121.4679467 25.0161523, 121.4678358 25.0162735)",,,
338478396,,,縣民大道二段,secondary,True,False,11.331,"LINESTRING (121.4667288 25.0155689, 121.4666422 25.0155039)",30,,
337591652,,3,文化路一段,primary,True,False,11.632,"LINESTRING (121.4630337 25.0163479, 121.4629655 25.0162635)",50,,
308170363,2,3;114,中山路一段,primary,False,False,13.573,"LINESTRING (121.4628696 25.0106308, 121.4627443 25.010586)",,,
308170365,4,3;106,民權路,primary,True,False,116.364,"LINESTRING (121.4628696 25.0106308, 121.4627639 25.0107737, 121.4627327 25.0108147, 121.4621122 25.0112793, 121.4620292 25.0113377)",,,
318090107,2,114,中山路一段,secondary,False,True,108.721,"LINESTRING (121.4628696 25.0106308, 121.4630626 25.0107097, 121.4638339 25.0110689)",,,
819440040,,3;106,民權路,primary,True,False,21.589,"LINESTRING (121.4617587 25.0113448, 121.4619259 25.0112234)",,,
290153027,,,縣民大道一段,secondary,True,False,141.32399999999998,"LINESTRING (121.4617587 25.0113448, 121.4616881 25.0112655, 121.461455 25.0109684, 121.4612476 25.0107289, 121.4609135 25.0103309)",,,
1090894290,,,縣民大道二段,secondary,True,False,12.415,"LINESTRING (121.4655144 25.0144952, 121.465611 25.0145645)",,,
