osmid,oneway,ref,name,highway,reversed,length,lanes,maxspeed,geometry,bridge
545413997,True,178,大成路,secondary,False,44.745,,,"LINESTRING (120.2983542 23.1298217, 120.2979225 23.129756)",
552877945,False,,和平路,residential,False,79.123,,,"LINESTRING (120.2983542 23.1298217, 120.2982324 23.1305244)",
552877945,False,,和平路,residential,True,8.082,,,"LINESTRING (120.2983542 23.1298217, 120.2983665 23.1297499)",
765325673,False,南123,中正路,tertiary,False,9.517,,,"LINESTRING (120.2936269 23.1344917, 120.2936378 23.1344067)",
139968346,False,,樹人路,residential,False,40.592,,,"LINESTRING (120.3008843 23.1301947, 120.3008211 23.1305551)",
139968346,False,,樹人路,residential,True,7.919,,,"LINESTRING (120.3008843 23.1301947, 120.3008967 23.1301244)",
305251291,True,178,大成路,secondary,False,132.412,,,"LINESTRING (120.3008843 23.1301947, 120.2996047 23.1300122)",
294678369,False,,民權路,residential,False,12.326,,,"LINESTRING (120.2968166 23.1310748, 120.2966979 23.1310555)",
294678369,False,,民權路,residential,True,79.404,,,"LINESTRING (120.2968166 23.1310748, 120.2975838 23.1311851)",
545413999,True,,建國路,tertiary,False,81.147,2,50,"LINESTRING (120.2968166 23.1310748, 120.2966839 23.1317943)",
140983576,False,,青年路,residential,True,6.79,,,"LINESTRING (120.2956189 23.1294124, 120.2956294 23.1293521)",
294678365,True,178,大成路,secondary,False,76.433,,,"LINESTRING (120.2956189 23.1294124, 120.2948808 23.129304)",
140983576,False,,青年路,residential,False,79.967,,,"LINESTRING (120.2956189 23.1294124, 120.2955863 23.1296025, 120.2954972 23.1301228)",
141032910,True,178,大成路,secondary,False,96.68,,,"LINESTRING (120.2939562 23.1291201, 120.2948911 23.1292497)",
545409522,False,178,光復路,secondary,True,103.543,2,50,"LINESTRING (120.2939562 23.1291201, 120.2930254 23.1287535)",
140983563,False,19甲,中正路,primary,True,114.703,,40,"LINESTRING (120.2939562 23.1291201, 120.2939455 23.1296471, 120.2939292 23.129942, 120.2939232 23.1301511)",
305251287,False,19甲,中正路,primary,False,141.999,2,50,"LINESTRING (120.2939562 23.1291201, 120.2939829 23.1284783, 120.2939925 23.1278436)",
294678368,False,,民族路,residential,True,134.167,,,"LINESTRING (120.2966839 23.1317943, 120.2979798 23.1319832)",
545413999,True,,建國路,tertiary,False,38.029,2,50,"LINESTRING (120.2966839 23.1317943, 120.2966231 23.1321317)",
140983575,False,,中山路,residential,True,10.877,,,"LINESTRING (120.2966231 23.1321317, 120.2965177 23.1321185)",
545413999,True,,建國路,tertiary,False,89.37,2,50,"LINESTRING (120.2966231 23.1321317, 120.2964426 23.1329181)",
1161626141,False,,中山路,residential,False,134.436,,,"LINESTRING (120.2966231 23.1321317, 120.297926 23.1322934)",
140983545,False,19甲,中山路,primary,True,110.619,,40,"LINESTRING (120.2938721 23.1321277, 120.2927932 23.1322004)",
140983563,False,19甲,中正路,primary,False,84.563,,40,"LINESTRING (120.2938721 23.1321277, 120.2938986 23.1313676)",
