osmid,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,bridge
"[996836158, 112299233, 112299222]","['建功街', '建功地下道']",tertiary,60,False,True,242.293,yes,"LINESTRING (120.8216875 24.5641413, 120.8218015 24.5640993, 120.8225437 24.5640065, 120.8229924 24.56392, 120.8232653 24.5638668, 120.8238988 24.5638216, 120.823956 24.5638195, 120.8240491 24.5638162)",
349679674,,residential,,True,False,158.62099999999998,yes,"LINESTRING (120.8216875 24.5641413, 120.8218 24.5640743, 120.8218761 24.5640493, 120.8225335 24.563927, 120.8231623 24.5638117, 120.8232021 24.5638044)",
349679677,,residential,40,True,False,222.508,,"LINESTRING (120.8216875 24.5641413, 120.8217958 24.5640331, 120.8222849 24.5639239, 120.8224396 24.5638923, 120.8225059 24.5638787, 120.8225782 24.5638686, 120.8226133 24.5640201, 120.8226298 24.5640922, 120.8225328 24.5641184, 120.8221289 24.5641813, 120.8218027 24.564221, 120.8216875 24.5641413)",
392702492,府東路,tertiary,,False,True,101.828,,"LINESTRING (120.8216875 24.5641413, 120.8217192 24.5643465, 120.8217686 24.5646351, 120.8217889 24.5648188, 120.8217983 24.5649296, 120.8217741 24.5650483)",
392702494,縣府路,tertiary,60,False,False,92.249,,"LINESTRING (120.8216875 24.5641413, 120.8215946 24.5641808, 120.8208101 24.5643628)",
392702495,府東路,tertiary,,False,False,202.87500000000003,,"LINESTRING (120.8216875 24.5641413, 120.8216713 24.5639933, 120.8215944 24.5636966, 120.8215413 24.5634822, 120.8215267 24.5634162, 120.821506 24.5633557, 120.8214516 24.5630829, 120.8214033 24.5629585, 120.8213738 24.5629048, 120.821288 24.5628207, 120.8211968 24.5627719, 120.821123 24.5627475, 120.8209648 24.5627292, 120.8208293 24.5627414)",
349679675,,residential,40,True,False,85.399,,"LINESTRING (120.8240491 24.5638162, 120.8239561 24.5638493, 120.8239378 24.5638558, 120.8233242 24.5638914, 120.8232919 24.5639032, 120.8232221 24.5639288)",
"[112299233, 112299222, 996836158]","['建功街', '建功地下道']",tertiary,60,False,False,242.29299999999998,yes,"LINESTRING (120.8240491 24.5638162, 120.823956 24.5638195, 120.8238988 24.5638216, 120.8232653 24.5638668, 120.8229924 24.56392, 120.8225437 24.5640065, 120.8218015 24.5640993, 120.8216875 24.5641413)",
392702494,縣府路,tertiary,60,False,False,33.64,,"LINESTRING (120.8208101 24.5643628, 120.8204885 24.5644401)",
392702494,縣府路,tertiary,60,False,True,92.249,,"LINESTRING (120.8208101 24.5643628, 120.8215946 24.5641808, 120.8216875 24.5641413)",
