osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes,tunnel
199680814,人和路,unclassified,False,True,157.187,"LINESTRING (120.5062082 22.4892603, 120.5065978 22.4891745, 120.5073995 22.4891399, 120.5076724 22.4891317, 120.507719 22.4891566)",,,,
521611029,人和路,tertiary,False,True,123.263,"LINESTRING (120.5062082 22.4892603, 120.5060131 22.4890804, 120.505761 22.4888648, 120.5053143 22.4885221)",屏73,,,
521611030,三民路,secondary,False,True,163.91400000000002,"LINESTRING (120.5062082 22.4892603, 120.5064626 22.4895325, 120.5068062 22.4899813, 120.5068429 22.4900508, 120.5072116 22.4900475, 120.5073704 22.4900495)",187乙;屏73,,,
199680814,人和路,unclassified,False,False,110.371,"LINESTRING (120.5115435 22.4890276, 120.5114859 22.4890351, 120.5109108 22.4890506, 120.5104725 22.4890937)",,,,
797849741,三民路,secondary,False,True,40.007,"LINESTRING (120.5073704 22.4900495, 120.5077598 22.4900471)",187乙,,,
225771984,民族路,tertiary,False,True,161.23000000000002,"LINESTRING (120.5073704 22.4900495, 120.5075339 22.4904151, 120.507614 22.4905074, 120.5076638 22.4905582, 120.5077361 22.4906538, 120.5077831 22.4908277, 120.5077837 22.4910053, 120.5077359 22.4913969)",屏73,,,
521611030,三民路,secondary,False,False,163.91400000000002,"LINESTRING (120.5073704 22.4900495, 120.5072116 22.4900475, 120.5068429 22.4900508, 120.5068062 22.4899813, 120.5064626 22.4895325, 120.5062082 22.4892603)",187乙;屏73,,,
225771984,民族路,tertiary,False,False,161.23,"LINESTRING (120.5077359 22.4913969, 120.5077837 22.4910053, 120.5077831 22.4908277, 120.5077361 22.4906538, 120.5076638 22.4905582, 120.507614 22.4905074, 120.5075339 22.4904151, 120.5073704 22.4900495)",屏73,,,
"[225771984, 225771981, 225771982]","['民族路', '南州路']",tertiary,False,True,198.962,"LINESTRING (120.5077359 22.4913969, 120.5077138 22.4914514, 120.5076378 22.4917361, 120.5076278 22.4919803, 120.5075948 22.4921238, 120.5075747 22.4923403, 120.5076792 22.4924464, 120.5079789 22.4926112, 120.5083074 22.4928118)",屏73,yes,,
"[308827521, 308827565]",營安路,"['residential', 'unclassified']",False,True,281.11000000000007,"LINESTRING (120.5077359 22.4913969, 120.5074296 22.4913723, 120.5071644 22.4913775, 120.5069203 22.4914425, 120.5063919 22.491717, 120.5062652 22.4917709, 120.5061753 22.4918062, 120.506125 22.4918217, 120.5060499 22.4918564, 120.5055944 22.4919964, 120.5054426 22.4920143, 120.5053782 22.4920127, 120.5051814 22.4918999)",,,,
465896657,營安路,residential,False,False,224.904,"LINESTRING (120.5077359 22.4913969, 120.5083439 22.4914815, 120.5085037 22.4914984, 120.5086141 22.4915074, 120.508813 22.4913803, 120.5089713 22.4911052, 120.5094313 22.4905892)",,,,
225771979,長興路,tertiary,False,True,274.021,"LINESTRING (120.5093593 22.4945063, 120.5085954 22.4943388, 120.508434 22.4943184, 120.5082057 22.4942911, 120.507969 22.4942743, 120.5067182 22.494232)",屏72,,,
225771982,南州路,tertiary,False,False,227.578,"LINESTRING (120.5093593 22.4945063, 120.5093778 22.4941808, 120.509363 22.4940535, 120.5092988 22.4938905, 120.5091855 22.4937126, 120.509007 22.4935167, 120.5088086 22.4933207, 120.5085535 22.493077, 120.5083074 22.4928118)",屏73,,,
308827523,,unclassified,False,False,229.243,"LINESTRING (120.5095374 22.4872487, 120.5095892 22.4874185, 120.509617 22.4875435, 120.509658 22.4877176, 120.5098123 22.4880032, 120.5099401 22.4882462, 120.509995 22.4884463, 120.5102127 22.4887562, 120.5104725 22.4890937)",,,,
923032199,,residential,False,False,33.705,"LINESTRING (120.5133236 22.4944372, 120.5136513 22.4944517)",,,,
1027639114,,residential,False,False,35.516,"LINESTRING (120.5133236 22.4944372, 120.5133147 22.4941179)",,,,
"[1027639113, 923032205]",,residential,False,True,90.007,"LINESTRING (120.5133236 22.4944372, 120.5132594 22.4944446, 120.5130903 22.4944848, 120.5127977 22.4945336, 120.5126591 22.4945552, 120.512586 22.4945666, 120.5124654 22.4945962)",,,2,
1027639114,,residential,False,True,35.516,"LINESTRING (120.5133147 22.4941179, 120.5133236 22.4944372)",,,,
1027639115,,unclassified,False,False,69.504,"LINESTRING (120.5133147 22.4941179, 120.513991 22.4941344)",,,,
1027639114,,residential,False,False,99.286,"LINESTRING (120.5133147 22.4941179, 120.5133409 22.4938548, 120.5133847 22.4938124, 120.5140013 22.4938334)",,,,
1027639116,,residential,False,True,33.486,"LINESTRING (120.5140013 22.4938334, 120.513991 22.4941344)",,,,
1027639117,,residential,False,True,47.773,"LINESTRING (120.5140013 22.4938334, 120.5144663 22.493831)",,,,
