osmid,name,highway,oneway,reversed,length,geometry,access,ref,lanes,junction
351203966,Rue de Bender شارع بندر,tertiary,False,True,35.955,"LINESTRING (43.1455083 11.5893427, 43.145585 11.5896572)",,,,
762492319,Avenue 11 / جادة 11,residential,False,False,67.886,"LINESTRING (43.1455083 11.5893427, 43.1461259 11.5894245)",,,,
37054187,,residential,False,True,11.938,"LINESTRING (43.1464685 11.5923427, 43.1464953 11.5924468)",,,,
351203966,Rue de Bender شارع بندر,tertiary,False,False,60.665,"LINESTRING (43.1464685 11.5923427, 43.1463935 11.5922996, 43.146083 11.5920201, 43.1460561 11.5919808)",,,,
351203966,Rue de Bender شارع بندر,tertiary,False,True,57.166,"LINESTRING (43.1464685 11.5923427, 43.1465614 11.5923845, 43.1466763 11.5924236, 43.1469666 11.5925013)",,,,
24415405,Avenue Abdillahi D. Wais شارع عبد الله ويس,tertiary,False,False,53.736,"LINESTRING (43.1498863 11.5923869, 43.1494721 11.5926494)",,,,
24415405,Avenue Abdillahi D. Wais شارع عبد الله ويس,tertiary,False,True,98.993,"LINESTRING (43.1498863 11.5923869, 43.1506127 11.5918519)",,,,
762114553,Avenue 3 / جادة 3,residential,False,True,11.842,"LINESTRING (43.1498863 11.5923869, 43.1497782 11.5923982)",,,,
355179683,Boulevard du Général de Gaulle شارع الجنرال ديغول,primary,True,False,19.555,"LINESTRING (43.1512684 11.5914102, 43.1512232 11.5915804)",,,,
615320491,Avenue Abdillahi D. Wais شارع عبد الله ويس,tertiary,False,False,9.237,"LINESTRING (43.1512684 11.5914102, 43.151195 11.5914518)",,,,
30828117,Rue de Moscou شارع موسكو,residential,False,False,75.555,"LINESTRING (43.1486917 11.5939027, 43.1480186 11.5940668)",,,,
304906629,Rue Isfahan شارع أصفهان,tertiary,False,False,22.775,"LINESTRING (43.1486917 11.5939027, 43.148649 11.5937022)",,,,
304906629,Rue Isfahan شارع أصفهان,tertiary,False,True,26.261,"LINESTRING (43.1486917 11.5939027, 43.148761 11.5941289)",,,,
616969159,,residential,False,True,62.255,"LINESTRING (43.1486917 11.5939027, 43.1492497 11.5937816)",,,,
616947139,,residential,False,True,7.23,"LINESTRING (43.1459275 11.5968302, 43.1458674 11.5968578)",,,,
480853691,Rue Kairen Kayad Wador شارع كايرين كاياد وادور,residential,False,True,98.361,"LINESTRING (43.1459275 11.5968302, 43.1460328 11.5968167, 43.1462032 11.5968035, 43.1468282 11.5967711)",,,,
24415395,,secondary,True,False,9.548,"LINESTRING (43.1458653 11.5967697, 43.1459275 11.5968302)",,,,
24415396,,secondary,False,False,45.963,"LINESTRING (43.1458653 11.5967697, 43.1457719 11.5963666)",,,,
24415396,,secondary,False,True,45.963,"LINESTRING (43.1457719 11.5963666, 43.1458653 11.5967697)",,,,
148704545,Boulevard Bonhoure شارع بونور,secondary,False,True,46.528,"LINESTRING (43.1457719 11.5963666, 43.1456771 11.5959586)",,,,
148704528,Rue de Marchand شارع التجاري,secondary,False,False,60.079,"LINESTRING (43.1457719 11.5963666, 43.1461141 11.5963217, 43.1463172 11.5962862)",,,,
