osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,access,width,junction
4018845,True,Via Larga,residential,30,False,20.529,"LINESTRING (9.1909082 45.4606321, 9.1910115 45.4606411, 9.1910874 45.4606555, 9.1911595 45.4606806)",,,,,
"[275186722, 275186714, 275186719]",True,Via Larga,residential,30,False,182.30700000000002,"LINESTRING (9.1916149 45.4609923, 9.1916856 45.4610423, 9.1922643 45.4614566, 9.1927187 45.461782, 9.1929209 45.4619268, 9.1930862 45.4620206, 9.1933007 45.4621227)",,,,,
275186718,True,Via Larga,residential,30,False,17.897,"LINESTRING (9.1939585 45.4624311, 9.1940922 45.4624918, 9.1941511 45.4625186)",2,,,,
8132447,False,Via Larga,residential,,False,8.133000000000001,"LINESTRING (9.1914606 45.4610995, 9.1915164 45.4610611, 9.1915352 45.4610484)",,,,,
274988114,False,Via Flavio Baracchini,residential,30,True,88.155,"LINESTRING (9.1914606 45.4610995, 9.1913922 45.4611529, 9.1907599 45.4616285, 9.1906911 45.4616802)",,,,,
275186721,True,Via Larga,residential,30,False,35.075,"LINESTRING (9.1914606 45.4610995, 9.1913482 45.4610226, 9.1911368 45.4608806)",,,,,
8132446,True,Via Larga,residential,30,False,24.488,"LINESTRING (9.1913956 45.4608347, 9.1914977 45.4609081, 9.1916149 45.4609923)",,,,,
"[275260146, 252422219]",True,Via Larga,residential,,False,21.6,"LINESTRING (9.1913956 45.4608347, 9.1913062 45.4608731, 9.1912795 45.4608807, 9.1912611 45.4608838, 9.1911368 45.4608806)",,,,,
43375972,True,Piazza Armando Diaz,residential,30,False,75.86,"LINESTRING (9.1897074 45.4627117, 9.1896987 45.4620295)",1,,,,
"[4520105, 45671218, 45671217]",True,Via Gaetano Giardino,residential,"['50', '30']",False,93.824,"LINESTRING (9.1897074 45.4627117, 9.1895844 45.4627137, 9.1895365 45.462714, 9.1894946 45.4627143, 9.1891618 45.4627168, 9.1889905 45.4627204, 9.1889646 45.4627223, 9.1889386 45.4627257, 9.1889088 45.4627303, 9.1888615 45.4627399, 9.1888262 45.462747, 9.1888034 45.4627494, 9.1887802 45.4627508, 9.1887601 45.4627518, 9.18874 45.4627514, 9.1887091 45.4627499, 9.188687 45.4627488, 9.1886251 45.4627396, 9.1885936 45.4627373, 9.1885297 45.4627326, 9.1885117 45.4627313)",,building_passage,,,
4018835,True,Via San Clemente,residential,30,False,32.980000000000004,"LINESTRING (9.193923 45.4625783, 9.193877 45.4625921, 9.1938387 45.4626036, 9.1938088 45.4626192, 9.1937756 45.4626421, 9.1937327 45.4626854, 9.1937091 45.4627179, 9.1936893 45.4627531, 9.1936681 45.4627971)",1,,,,
"[14348297, 274988410]",True,Via Larga,unclassified,30,False,19.577,"LINESTRING (9.193923 45.4625783, 9.1938518 45.4625434, 9.1938474 45.4625412, 9.1937174 45.4624773)",2,,,,
8423865,False,Via Rastrelli,residential,30,False,81.898,"LINESTRING (9.1912718 45.4621467, 9.1913635 45.4620863, 9.1920366 45.461642)",,,no,,
"[1104695552, 8311387, 1104695551]",True,Via Rastrelli,residential,,False,108.42099999999999,"LINESTRING (9.1912718 45.4621467, 9.1911854 45.4621997, 9.1906919 45.4626525, 9.1906391 45.4626796, 9.190569 45.4627002, 9.1903611 45.4627072, 9.1902615 45.4627082, 9.1902479 45.462708)",,,,,
4018845,True,Via Larga,residential,30,False,25.167,"LINESTRING (9.1911595 45.4606806, 9.1912194 45.4607153, 9.1913956 45.4608347)",,,,,
8311367,True,Via Francesco Pecorari,residential,30,False,104.56800000000001,"LINESTRING (9.192308 45.4627073, 9.1922269 45.4626921, 9.1921359 45.4626583, 9.1918053 45.4625359, 9.1916973 45.4624858, 9.1913177 45.4622201, 9.1912718 45.4621467)",1,,,7.3,
8423867,True,Via Palazzo Reale,residential,30,False,85.251,"LINESTRING (9.192308 45.4627073, 9.1923662 45.4626454, 9.1923751 45.4626372, 9.1924313 45.4625569, 9.1927599 45.4620932, 9.1927977 45.4620231)",,,,,
"[4520101, 4520102]",True,"['Via Alberico Albricci', 'Via Paolo da Cannobio']",residential,30,False,200.58599999999998,"LINESTRING (9.1911368 45.4608806, 9.1910314 45.460839, 9.1909334 45.4608175, 9.1908587 45.4608136, 9.1907635 45.460823, 9.1902152 45.4609256, 9.1899088 45.460983, 9.1899003 45.4610142, 9.1899034 45.4610499, 9.1899159 45.4610686, 9.1905963 45.461599, 9.1906911 45.4616802)",,,,,
"[275186723, 252422220]",True,Via Larga,residential,,False,33.106,"LINESTRING (9.1911368 45.4608806, 9.191105 45.4608203, 9.1910788 45.4607937, 9.1910539 45.4607701, 9.191035 45.460752, 9.190994 45.4607112, 9.1909082 45.4606321)",,,,,
"[492314001, 4520100]",False,Via Maurizio Gonzaga,residential,30,False,112.24199999999999,"LINESTRING (9.1896987 45.4620295, 9.1896938 45.4619837, 9.1896792 45.4619639, 9.189353 45.4617384, 9.1887961 45.4613627, 9.1887361 45.4613194, 9.1887187 45.4613067)",2,,,,
200401771,True,Piazza Armando Diaz,residential,30,False,44.0,"LINESTRING (9.1896987 45.4620295, 9.1899261 45.4620294, 9.1902628 45.4620247)",2,,,,
"[8311371, 147175277]",False,Via Flavio Baracchini,residential,30,False,50.888000000000005,"LINESTRING (9.1902628 45.4620247, 9.1903078 45.4619771, 9.1903664 45.4619318, 9.19063 45.4617278, 9.1906911 45.4616802)",2,,,,
"[200401770, 1201126414]",True,Piazza Armando Diaz,residential,30,False,75.993,"LINESTRING (9.1902628 45.4620247, 9.1902593 45.4622866, 9.1902574 45.4624249, 9.1902475 45.4626563, 9.1902479 45.462708)",1,,,,
"[8311371, 147175277]",False,Via Flavio Baracchini,residential,30,True,50.888000000000005,"LINESTRING (9.1906911 45.4616802, 9.19063 45.4617278, 9.1903664 45.4619318, 9.1903078 45.4619771, 9.1902628 45.4620247)",2,,,,
274988114,False,Via Flavio Baracchini,residential,30,False,88.155,"LINESTRING (9.1906911 45.4616802, 9.1907599 45.4616285, 9.1913922 45.4611529, 9.1914606 45.4610995)",,,,,
274988115,True,Via Paolo da Cannobio,residential,30,False,68.866,"LINESTRING (9.1906911 45.4616802, 9.1907782 45.4617516, 9.1909117 45.4618594, 9.1912046 45.4620963, 9.1912718 45.4621467)",1,,,,
"[275186717, 252421997]",True,Via Larga,residential,30,False,146.36499999999998,"LINESTRING (9.1927977 45.4620231, 9.192153 45.4615713, 9.1917441 45.4612928, 9.1915937 45.4611903, 9.1914606 45.4610995)",,,,,
"[274408454, 141633903]",True,Via Cesare Cantù,residential,30,False,31.820999999999998,"LINESTRING (9.186519 45.4640142, 9.1865927 45.4640723, 9.1866363 45.4641012, 9.1866792 45.4641301, 9.1867984 45.4642225)",,,,,
"[134397031, 273741631]",True,Via Armorari,residential,30,False,116.156,"LINESTRING (9.186519 45.4640142, 9.1864511 45.4640514, 9.186018 45.4642891, 9.1853361 45.4646489)",,,,,
"[166623697, 166623699, 4520055]",True,"['Via Cardinale Federico', 'Piazza Santa Maria Beltrade', 'Via delle Asole']",residential,30,False,151.20800000000003,"LINESTRING (9.1854833 45.4628667, 9.1855773 45.4629437, 9.1856372 45.4629767, 9.1857208 45.4630188, 9.1859616 45.4631929, 9.1860038 45.4631652, 9.1863282 45.462937, 9.1864975 45.4628519, 9.1867917 45.4626623, 9.1868196 45.4626441, 9.1868637 45.4625953, 9.1868758 45.4625809)",1,,yes,,
"[168553888, 397339236]",True,"['Via Valpetrosa', 'Piazza San Sepolcro']",residential,30,False,49.30200000000001,"LINESTRING (9.1853554 45.4624566, 9.185324 45.4625528, 9.1853247 45.462573, 9.1853576 45.4627411, 9.1853738 45.4627717, 9.1854833 45.4628667)",,,,,
168734390,False,Via Valpetrosa,residential,,True,94.74099999999999,"LINESTRING (9.1853554 45.4624566, 9.1853774 45.4623984, 9.185381 45.4623536, 9.1853704 45.462307, 9.1852671 45.4621183, 9.1852619 45.4620888, 9.185264 45.4620565, 9.1852851 45.4620258, 9.1853214 45.4620041, 9.1857666 45.4618093)",,,,,
120458052,False,Passaggio Centrale,unclassified,,False,12.809,"LINESTRING (9.1863699 45.4645593, 9.186248 45.4646365)",,,,,
"[279628105, 233634300, 233634301]",True,Passaggio Centrale,residential,,False,37.697,"LINESTRING (9.1863699 45.4645593, 9.1865673 45.4647064, 9.1866477 45.4647631, 9.1866746 45.4647808, 9.1867058 45.464803)",,building_passage,,,
4520044,True,Piazza degli Affari,residential,30,False,36.202,"LINESTRING (9.1837395 45.4643143, 9.1837183 45.4643891, 9.1836525 45.4646341)",,,,,
267227308,True,Piazza degli Affari,residential,30,False,39.062,"LINESTRING (9.1836525 45.4646341, 9.1835692 45.4649805)",,,,,
4520080,True,Piazza Tommaso Edison,residential,30,False,28.758,"LINESTRING (9.1844287 45.4643992, 9.1844318 45.464353, 9.1844394 45.4643247, 9.1844584 45.4642909, 9.1845736 45.4641678)",,,,,
4520081,True,Via della Posta,residential,50,False,54.572,"LINESTRING (9.1844287 45.4643992, 9.1843306 45.4643864, 9.1837395 45.4643143)",1,,,,
280775060,False,Via Cordusio,residential,30,True,16.714,"LINESTRING (9.18518 45.4645459, 9.1853361 45.4646489)",,,,,
"[352975915, 168770493]",True,Piazza Tommaso Edison,residential,30,False,60.879999999999995,"LINESTRING (9.18518 45.4645459, 9.1848687 45.4644743, 9.1847966 45.4644584, 9.1844287 45.4643992)",,,,,
"[24711534, 7980550, 172824078]",True,"['Piazza San Sepolcro', ""Via dell'Ambrosiana"", 'Via Moneta']",residential,30,False,166.37900000000002,"LINESTRING (9.1845736 45.4641678, 9.1846008 45.4641111, 9.1846372 45.4640621, 9.1853479 45.4637298, 9.1853881 45.4637053, 9.1854315 45.4636716, 9.1854493 45.4636451, 9.1854531 45.4636133, 9.1854432 45.4635855, 9.1854218 45.4635606, 9.1851701 45.4633894, 9.1851398 45.4633685, 9.1850383 45.4632184, 9.1850322 45.4631991, 9.1850174 45.4631638, 9.1850047 45.4631211, 9.1849642 45.4630952)",1,,,,
"[352975912, 273712491]",True,Piazza Tommaso Edison,residential,30,False,63.418000000000006,"LINESTRING (9.1845736 45.4641678, 9.1846563 45.4642035, 9.1847043 45.4642317, 9.1849796 45.4644107, 9.18518 45.4645459)",,,,,
"[172323219, 24815726, 168553878]",True,Via Nerino,residential,30,False,123.303,"LINESTRING (9.184316 45.4620219, 9.1842827 45.4619637, 9.1838949 45.4616063, 9.1837174 45.4614457, 9.1836004 45.4613157, 9.1835308 45.4612378, 9.1834132 45.4611147)",1,,,,
172323220,False,Via Zecca Vecchia,residential,30,True,61.37200000000001,"LINESTRING (9.184316 45.4620219, 9.1843345 45.4620888, 9.1844545 45.4625121, 9.1845046 45.4625507)",,,,,
274984850,True,Via San Maurilio,residential,30,False,74.464,"LINESTRING (9.184316 45.4620219, 9.1842269 45.4620647, 9.1841117 45.4621222, 9.183634 45.4624281, 9.1835937 45.4624579)",1,,,,
4520054,True,Via del Bollo,residential,30,False,95.797,"LINESTRING (9.1846775 45.4629348, 9.184631 45.4629699, 9.1842784 45.4632481, 9.1838543 45.4635055, 9.1838253 45.463549)",1,,,,
7980549,True,Via Zecca Vecchia,residential,30,False,45.723,"LINESTRING (9.1846775 45.4629348, 9.1846038 45.4628771, 9.1845046 45.4625507)",,,,,
4520073,True,Via Santa Marta,residential,30,False,118.5,"LINESTRING (9.1838253 45.463549, 9.1838354 45.4634947, 9.1838546 45.4634538, 9.1837425 45.4632682, 9.1836986 45.4631755, 9.1836682 45.4630961, 9.1835712 45.4627395, 9.1834883 45.4625577, 9.1834757 45.4625264)",1,,,,
4520075,True,Via Bocchetto,residential,30,False,90.24600000000001,"LINESTRING (9.1838253 45.463549, 9.1838996 45.4636026, 9.1844844 45.4640957, 9.1845736 45.4641678)",1,,,,
4868905,True,Via Sant'Andrea,residential,30,False,49.228,"LINESTRING (9.1953142 45.4681651, 9.1953764 45.4681993, 9.1958106 45.4684386)",,,,,
4868903,False,Piazza Filippo Meda,residential,,False,20.89,"LINESTRING (9.1928607 45.4667277, 9.1929656 45.4667725, 9.1930868 45.4668284)",,,,,
299735473,False,Piazza Filippo Meda,residential,,True,17.77,"LINESTRING (9.1928607 45.4667277, 9.1928131 45.466796, 9.1927607 45.4668713)",2,,,,
"[5110272, 28661081, 23227471, 472195951, 396221878, 472195958, 28661080, 1215122137]",True,"['Via San Paolo', 'Via Agnello']",residential,30,False,205.69400000000002,"LINESTRING (9.1928607 45.4667277, 9.1929729 45.4666129, 9.1930235 45.4665182, 9.193251 45.4661532, 9.1933436 45.4659957, 9.1936182 45.4655118, 9.193626 45.4655006, 9.1936312 45.4654871, 9.1936326 45.4654703, 9.1936296 45.4654563, 9.1936217 45.4654424, 9.1936102 45.4654327, 9.1935669 45.4654156, 9.1935434 45.4654046, 9.1934072 45.4653637, 9.1933392 45.4653432, 9.1932691 45.4653028, 9.1931471 45.4652329, 9.1931358 45.4652283, 9.1930851 45.4652074)",,yes,,,
"[44447728, 23227426, 226139960]",True,"['Piazza Belgioioso', 'Piazza Filippo Meda']",residential,30,False,55.774,"LINESTRING (9.1925868 45.466992, 9.1926269 45.4670094, 9.1927483 45.4670622, 9.1927693 45.4671036, 9.1927584 45.4671286, 9.1927238 45.4671764, 9.1925736 45.4673972)",,building_passage,,,
23227427,False,Piazza Filippo Meda,residential,30,False,19.966,"LINESTRING (9.1925868 45.466992, 9.1926446 45.4669798, 9.1926869 45.4669557, 9.1927607 45.4668713)",2,,,,
274938343,True,Via Adalberto Catena,residential,30,False,53.977999999999994,"LINESTRING (9.1925868 45.466992, 9.1925186 45.4670029, 9.1922517 45.4670254, 9.1919032 45.4670665)",,,,,
"[163757290, 163757282, 163757284, 1000653590]",True,"['Piazza della Scala', 'Largo Raffaele Mattioli', 'Via Case Rotte']",residential,30,False,174.32899999999998,"LINESTRING (9.1919032 45.4670665, 9.191792 45.4670707, 9.1917144 45.4670662, 9.1916504 45.4670562, 9.1915882 45.4670372, 9.1915256 45.4670107, 9.1913358 45.4669278, 9.1912621 45.4669026, 9.1911854 45.4668901, 9.1911257 45.4668849, 9.1910466 45.466886, 9.1909886 45.4668943, 9.1908926 45.4669136, 9.1907944 45.4669501, 9.1906619 45.4670115, 9.1904844 45.4670931, 9.1901464 45.4672859, 9.1900766 45.4673257, 9.1899743 45.467384, 9.1899608 45.4673917)",2,,,,
"[274987589, 274987591]",True,Piazza Armando Diaz,residential,30,False,42.155,"LINESTRING (9.1902479 45.462708, 9.1899209 45.4627098, 9.1897074 45.4627117)",2,,,,
"[4868920, 269518392, 4868927]",True,"['Via Larga', 'Via Chiaravalle']","['residential', 'unclassified']",30,False,147.77699999999996,"LINESTRING (9.1931166 45.4604749, 9.1930342 45.4604952, 9.1925047 45.4606244, 9.191663 45.4608375, 9.1916226 45.4608389, 9.1915886 45.4608273, 9.191492 45.460763, 9.1914481 45.4607964, 9.1913956 45.4608347)",1,,,,
4868918,True,Via Festa del Perdono,residential,,False,6.327,"LINESTRING (9.1949879 45.4619224, 9.1949796 45.4618658)",,,,,
"[400378403, 400378404, 400378406]",False,Piazza Santo Stefano,residential,,True,51.574999999999996,"LINESTRING (9.1949879 45.4619224, 9.1950114 45.4620642, 9.1950796 45.4621788, 9.1950947 45.462301, 9.1950978 45.4623268, 9.1951007 45.4623751)",,,,,
8432342,True,Piazza Santo Stefano,residential,,False,25.84,"LINESTRING (9.1941511 45.4625186, 9.1941953 45.4624732, 9.1943367 45.4623261)",,,,,
275186724,True,Via Larga,residential,30,False,75.36999999999999,"LINESTRING (9.1941511 45.4625186, 9.1946187 45.4627445, 9.1946981 45.4627828, 9.1947802 45.4628154, 9.1948098 45.4628267, 9.1948338 45.4628355, 9.1948632 45.4628444, 9.1948917 45.4628505, 9.1949256 45.4628566, 9.1949432 45.4628593, 9.194975 45.4628633)",2,,,,
"[274988316, 8432343]",True,"['Via Larga', ""Via Sant'Antonio""]",residential,30,False,190.73,"LINESTRING (9.1933007 45.4621227, 9.1933542 45.4620696, 9.193425 45.4619981, 9.1934848 45.4619263, 9.1934982 45.4618986, 9.193503 45.4618634, 9.1934143 45.4614387, 9.1933085 45.4610932, 9.193133 45.4605197, 9.1931166 45.4604749)",1,,,,
"[275186713, 275186715]",True,Via Larga,unclassified,30,False,61.717,"LINESTRING (9.1933007 45.4621227, 9.1937689 45.4623475, 9.1939585 45.4624311)",,,,,
"[5110264, 274934659]",False,Via San Pietro all'Orto,"['unclassified', 'residential']",30,False,140.435,"LINESTRING (9.1957356 45.4657219, 9.1955639 45.4661013, 9.1952301 45.466842, 9.1952204 45.4668659, 9.1951923 45.466926)",,,,,
