osmid,bridge,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed
"[84272348, 15947670]",yes,True,1,motorway_link,False,370.07500000000005,"LINESTRING (-91.6761222 41.9751893, -91.6760626 41.9755383, -91.6760497 41.9756643, -91.676025 41.9757997, -91.6759877 41.9759634, -91.6759378 41.9761078, -91.6758765 41.9762633, -91.6757986 41.9764408, -91.6757257 41.9765877, -91.6756494 41.9767158, -91.6754376 41.9770759, -91.6752252 41.9773843, -91.6750445 41.9776225, -91.6748775 41.9778395, -91.6747301 41.9780099, -91.6746535 41.9781009, -91.6745725 41.9781736, -91.6744849 41.978229)",,,
84272345,yes,True,3,motorway,False,516.08,"LINESTRING (-91.6761222 41.9751893, -91.6761438 41.9752955, -91.6761628 41.9754507, -91.6761641 41.9756253, -91.6761575 41.9758137, -91.6761412 41.9759632, -91.6761028 41.9761506, -91.6760432 41.9763437, -91.675978 41.9765211, -91.6759102 41.9766622, -91.6758244 41.9768151, -91.6757169 41.9769708, -91.675613 41.9771177, -91.6754688 41.9772828, -91.6753075 41.9774523, -91.6751718 41.9775763, -91.6750402 41.9776837, -91.6747972 41.9778544, -91.6745656 41.977994, -91.6743397 41.9781223, -91.6741949 41.9781981, -91.6740273 41.9782832, -91.6737592 41.9784079, -91.6735426 41.9785036, -91.6732179 41.9786311, -91.6728943 41.9787487)",I 380;IA 27,Avenue of the Saints,55 mph
183217127,,True,2,tertiary,False,45.962,"LINESTRING (-91.671164 41.9800635, -91.6712882 41.980004, -91.6713527 41.9799702, -91.6713978 41.9799399, -91.67143 41.979907, -91.6714552 41.9798637, -91.6714749 41.9798052, -91.6714807 41.9797539)",,B Avenue Northeast,
84272412,,True,1,motorway_link,False,97.63000000000001,"LINESTRING (-91.6706188 41.97992, -91.6710721 41.9797773, -91.6711527 41.979756, -91.6712025 41.9797492, -91.6712538 41.9797584, -91.6712934 41.9797776, -91.6713232 41.9798123, -91.6713384 41.9798467, -91.6713376 41.9798748, -91.6713307 41.9798949, -91.6713103 41.9799254, -91.6712784 41.979962, -91.6712329 41.980007, -91.671164 41.9800635)",,,
185165987,,True,3,motorway_link,False,76.813,"LINESTRING (-91.6706188 41.97992, -91.6709782 41.979771, -91.6712131 41.9796699, -91.6713183 41.9796229, -91.6714235 41.9795747)",,,
15955788,,True,2,tertiary,False,26.39,"LINESTRING (-91.6714235 41.9795747, -91.6715766 41.9795049, -91.6716995 41.9794556)",,F Avenue Northeast,
15956570,,True,2,tertiary,False,36.512,"LINESTRING (-91.6714235 41.9795747, -91.6714001 41.9795399, -91.6711982 41.9792924)",,1st Street Northeast,
15949454,,True,1,motorway_link,False,33.468999999999994,"LINESTRING (-91.6757359 41.9757554, -91.675715 41.9757916, -91.6757046 41.9758132, -91.6757018 41.9758336, -91.6757063 41.9759026, -91.6757018 41.9759889, -91.6756921 41.9760512)",,,
15964374,,False,2,residential,True,117.776,"LINESTRING (-91.6660738 41.9761672, -91.6661421 41.9762375, -91.6661712 41.9762654, -91.6668386 41.9769117, -91.66688 41.976952, -91.6669386 41.9770089)",,2nd Street Southeast,
529797228,,False,2,residential,False,118.547,"LINESTRING (-91.6660738 41.9761672, -91.6662141 41.9760939, -91.6667902 41.9757736, -91.6670901 41.9756018, -91.6672119 41.9755195)",,4th Avenue Southeast,
