osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref
126561740,East 5th Street,tertiary,False,True,25.151,"LINESTRING (-122.5754767 45.1432686, -122.5751727 45.1431966)",,,
126561740,East 5th Street,tertiary,False,False,86.55999999999999,"LINESTRING (-122.5754767 45.1432686, -122.5763236 45.1434691, -122.576523 45.1435163)",,,
5284890,Berkley Avenue,residential,False,False,106.082,"LINESTRING (-122.5751108 45.1440325, -122.5746807 45.144937)",,,
5284890,Berkley Avenue,residential,False,True,89.659,"LINESTRING (-122.5751108 45.1440325, -122.5754767 45.1432686)",,,
5292187,East 4th Street,residential,False,False,86.956,"LINESTRING (-122.5751108 45.1440325, -122.576163 45.144279)",,,
5292187,East 4th Street,residential,False,True,79.32,"LINESTRING (-122.5751108 45.1440325, -122.5746412 45.1439196, -122.5741535 45.1438024)",,,
5284890,Berkley Avenue,residential,False,True,106.082,"LINESTRING (-122.5746807 45.144937, -122.5751108 45.1440325)",,,
"[5284890, 480754551]",Berkley Avenue,residential,False,False,107.181,"LINESTRING (-122.5746807 45.144937, -122.5745262 45.1452623, -122.5744735 45.1453726, -122.5742467 45.145851)",,,
5304937,East 3rd Street,residential,False,False,86.864,"LINESTRING (-122.5746807 45.144937, -122.5751653 45.1450554, -122.5757273 45.1451926)",,,
5304937,East 3rd Street,residential,False,True,79.943,"LINESTRING (-122.5746807 45.144937, -122.5741896 45.1448212, -122.5738924 45.1447511, -122.573714 45.144709)",,,
480754289,East 2nd Street,residential,False,True,78.895,"LINESTRING (-122.5742467 45.145851, -122.5732918 45.1456278)",,,
480754289,East 2nd Street,residential,False,False,86.96799999999999,"LINESTRING (-122.5742467 45.145851, -122.5747205 45.145963, -122.5752981 45.1460996)",,,
480754551,Berkley Avenue,residential,False,False,107.799,"LINESTRING (-122.5742467 45.145851, -122.5740167 45.1463498, -122.5738215 45.1467729)",,,
"[5284890, 480754551]",Berkley Avenue,residential,False,True,107.18100000000001,"LINESTRING (-122.5742467 45.145851, -122.5744735 45.1453726, -122.5745262 45.1452623, -122.5746807 45.144937)",,,
