osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,ref
1112851014,False,2,Lloyd Avenue,primary,True,111.363,"LINESTRING (-79.388482 40.3139764, -79.3894167 40.3132728)",,
12004078,False,,Chambers Street,residential,False,96.48400000000001,"LINESTRING (-79.388482 40.3139764, -79.3880849 40.3136729, -79.3876782 40.3133622)",,
"[56051227, 1112851014]",False,2,Lloyd Avenue,primary,False,142.521,"LINESTRING (-79.388482 40.3139764, -79.3880946 40.3142678, -79.387896 40.3144224, -79.3878233 40.3145013, -79.3875521 40.3150152)",yes,
12004078,False,,Chambers Street,residential,True,96.48400000000001,"LINESTRING (-79.3876782 40.3133622, -79.3880849 40.3136729, -79.388482 40.3139764)",,
12021149,False,,Washington Street,residential,False,105.836,"LINESTRING (-79.386356 40.3203305, -79.3862905 40.3203809, -79.3852642 40.3207854)",,
12021149,False,,Washington Street,residential,True,199.161,"LINESTRING (-79.386356 40.3203305, -79.387024 40.31983, -79.3880314 40.319075)",,
12092131,False,,South Alexandria Street,residential,False,79.322,"LINESTRING (-79.386356 40.3203305, -79.3860176 40.3200646, -79.3857045 40.3198185)",,
12092131,False,,South Alexandria Street,residential,True,82.761,"LINESTRING (-79.386356 40.3203305, -79.3864468 40.3204068, -79.386705 40.3205993, -79.3870482 40.3208551)",,
12021149,False,,Washington Street,residential,False,76.093,"LINESTRING (-79.3852642 40.3207854, -79.3844737 40.3211095)",,
12072347,False,,Bluff Lane,residential,False,46.376,"LINESTRING (-79.3852642 40.3207854, -79.3856412 40.3210876)",,
12021149,False,,Washington Street,residential,True,105.836,"LINESTRING (-79.3852642 40.3207854, -79.3862905 40.3203809, -79.386356 40.3203305)",,
12072347,False,,Bluff Lane,residential,True,80.91,"LINESTRING (-79.3852642 40.3207854, -79.3849367 40.3205225, -79.3846071 40.3202577)",,
12021149,False,,Washington Street,residential,True,76.093,"LINESTRING (-79.3844737 40.3211095, -79.3852642 40.3207854)",,
