osmid,oneway,highway,reversed,length,geometry,name,lanes,ref
24114048,True,unclassified,False,96.543,"LINESTRING (-73.649828 40.65605, -73.6496475 40.6563397, -73.649562 40.656477, -73.6494603 40.6566147, -73.6493068 40.6568224)",,,
24129649,False,residential,False,137.245,"LINESTRING (-73.649828 40.65605, -73.649842 40.655978, -73.649843 40.655805, -73.6498408 40.6557517, -73.6498265 40.6554078, -73.649804 40.6548644, -73.649802 40.654817)",South Centre Avenue,,
24126640,False,secondary,False,47.54,"LINESTRING (-73.6493068 40.6568224, -73.6491283 40.6566537, -73.648954 40.656489)",Lincoln Avenue,5,
"[629554283, 24134524]",False,secondary,True,61.012,"LINESTRING (-73.6493068 40.6568224, -73.6493286 40.6569878, -73.649332 40.657014, -73.6493394 40.6570607, -73.6493734 40.6572918, -73.6493846 40.6573679)",North Centre Avenue,4,
420354274,False,primary,False,45.208,"LINESTRING (-73.6493068 40.6568224, -73.6490794 40.6568165, -73.648909 40.6568121, -73.648774 40.6567908)",Merrick Road,5,CR 27
24117763,False,residential,False,135.83100000000002,"LINESTRING (-73.644022 40.656022, -73.6439969 40.6561199, -73.6439736 40.6562573, -73.6439559 40.6563449, -73.6439486 40.6563814, -73.6439355 40.6564693, -73.6439259 40.656536, -73.6439063 40.6567086, -73.643898 40.656772, -73.6438955 40.6567875, -73.6438903 40.6568203, -73.6438329 40.6571806, -73.6438256 40.657234)",,,
"[420353394, 1098002139, 1098002140, 1098002141]",False,primary,True,113.14,"LINESTRING (-73.644022 40.656022, -73.6443686 40.656062, -73.6445579 40.6560838, -73.6448356 40.6561159, -73.6449648 40.65613, -73.6452369 40.6561596, -73.645348 40.6561746)",Merrick Road,4,CR 27
"[1098002142, 420353375]",False,primary,False,205.26200000000003,"LINESTRING (-73.644022 40.656022, -73.6439106 40.65601, -73.6437891 40.655996, -73.6437528 40.6559919, -73.6437368 40.6559902, -73.6435153 40.6559651, -73.6434498 40.6559605, -73.6432214 40.6559364, -73.6431456 40.6559278, -73.6430132 40.6559152, -73.6428385 40.6559001, -73.6424071 40.6558629, -73.6422121 40.6558391, -73.6417138 40.6557917, -73.6416111 40.6557756)",Merrick Road,"['4', '5']",CR 27
24131478,False,tertiary,False,101.09899999999999,"LINESTRING (-73.647645 40.656515, -73.6476702 40.656406, -73.647754 40.656191, -73.6479234 40.6558681, -73.6479797 40.6557618, -73.6480581 40.6556666)",South Village Avenue,,
183800964,False,primary,False,197.446,"LINESTRING (-73.647645 40.656515, -73.6475386 40.6564965, -73.6473563 40.6564655, -73.6473075 40.6564571, -73.6467782 40.6563793, -73.646585 40.6563509, -73.6465504 40.6563458, -73.6460319 40.6562696, -73.64598 40.656262, -73.6456111 40.6562107, -73.6454388 40.6561877, -73.645348 40.6561746)",Merrick Road,4,CR 27
"[629554284, 183800964]",False,primary,True,100.12700000000001,"LINESTRING (-73.647645 40.656515, -73.6477865 40.6565515, -73.6479925 40.6566119, -73.6481333 40.6566449, -73.6483234 40.6566895, -73.6486529 40.6567667, -73.648699 40.656779, -73.648774 40.6567908)",Merrick Road,4,CR 27
224695760,False,tertiary,False,110.467,"LINESTRING (-73.647645 40.656515, -73.6476614 40.6566319, -73.64766 40.656718, -73.647666 40.6567989, -73.647672 40.656879, -73.6477111 40.6571708, -73.6477429 40.6574153, -73.6477494 40.6575047)",North Village Avenue,,
24120739,False,tertiary,False,133.464,"LINESTRING (-73.645348 40.6561746, -73.645329 40.6562609, -73.6452468 40.6567066, -73.6451443 40.6572621, -73.6451236 40.6573627)",North Park Avenue,,
