osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed,bridge
9695050,2,Park Avenue,residential,12.2,False,False,126.627,"LINESTRING (-71.2790352 41.942338, -71.2786862 41.9434468)",,,
9695050,2,Park Avenue,residential,12.2,False,True,81.29,"LINESTRING (-71.2790352 41.942338, -71.2792593 41.9416262)",,,
9693946,2,Gardner Street,residential,12.2,False,False,181.05100000000002,"LINESTRING (-71.2790352 41.942338, -71.2778409 41.9421429, -71.2773603 41.9420645, -71.2768971 41.9419889)",,,
9693946,2,Gardner Street,residential,12.2,False,True,79.941,"LINESTRING (-71.2790352 41.942338, -71.2798158 41.9424653, -71.2799793 41.942492)",,,
9693630,2,Park Street,secondary,13.7,True,False,48.54,"LINESTRING (-71.2803621 41.9439792, -71.2798224 41.9438077)",MA 118,,
930345092,2,Pine Street,residential,13.7,False,True,154.751,"LINESTRING (-71.2803621 41.9439792, -71.2803783 41.9439399, -71.2803888 41.9439106, -71.2803984 41.9438801, -71.2805131 41.9434892, -71.2806289 41.9430949, -71.280768 41.9426208)",,,
92218731,1,Park Street,primary,24.4,True,False,96.05899999999998,"LINESTRING (-71.28289 41.9447337, -71.28257 41.9447242, -71.282531 41.9447212, -71.2824964 41.944716, -71.282463 41.944709, -71.2824255 41.9446977, -71.2823811 41.9446812, -71.2821479 41.9445897, -71.282118 41.9445794, -71.28208 41.9445683, -71.2820124 41.9445515, -71.2819628 41.9445388, -71.2819137 41.9445228, -71.2818021 41.9444775)",MA 123,,
1020462909,3,Park Street,primary,24.4,False,False,33.705999999999996,"LINESTRING (-71.28289 41.9447337, -71.2832645 41.9446973, -71.2832941 41.9446944)",MA 123,,
"[1212898570, 9693550]",2,Forest Street,secondary,12.2,False,True,61.827,"LINESTRING (-71.2751327 41.946287, -71.2752939 41.9464149, -71.2754192 41.9465172, -71.275641 41.9466947)",,,
9694798,2,Maynard Street,residential,14.3,False,True,101.12,"LINESTRING (-71.2751327 41.946287, -71.2753548 41.9461279, -71.2753699 41.9461202, -71.2753864 41.946116, -71.2754075 41.9461145, -71.2754331 41.9461141, -71.2762647 41.9461264)",,,
9693998,2,O'Neil Boulevard,secondary,17.7,False,False,54.511,"LINESTRING (-71.2767759 41.9407529, -71.2767969 41.9408297, -71.2768211 41.9409207, -71.2768393 41.940996, -71.2768532 41.9410577, -71.2768653 41.9411134, -71.2768768 41.9411719, -71.2768874 41.9412359)",,,
9693998,2,O'Neil Boulevard,secondary,17.7,False,True,61.852,"LINESTRING (-71.2767759 41.9407529, -71.2767423 41.9406389, -71.2767342 41.9406116, -71.2766998 41.9404949, -71.2766911 41.9404656, -71.2766544 41.9403414, -71.2766487 41.940322, -71.2766155 41.9402096)",,,
9694866,2,Atwood Street,residential,12.2,False,True,182.327,"LINESTRING (-71.2767759 41.9407529, -71.277409 41.9407739, -71.2789745 41.9408686)",,,
9693595,4,Park Street,primary,24.4,False,True,57.99999999999999,"LINESTRING (-71.2840918 41.9445365, -71.2840075 41.944596, -71.2839938 41.9446047, -71.2839795 41.9446121, -71.2839617 41.9446181, -71.2839442 41.9446216, -71.2839241 41.9446247, -71.2835634 41.9446675, -71.283505 41.9446741, -71.2834385 41.9446808)",MA 123,,
9694842,2,North Main Street,secondary,13.7,False,False,66.11800000000001,"LINESTRING (-71.2840918 41.9445365, -71.2841772 41.9446178, -71.2842038 41.9446423, -71.2842272 41.9446631, -71.2842731 41.9447017, -71.2843124 41.9447326, -71.2843567 41.9447653, -71.2844028 41.9447965, -71.284455 41.9448295, -71.2844761 41.9448424, -71.2845114 41.944864, -71.2845867 41.9449088, -71.284659 41.944952)",MA 152,30 mph,
9695025,2,South Main Street,secondary,15.2,False,False,200.72599999999997,"LINESTRING (-71.2840918 41.9445365, -71.284107 41.9444124, -71.2841538 41.9440299, -71.2841639 41.943955, -71.2841716 41.9438984, -71.2842481 41.9433354, -71.2842682 41.9431874, -71.2842843 41.9430692, -71.284298 41.9429683, -71.284315 41.9428432, -71.284329 41.94274)",MA 152,25 mph,
"[665721264, 143937021, 143937022]",2,County Street,primary,14.3,False,False,172.329,"LINESTRING (-71.2840918 41.9445365, -71.2843178 41.9443723, -71.2846061 41.9441626, -71.2847324 41.9440725, -71.2850894 41.9438175, -71.285132 41.9437871, -71.2851388 41.9437823, -71.2852298 41.9437179, -71.2853315 41.9436456, -71.2855916 41.9434607)",MA 123,,yes
8979278,1,Foster Street,residential,9.1,False,False,73.977,"LINESTRING (-71.2821332 41.9462902, -71.282251 41.9469497)",,,
