osmid,highway,oneway,reversed,length,geometry,name,ref,bridge,maxspeed
12041923,residential,False,False,29.469,"LINESTRING (-79.6025844 40.6256344, -79.6026307 40.6257479, -79.6026295 40.6258941)",,,,
12048654,residential,False,True,118.732,"LINESTRING (-79.6025844 40.6256344, -79.602775 40.625569, -79.6032909 40.6254987, -79.6039633 40.6255284)",Canal Street,,,
12041923,residential,False,True,29.469,"LINESTRING (-79.6026295 40.6258941, -79.6026307 40.6257479, -79.6025844 40.6256344)",,,,
12078662,secondary,False,False,77.935,"LINESTRING (-79.6026295 40.6258941, -79.6024447 40.6258962, -79.6023114 40.6259184, -79.602151 40.625975, -79.602029 40.6260265, -79.6017695 40.6261172)",Market Street,PA 66,,
12078662,secondary,False,True,89.738,"LINESTRING (-79.6026295 40.6258941, -79.6026772 40.6259059, -79.6036403 40.6261446)",Market Street,PA 66,,
12045369,residential,False,False,81.734,"LINESTRING (-79.6089417 40.628962, -79.6089527 40.629697)",Kiski Avenue,,,
"[12061928, 12045369]",residential,False,True,199.852,"LINESTRING (-79.6089417 40.628962, -79.6089331 40.6287982, -79.6089177 40.6285026, -79.6081962 40.6283056, -79.6080039 40.6282497, -79.6072594 40.6280499)","['Kiski Avenue', 'Main Street']",,,
12063214,residential,False,False,168.24099999999999,"LINESTRING (-79.6089417 40.628962, -79.6080215 40.6287217, -79.6074408 40.62857, -79.6070566 40.6284697)",Center Avenue,,,
12045369,residential,False,True,81.734,"LINESTRING (-79.6089527 40.629697, -79.6089417 40.628962)",Kiski Avenue,,,
12045369,residential,False,False,237.39000000000004,"LINESTRING (-79.6089527 40.629697, -79.6088543 40.6300807, -79.6086594 40.6304566, -79.6083922 40.6306751, -79.608023 40.630977, -79.6079908 40.6310008, -79.6079421 40.6310367, -79.6073989 40.6313923)",Kiski Avenue,,,
12078054,residential,False,True,187.15300000000002,"LINESTRING (-79.6089527 40.629697, -79.6073666 40.6293045, -79.606845 40.6291735)",Siberian Avenue,,,
12045369,residential,False,True,237.39000000000001,"LINESTRING (-79.6073989 40.6313923, -79.6079421 40.6310367, -79.6079908 40.6310008, -79.608023 40.630977, -79.6083922 40.6306751, -79.6086594 40.6304566, -79.6088543 40.6300807, -79.6089527 40.629697)",Kiski Avenue,,,
12064025,primary,False,True,172.244,"LINESTRING (-79.6073989 40.6313923, -79.6070989 40.6301323, -79.6070208 40.6298703)",Pershing Avenue,PA 66,,
12048641,residential,False,False,20.485,"LINESTRING (-79.6038774 40.6257007, -79.6039633 40.6255284)",Canal Street,,,
12063842,residential,False,False,53.366,"LINESTRING (-79.6038774 40.6257007, -79.6037687 40.6258652, -79.6036403 40.6261446)",1st Street,,,
12074185,residential,False,True,169.119,"LINESTRING (-79.6038774 40.6257007, -79.6048016 40.6259526, -79.6057617 40.6262183)",Hicks Avenue,,,
12048641,residential,False,True,20.485,"LINESTRING (-79.6039633 40.6255284, -79.6038774 40.6257007)",Canal Street,,,
12048654,residential,False,True,22.985,"LINESTRING (-79.6039633 40.6255284, -79.6042352 40.6255403)",Canal Street,,,
12048654,residential,False,False,118.732,"LINESTRING (-79.6039633 40.6255284, -79.6032909 40.6254987, -79.602775 40.625569, -79.6025844 40.6256344)",Canal Street,,,
12048654,residential,False,False,22.985,"LINESTRING (-79.6042352 40.6255403, -79.6039633 40.6255284)",Canal Street,,,
12078662,secondary,False,False,19.932,"LINESTRING (-79.607854 40.6272627, -79.6076313 40.627203)",Market Street,PA 66,,
55334347,primary,False,False,50.43,"LINESTRING (-79.607854 40.6272627, -79.6075156 40.6276365)",3rd Street,PA 66,,
