osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,bridge
876613965,True,2,East Miner Avenue,secondary,False,23.346,"LINESTRING (-121.2878541 37.9561138, -121.2875952 37.9561629)",,
1154244739,True,,,secondary,False,11.915,"LINESTRING (-121.2878541 37.9561138, -121.2878499 37.9561531, -121.2878615 37.9561914, -121.2878804 37.9562155)",roundabout,
876613966,False,,North San Joaquin Street,residential,False,110.985,"LINESTRING (-121.288807 37.9591367, -121.2890767 37.9601119)",,
876613966,False,,North San Joaquin Street,residential,True,111.154,"LINESTRING (-121.288807 37.9591367, -121.2885411 37.9581593)",,
876613978,True,2,East Oak Street,tertiary,False,117.15200000000002,"LINESTRING (-121.288807 37.9591367, -121.2882577 37.9592289, -121.2875 37.959356)",,
10541724,False,,North San Joaquin Street,residential,False,110.985,"LINESTRING (-121.2893383 37.9610891, -121.2896039 37.962065)",,
10541724,False,,North San Joaquin Street,residential,True,111.054,"LINESTRING (-121.2893383 37.9610891, -121.2890767 37.9601119)",,
608883291,False,,Flora Street,residential,False,116.675,"LINESTRING (-121.2893383 37.9610891, -121.288037 37.961309)",,
608883291,False,,Flora Street,residential,True,116.847,"LINESTRING (-121.2893383 37.9610891, -121.290641 37.960867)",,
10541724,False,,North San Joaquin Street,residential,True,110.985,"LINESTRING (-121.2896039 37.962065, -121.2893383 37.9610891)",,
10546117,False,,East Poplar Street,residential,True,116.698,"LINESTRING (-121.2896039 37.962065, -121.2903947 37.9619326, -121.290906 37.961847)",,
392519813,True,5,North Center Street,secondary,False,81.754,"LINESTRING (-121.2924013 37.9572516, -121.2922137 37.9565314)",,
392505401,False,3,East Miner Avenue,secondary,False,118.31700000000001,"LINESTRING (-121.2919276 37.9554739, -121.2913152 37.9555758, -121.2906072 37.9556936)",,
"[513188089, 513188090, 875817747]",True,5,North Center Street,secondary,False,218.20399999999998,"LINESTRING (-121.2919276 37.9554739, -121.2918447 37.9551862, -121.2917598 37.954897, -121.2916274 37.9544548, -121.291545 37.954152, -121.2914203 37.9537015, -121.2913823 37.9535593)",,yes
608883291,False,,Flora Street,residential,True,116.862,"LINESTRING (-121.285428 37.961748, -121.286732 37.96153)",,
