osmid,oneway,lanes,name,highway,width,reversed,length,geometry,ref
9531360,True,1,Hyde Street,residential,10.7,False,75.086,"LINESTRING (-71.013104 42.407305, -71.0132062 42.4074088, -71.013226 42.407429, -71.013302 42.407509, -71.0133729 42.4075438, -71.0134511 42.4075787, -71.0136219 42.4076394, -71.0137062 42.4076608, -71.0138191 42.4076895)",
9532083,True,2,Hyde Place,residential,10.7,False,78.314,"LINESTRING (-71.013104 42.407305, -71.012556 42.407596, -71.012342 42.407728)",
9532108,False,2,East Mountain Avenue,residential,13.7,False,77.147,"LINESTRING (-71.008547 42.411248, -71.008299 42.411265, -71.008179 42.41127, -71.00786 42.411304, -71.007761 42.411307, -71.007613 42.41132)",
9532108,False,2,East Mountain Avenue,residential,13.7,True,58.74300000000001,"LINESTRING (-71.008547 42.411248, -71.008655 42.411242, -71.008912 42.411222, -71.009046 42.411217, -71.00926 42.411205)",
9532193,False,2,Oliver Terrace,residential,10.7,True,85.25999999999999,"LINESTRING (-71.008547 42.411248, -71.008581 42.410868, -71.0086 42.410767, -71.008653 42.410742, -71.008971 42.410706)",
9531874,False,2,McClure Street,residential,12.2,True,72.762,"LINESTRING (-71.007683 42.412957, -71.007685 42.413106, -71.007787 42.413237, -71.007921 42.413291, -71.00812 42.413314, -71.008245 42.413324)",
9532396,True,2,Payson Street,residential,12.2,False,68.986,"LINESTRING (-71.007613 42.41132, -71.007713 42.410704)",
9532108,False,2,East Mountain Avenue,residential,13.7,True,77.14699999999999,"LINESTRING (-71.007613 42.41132, -71.007761 42.411307, -71.00786 42.411304, -71.008179 42.41127, -71.008299 42.411265, -71.008547 42.411248)",
910697322,False,2,Beach Street,tertiary,15.2,True,20.486,"LINESTRING (-71.010901 42.4067504, -71.011047 42.406601)",
"[910697320, 910697321]",False,2,Beach Street,tertiary,15.2,False,68.371,"LINESTRING (-71.010901 42.4067504, -71.0107302 42.4069136, -71.01038 42.40723)",
9531551,False,2,Barrett Street,residential,12.2,False,221.507,"LINESTRING (-71.0177419 42.4114439, -71.0167995 42.4133105)",
34263135,False,2,Park Avenue,secondary,19.8,True,73.349,"LINESTRING (-71.0177419 42.4114439, -71.0169056 42.4112118)",
34263135,False,2,Park Avenue,secondary,19.8,False,72.693,"LINESTRING (-71.0177419 42.4114439, -71.0184624 42.411641, -71.0185722 42.411671)",
9532419,False,1,Lowe Street Place,residential,9.1,True,74.985,"LINESTRING (-71.009308 42.406736, -71.0096284 42.4061045)",
591493045,False,2,Winthrop Avenue,secondary,15.2,False,103.75,"LINESTRING (-71.009308 42.406736, -71.01038 42.40723)",
591493045,False,2,Winthrop Avenue,secondary,15.2,True,70.61,"LINESTRING (-71.009308 42.406736, -71.0085514 42.4064341)",
9531686,False,2,Lowe Street,residential,,False,87.027,"LINESTRING (-71.009308 42.406736, -71.0091805 42.4069515, -71.0089483 42.407271, -71.008812 42.4074261)",
9531995,False,2,Mill Street,residential,12.2,True,118.54799999999999,"LINESTRING (-71.011467 42.406232, -71.010935 42.405625, -71.010834 42.40549, -71.010808 42.405392, -71.01081 42.405303)",
9532159,False,2,Beach Street,tertiary,15.2,False,53.602999999999994,"LINESTRING (-71.011467 42.406232, -71.0112258 42.4064385, -71.011047 42.406601)",
9532159,False,2,Beach Street,tertiary,15.2,True,39.168,"LINESTRING (-71.011467 42.406232, -71.0116928 42.4061275, -71.01189 42.406073)",
