osmid,oneway,ref,highway,junction,reversed,length,geometry,name,bridge,lanes,maxspeed
12008996,True,PA 711,secondary,roundabout,False,51.851,"LINESTRING (-79.2381656 40.2432718, -79.2382622 40.2431699, -79.2382791 40.243116, -79.2382609 40.2430552, -79.2381978 40.2430013, -79.2380578 40.2428954)",,,,
12061318,False,,tertiary,,False,93.77600000000001,"LINESTRING (-79.2381656 40.2432718, -79.2382219 40.2433073, -79.2390171 40.2438092)",West Main Street,,,
12008996,True,PA 711,secondary,roundabout,False,52.352,"LINESTRING (-79.2376532 40.2432513, -79.2379335 40.2433816, -79.2379941 40.2433794, -79.2380732 40.2433545, -79.2381656 40.2432718)",,,,
12060346,False,PA 711,secondary,,False,109.219,"LINESTRING (-79.2376532 40.2432513, -79.2373193 40.2435513, -79.2368404 40.2440126)",North Market Street,,,
12040142,False,,tertiary,,True,92.428,"LINESTRING (-79.2375234 40.2428894, -79.2371551 40.2426379, -79.2367118 40.2423352)",East Main Street,,,
66094451,True,PA 711,secondary,roundabout,False,49.572,"LINESTRING (-79.2375234 40.2428894, -79.2374541 40.242958, -79.2374409 40.2430417, -79.2374556 40.243102, -79.2375093 40.2431582, -79.2376532 40.2432513)",,,,
66094451,True,PA 711,secondary,roundabout,False,53.131,"LINESTRING (-79.2380578 40.2428954, -79.237866 40.2428045, -79.2377546 40.2427731, -79.2376703 40.2427941, -79.2375234 40.2428894)",,,,
360219007,False,PA 711,secondary,,True,107.28200000000001,"LINESTRING (-79.2380578 40.2428954, -79.2383956 40.2425971, -79.2388368 40.2421366)",South Market Street,,,
"[12072529, 360219007, 12078759]",False,PA 711,secondary,,False,200.567,"LINESTRING (-79.240815 40.2396404, -79.2406967 40.2399351, -79.2401912 40.2408056, -79.2398647 40.2411435, -79.2398355 40.2411791, -79.239779 40.2412482)",South Market Street,yes,,
12084371,False,,residential,,False,147.50199999999998,"LINESTRING (-79.240815 40.2396404, -79.241015 40.239694, -79.2413956 40.2400635, -79.2418303 40.2405726, -79.2418828 40.2406498)",Nicely Road,,,
12042745,False,,residential,,True,12.804,"LINESTRING (-79.2329821 40.2400256, -79.2328845 40.2401134)",Bell Street,,,
