osmid,oneway,lanes,ref,name,highway,width,reversed,length,geometry,maxspeed
30006606,True,1,MA 110,Kenoza Avenue,primary,20.7,False,54.400999999999996,"LINESTRING (-71.0772067 42.7811044, -71.0770545 42.781172, -71.0769041 42.7812668, -71.0766875 42.7814088)",
697113363,False,4,MA 110;MA 125,Main Street,primary,21.3,True,31.438000000000002,"LINESTRING (-71.0772067 42.7811044, -71.07715 42.78135, -71.0771447 42.7813834)",35 mph
827968173,False,4,MA 110;MA 125,Main Street,primary,18.3,True,25.738,"LINESTRING (-71.0772067 42.7811044, -71.077244 42.780994, -71.077284 42.78088)",35 mph
30006125,False,2,,Bartlett Avenue,residential,,False,153.61,"LINESTRING (-71.075072 42.777696, -71.0749735 42.7780798, -71.074944 42.778195, -71.0748462 42.7786294, -71.07475 42.779057)",
30006851,False,2,,Summer Street,secondary,18.9,False,41.795,"LINESTRING (-71.075072 42.777696, -71.074914 42.777699, -71.074644 42.777701, -71.07456 42.777702)",
30006851,False,2,,Summer Street,secondary,18.9,True,95.06,"LINESTRING (-71.075072 42.777696, -71.075163 42.777694, -71.075342 42.77769, -71.07569 42.777677, -71.0757288 42.777676, -71.075962 42.77767, -71.076021 42.777668, -71.076168 42.77766, -71.076235 42.777654)",
30007117,False,2,,Stage Street,residential,12.2,True,135.693,"LINESTRING (-71.075072 42.777696, -71.075154 42.777622, -71.075171 42.777598, -71.075196 42.777499, -71.0752505 42.7772836, -71.0753 42.777088, -71.075304 42.77707, -71.0753283 42.7769632, -71.075334 42.776938, -71.075432 42.776517)",
30005663,True,2,,Pentucket Street,residential,10.4,False,120.12299999999999,"LINESTRING (-71.08143 42.779027, -71.081052 42.778973, -71.080363 42.778887, -71.079979 42.778847)",
30007178,False,2,MA 110,White Street,primary,18.3,False,29.565,"LINESTRING (-71.08143 42.779027, -71.081414 42.779096, -71.0813852 42.7791882, -71.0813524 42.7792866)",
30007178,False,2,MA 110,White Street,primary,18.3,True,60.489999999999995,"LINESTRING (-71.08143 42.779027, -71.081504 42.778714, -71.081564 42.778492)",
30006355,False,2,MA 97;MA 125,Main Street,primary,18.3,True,14.087,"LINESTRING (-71.077144 42.776588, -71.077127 42.776517, -71.077116 42.776463)",35 mph
30007336,True,1,,Bailey Boulevard,secondary,15.2,False,121.557,"LINESTRING (-71.077144 42.776588, -71.077539 42.776572, -71.0778 42.776541, -71.078085 42.776504, -71.078316 42.776463, -71.078505 42.776423, -71.0786053 42.7763988)",
92194082,False,6,MA 97;MA 125,Main Street,primary,18.3,False,93.335,"LINESTRING (-71.077144 42.776588, -71.077169 42.776694, -71.0771755 42.7767232, -71.077267 42.777134, -71.077323 42.777417)",35 mph
30005452,False,2,,Portland Street,residential,15.2,False,145.456,"LINESTRING (-71.07873 42.778748, -71.078697 42.778928, -71.078662 42.779187, -71.078629 42.779438, -71.0786124 42.7796461, -71.0785999 42.7798017, -71.07858 42.780051)",
30005452,False,2,,Portland Street,residential,15.2,True,89.03800000000001,"LINESTRING (-71.07873 42.778748, -71.078738 42.778706, -71.078792 42.778399, -71.0788059 42.778308, -71.0788327 42.7781321, -71.07886 42.777953)",
30006559,False,2,,Merrills Court,residential,,False,83.717,"LINESTRING (-71.0812324 42.7740184, -71.0814545 42.7746419, -71.0815269 42.7747364)",30 mph
847024791,False,2,MA 113,Merrimack Street,primary,16.8,False,43.212,"LINESTRING (-71.0812324 42.7740184, -71.0811758 42.7740314, -71.0810706 42.774056, -71.0809241 42.7740894, -71.0807273 42.7741348)",
847024791,False,2,MA 113,Merrimack Street,primary,16.8,True,37.525,"LINESTRING (-71.0812324 42.7740184, -71.0814932 42.7739583, -71.0816706 42.7739163)",
30005326,False,2,,North Street,residential,12.2,False,156.902,"LINESTRING (-71.081845 42.779192, -71.082143 42.780586)",
30007023,False,2,,Charles Street,residential,15.2,False,41.57599999999999,"LINESTRING (-71.081845 42.779192, -71.081692 42.779216, -71.081458 42.779264, -71.0813524 42.7792866)",
30007023,False,2,,Charles Street,residential,15.2,True,81.831,"LINESTRING (-71.081845 42.779192, -71.082143 42.779134, -71.082407 42.779084, -71.082627 42.779066, -71.082826 42.779049)",
884003504,False,2,MA 110,Emerson Street,primary,15.2,False,94.737,"LINESTRING (-71.0821671 42.775272, -71.08207 42.776121)",
30005416,True,2,,Bailey Boulevard,secondary,15.2,False,40.756,"LINESTRING (-71.0821671 42.775272, -71.081996 42.775233, -71.081796 42.775253, -71.081679 42.775266)",
883847840,False,2,MA 110,Emerson Street,primary,15.2,True,111.40100000000001,"LINESTRING (-71.0821671 42.775272, -71.082196 42.774936, -71.082203 42.774751, -71.082203 42.774656, -71.082194 42.774574, -71.082169 42.774473, -71.0821205 42.7743226, -71.0821062 42.7742782)",
30006264,False,2,,Green Street,residential,12.2,True,76.206,"LINESTRING (-71.0717424 42.776245, -71.072081 42.776336, -71.072251 42.776382, -71.07238 42.776402, -71.072512 42.776424, -71.0726348 42.77644)",30 mph
30007223,False,2,,Lindel Street,residential,12.2,False,110.81800000000001,"LINESTRING (-71.0717424 42.776245, -71.0715872 42.7766596, -71.0713827 42.777206)",
30005647,False,2,,Highland Avenue,residential,12.2,False,83.885,"LINESTRING (-71.071536 42.780075, -71.071736 42.780507, -71.071841 42.780795)",
30005647,False,2,,Highland Avenue,residential,12.2,True,91.48400000000001,"LINESTRING (-71.071536 42.780075, -71.071386 42.779772, -71.071302 42.77959, -71.07126 42.779485, -71.071215 42.779289)",
30007353,False,2,,Summit Avenue,residential,15.2,True,130.913,"LINESTRING (-71.071536 42.780075, -71.073126 42.780205, -71.07313 42.780206)",
30006133,False,2,,Moore Street,residential,9.1,True,55.6,"LINESTRING (-71.072854 42.777526, -71.073101 42.77706)",
30006046,False,2,,Maple Avenue,residential,12.2,False,214.855,"LINESTRING (-71.072854 42.777526, -71.072624 42.777952, -71.07245 42.778285, -71.07204 42.779091, -71.07193 42.779335)",
30006851,False,2,,Summer Street,secondary,18.9,False,67.863,"LINESTRING (-71.072854 42.777526, -71.072477 42.77745, -71.0720627 42.7773401)",
30006851,False,2,,Summer Street,secondary,18.9,True,93.571,"LINESTRING (-71.072854 42.777526, -71.073258 42.777608, -71.0734326 42.7776414, -71.0737983 42.7776841, -71.073974 42.777697)",
30005452,False,2,,Portland Street,residential,15.2,False,77.286,"LINESTRING (-71.079003 42.777266, -71.078874 42.777862, -71.07886 42.777953)",
30006909,False,2,MA 97,Winter Street,secondary,18.3,False,31.467,"LINESTRING (-71.079003 42.777266, -71.078788 42.777237, -71.078622 42.777224)",
30006909,False,2,MA 97,Winter Street,secondary,18.3,True,106.78899999999999,"LINESTRING (-71.079003 42.777266, -71.079049 42.777272, -71.079394 42.777326, -71.0796499 42.7773656, -71.079743 42.77738, -71.0799613 42.7774144, -71.0801289 42.7774408, -71.080283 42.777465)",
30006133,False,2,,Moore Street,residential,9.1,False,67.053,"LINESTRING (-71.073382 42.776496, -71.073353 42.776616, -71.073292 42.776711, -71.073235 42.77681, -71.073156 42.776957, -71.073108 42.777047, -71.073101 42.77706)",
30006264,False,2,,Green Street,residential,12.2,False,61.355000000000004,"LINESTRING (-71.073382 42.776496, -71.073192 42.77648, -71.0728 42.776457, -71.072649 42.776439, -71.0726348 42.77644)",30 mph
"[30006264, 30005642]",False,2,,Green Street,residential,12.2,"[False, True]",164.36999999999998,"LINESTRING (-71.073382 42.776496, -71.073718 42.776523, -71.074178 42.776549, -71.074304 42.776566, -71.074363 42.776589, -71.074367 42.77659, -71.074387 42.77663, -71.074369 42.776701, -71.07416 42.777237, -71.074135 42.7773, -71.074132 42.777307)",30 mph
30005694,False,2,,Fourth Avenue,residential,15.2,False,84.657,"LINESTRING (-71.079617 42.781791, -71.07858 42.781772)",
30005694,False,2,,Fourth Avenue,residential,15.2,True,102.97800000000001,"LINESTRING (-71.079617 42.781791, -71.080728 42.7818, -71.080868 42.781759)",
30007057,False,2,,Auburn Street,residential,11.0,True,211.16000000000003,"LINESTRING (-71.079617 42.781791, -71.07961 42.781222, -71.07961 42.781212, -71.079613 42.781074, -71.079602 42.781001, -71.079589 42.780929, -71.079542 42.780789, -71.0794292 42.7804487, -71.079413 42.7804, -71.0793768 42.7802885, -71.079258 42.779922)",
92208565,True,1,MA 110,Kenoza Avenue,primary,20.7,False,30.862000000000002,"LINESTRING (-71.0763336 42.7816835, -71.0765954 42.7815956, -71.0766382 42.7815813, -71.0766784 42.7815696)",
30005694,False,2,,Fourth Avenue,residential,15.2,False,102.97800000000001,"LINESTRING (-71.080868 42.781759, -71.080728 42.7818, -71.079617 42.781791)",
30006641,False,2,,Fourth Avenue,residential,12.2,True,69.622,"LINESTRING (-71.080868 42.781759, -71.081111 42.781666, -71.081352 42.781591, -71.081639 42.781525, -71.081655 42.781522)",
