osmid,oneway,highway,reversed,length,geometry,ref,bridge,name,lanes
15495853,True,motorway_link,False,221.019,"LINESTRING (-82.459491 36.941317, -82.459573 36.941328, -82.459711 36.941336, -82.459877 36.941326, -82.460039 36.941296, -82.460296 36.941216, -82.460555 36.941148, -82.460806 36.941098, -82.461286 36.941033, -82.461436 36.94103, -82.461556 36.941024, -82.4616557 36.9410221, -82.4618003 36.9410086, -82.461918 36.9409798)",,,,
"[166902792, 166902779, 166902783]",True,secondary,False,137.43,"LINESTRING (-82.459491 36.941317, -82.459656 36.9410385, -82.459962 36.9405158, -82.46007 36.94033, -82.460126 36.940226, -82.460142 36.940196)",VA 72,yes,,
15496680,False,residential,False,90.747,"LINESTRING (-82.466432 36.947314, -82.466234 36.947333, -82.466201 36.947352, -82.466181 36.947381, -82.466178 36.9474, -82.466189 36.947626, -82.466179 36.947802, -82.466161 36.947971)",,,Angel Lane,
15514040,False,residential,False,85.418,"LINESTRING (-82.466432 36.947314, -82.46642 36.947256, -82.46638 36.947119, -82.466332 36.946999, -82.466286 36.946926, -82.466215 36.946841, -82.466116 36.946755, -82.466069 36.946696, -82.466036 36.946629)",,,Centre Avenue Northeast,
15496680,False,residential,True,90.74700000000001,"LINESTRING (-82.466161 36.947971, -82.466179 36.947802, -82.466189 36.947626, -82.466178 36.9474, -82.466181 36.947381, -82.466201 36.947352, -82.466234 36.947333, -82.466432 36.947314)",,,Angel Lane,
15495853,True,motorway_link,False,13.442,"LINESTRING (-82.45934 36.94131, -82.459491 36.941317)",,,,
"[166902801, 166902787, 166902791]",True,secondary,False,147.345,"LINESTRING (-82.45934 36.94131, -82.4592279 36.9414934, -82.4588914 36.9420594, -82.4588249 36.9421771, -82.4587409 36.9423467, -82.458724 36.942529)",VA 72,yes,,
15514040,False,residential,True,84.798,"LINESTRING (-82.465432 36.943596, -82.465616 36.944125, -82.465695 36.944329)",,,Centre Avenue Northeast,
15517906,False,secondary,False,87.14099999999999,"LINESTRING (-82.465432 36.943596, -82.465135 36.943566, -82.464588 36.943504, -82.464462 36.943483)",VA 72;VA 158,,Front Street East,
15517906,False,secondary,True,217.315,"LINESTRING (-82.465432 36.943596, -82.465603 36.943613, -82.466845 36.943678, -82.467291 36.943689, -82.467457 36.943676, -82.467702 36.94364, -82.467862 36.943604)",VA 72;VA 158,,Front Street East,
"[15511955, 166902781, 166902791]",True,secondary,False,143.621,"LINESTRING (-82.460005 36.940133, -82.4598036 36.9404676, -82.4594978 36.941018, -82.45934 36.94131)",VA 72,yes,,
15499652,False,residential,False,470.81699999999995,"LINESTRING (-82.458824 36.947412, -82.458868 36.947381, -82.458924 36.947333, -82.458988 36.947256, -82.459017 36.947222, -82.459098 36.947141, -82.459191 36.947066, -82.459647 36.946737, -82.459961 36.946519, -82.460146 36.946399, -82.460694 36.946025, -82.460999 36.945805, -82.46138 36.945553, -82.462075 36.945069, -82.462239 36.944961, -82.462563 36.944734, -82.462782 36.94461)",SR 1107,,Meadow Street Northeast,
15503596,False,residential,False,205.87900000000002,"LINESTRING (-82.458824 36.947412, -82.458816 36.947499, -82.458824 36.947587, -82.45885 36.947718, -82.458857 36.947797, -82.458867 36.948131, -82.458894 36.948151, -82.45893 36.948158, -82.45897 36.948148, -82.458994 36.948127, -82.459059 36.94796, -82.459122 36.947799, -82.459153 36.947743, -82.459213 36.947677, -82.459303 36.947604, -82.459422 36.947529, -82.459528 36.947472, -82.459632 36.947434, -82.459687 36.947429, -82.45973 36.947434, -82.459761 36.947444)",,,Bunting Road,
