osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,width,tunnel
9895313,True,1,Gaisburgstraße,residential,30,False,20.874,,"LINESTRING (9.1855193 48.7745287, 9.1858036 48.7745404)",,
"[25113788, 329302493, 377923150]",True,3,Charlottenstraße,primary,"['50', '40']",False,111.54599999999999,B 27,"LINESTRING (9.1855193 48.7745287, 9.1854477 48.7745832, 9.1853725 48.7746374, 9.1850705 48.7747846, 9.1843146 48.7751368)",,
"[377923154, 25113790, 329302535]",False,3,Olgastraße,unclassified,40,False,113.116,,"LINESTRING (9.1855193 48.7745287, 9.1855601 48.774572, 9.1856251 48.7746434, 9.1856583 48.7746793, 9.1857167 48.7747427, 9.1859056 48.7749474, 9.1862762 48.7753224, 9.1863436 48.7753886)","['10', '12.5', '12.3']",
25409556,False,4,Olgastraße,tertiary,40,True,20.624,,"LINESTRING (9.1855193 48.7745287, 9.1854491 48.7744482, 9.1854282 48.7744242, 9.1853723 48.7743707)",,
"[30597754, 24271157, 372646639]",True,1,Richard-von-Weizsäcker-Planie,residential,40,False,229.62800000000004,,"LINESTRING (9.1820352 48.7769459, 9.1819355 48.7769862, 9.1817229 48.7770625, 9.1813045 48.7771843, 9.1802993 48.7774847, 9.1802466 48.7774921, 9.1801969 48.7774948, 9.1801427 48.7774916, 9.1800919 48.777481, 9.1800562 48.7774678, 9.1800466 48.7774602, 9.1800288 48.777446, 9.1800269 48.7773956, 9.1800695 48.7773462, 9.1801308 48.7773081, 9.1802962 48.7772521, 9.1807379 48.7771197)","['4.5', '4.7']",
"[9254946, 361443806]",False,,Bolzstraße,residential,"['20', '30']",False,85.887,,"LINESTRING (9.1770621 48.7802838, 9.1771426 48.7802679, 9.1772791 48.780217, 9.1773205 48.780209, 9.1774238 48.7801685, 9.1777999 48.7800239, 9.177875 48.7799961, 9.1780899 48.7799167)",6.4,
"[315810025, 315810027]",True,2,Friedrichstraße,primary,40,False,72.81700000000001,B 27a,"LINESTRING (9.1770621 48.7802838, 9.1771153 48.7805014, 9.1771462 48.7806501, 9.1771576 48.7807304, 9.1771331 48.7808321, 9.1771412 48.7809327)",,
"[377923154, 25113790, 329302535]",False,3,Olgastraße,unclassified,40,True,113.116,,"LINESTRING (9.1863436 48.7753886, 9.1862762 48.7753224, 9.1859056 48.7749474, 9.1857167 48.7747427, 9.1856583 48.7746793, 9.1856251 48.7746434, 9.1855601 48.774572, 9.1855193 48.7745287)","['10', '12.5', '12.3']",
"[9412985, 614531695]",False,2,Kronenstraße,residential,"['20', '30']",True,120.59100000000001,,"LINESTRING (9.1792959 48.7823271, 9.1791062 48.7823952, 9.1782846 48.7827215, 9.1781411 48.7827812, 9.1778861 48.7828864)",,
"[135269796, 25793413, 135269797, 114803661, 24711662]",False,1,"['Stephanstraße', 'Thouretstraße', 'Lautenschlagerstraße']",residential,20,"[False, True]",345.839,,"LINESTRING (9.1792959 48.7823271, 9.1792502 48.7822765, 9.1792164 48.7822391, 9.1791221 48.782138, 9.1787561 48.7817455, 9.1785405 48.7815143, 9.1784709 48.7814407, 9.1788518 48.7812885, 9.1789622 48.7812444, 9.1792951 48.7811122, 9.1784883 48.7803403, 9.1782764 48.78012, 9.1781708 48.780002, 9.1780899 48.7799167)","['3', '6.5', '5']",building_passage
615465959,False,2,Kronenstraße,residential,20,False,68.566,,"LINESTRING (9.1792959 48.7823271, 9.1794167 48.782279, 9.1799338 48.7820715, 9.1800951 48.7820063)",,
"[315810027, 22755726]",True,2,Friedrichstraße,primary,40,False,91.104,B 27a,"LINESTRING (9.1766364 48.7795193, 9.1768057 48.7797181, 9.1768809 48.7798541, 9.177007 48.7801096, 9.1770621 48.7802838)",,
9895163,True,2,Hauptstätter Straße,primary_link,50,False,20.259,B 14,"LINESTRING (9.1805289 48.774215, 9.1804066 48.7740516)",,
"[1138641288, 361600777, 534796499]",True,2,Holzstraße,primary_link,signals,False,188.208,B 14,"LINESTRING (9.1822592 48.7754629, 9.1821261 48.7753606, 9.182012 48.7752718, 9.18186 48.77515, 9.1816766 48.7750251, 9.1812907 48.774765, 9.1809049 48.7745218, 9.1805289 48.774215)",,
24608362,False,,Dorotheenstraße,residential,30,False,95.371,,"LINESTRING (9.1789203 48.7765833, 9.178993 48.7765607, 9.1790716 48.7765393, 9.1800175 48.7762876, 9.1801119 48.7762432)",5,
24608362,False,,Dorotheenstraße,residential,30,True,95.371,,"LINESTRING (9.1801119 48.7762432, 9.1800175 48.7762876, 9.1790716 48.7765393, 9.178993 48.7765607, 9.1789203 48.7765833)",5,
"[377172609, 370326122, 358256661, 23480582]",True,,Dorotheenstraße,residential,"['10', '30']",False,181.795,,"LINESTRING (9.1801119 48.7762432, 9.1805841 48.7761059, 9.1811917 48.7759266, 9.1820058 48.7756463, 9.182163 48.775559, 9.1822155 48.7755121, 9.1822592 48.7754629)",5,
"[397585617, 317404979, 83284947]",False,,Münzstraße,residential,30,True,107.808,,"LINESTRING (9.1801119 48.7762432, 9.1802193 48.7763614, 9.1806891 48.7770439, 9.1807236 48.7770976, 9.1807379 48.7771197)","['5', '8.5']",
24271157,True,1,Richard-von-Weizsäcker-Planie,residential,40,False,109.022,,"LINESTRING (9.1807379 48.7771197, 9.1815886 48.7768635, 9.1817976 48.7767877, 9.1819376 48.776726, 9.1820692 48.7766851)",4.7,
