osmid,name,highway,oneway,reversed,length,geometry,access,lanes,ref,maxspeed
"[10553680, 43887204, 43887205]",Carbonero Way,residential,False,False,231.72700000000003,"LINESTRING (-122.0124007 37.0500282, -122.0128241 37.0502175, -122.0132039 37.0503873, -122.0133442 37.0504504, -122.0135815 37.0505561, -122.0140881 37.0507829, -122.0142688 37.0508634, -122.0145872 37.0510057, -122.0146807 37.0510438)",,,,
"[43919882, 43919883, 10554108]",El Pueblo Drive,residential,False,False,672.4689999999998,"LINESTRING (-122.0124007 37.0500282, -122.0122395 37.0502425, -122.0122259 37.0502606, -122.0114921 37.0512281, -122.0114566 37.0512749, -122.0113865 37.0513686, -122.0113368 37.0514347, -122.0112901 37.0514975, -122.0109514 37.0519492, -122.0109078 37.0520084, -122.0107442 37.0522271, -122.0106734 37.0522673, -122.0104829 37.0523753, -122.0104181 37.052412, -122.0103403 37.0525199, -122.0101297 37.0528114, -122.0098691 37.0531726, -122.0097652 37.0533169, -122.0097239 37.0534171, -122.0097239 37.053582, -122.0097503 37.0536763, -122.0098209 37.053776, -122.0098721 37.0538534, -122.0099181 37.0539708, -122.009931 37.0540586, -122.0097453 37.0548675, -122.0097331 37.0549207, -122.0097766 37.0550313, -122.009809 37.0550564, -122.0098626 37.0550979, -122.0099521 37.0551299, -122.0101542 37.0551888)",,,,
"[43869745, 10554108]",El Pueblo Drive,residential,False,True,262.026,"LINESTRING (-122.0124007 37.0500282, -122.0130008 37.0492643, -122.0131361 37.0490921, -122.0137772 37.0482759, -122.013863 37.0481665, -122.0138821 37.0481399, -122.0139624 37.0480285)",permissive,,,
10549557,,residential,False,False,31.34,"LINESTRING (-122.0153276 37.0475342, -122.0150878 37.0477411)",permissive,,,
"[43869755, 43869739, 43869740, 10551589]",Disc Drive,residential,False,True,159.302,"LINESTRING (-122.0153276 37.0475342, -122.0155873 37.047571, -122.0157358 37.0476176, -122.0159219 37.0476782, -122.0163682 37.0479796, -122.0166453 37.0482454, -122.0167657 37.0483205)",,,,
10549557,,residential,False,False,57.477,"LINESTRING (-122.0150878 37.0477411, -122.014456 37.0476275)",permissive,,,
10549557,,residential,False,True,31.34,"LINESTRING (-122.0150878 37.0477411, -122.0153276 37.0475342)",permissive,,,
43869741,,residential,False,True,36.257,"LINESTRING (-122.0150878 37.0477411, -122.0149552 37.0479574, -122.014882 37.0480195)",permissive,,,
10549557,,residential,False,False,23.171,"LINESTRING (-122.014456 37.0476275, -122.0142062 37.0476881)",permissive,,,
10549557,,residential,False,True,57.477,"LINESTRING (-122.014456 37.0476275, -122.0150878 37.0477411)",permissive,,,
43869747,,residential,False,False,39.842,"LINESTRING (-122.014456 37.0476275, -122.0144322 37.0472697)",permissive,,,
10549557,,residential,False,False,9.785,"LINESTRING (-122.0142062 37.0476881, -122.0140988 37.047708)",permissive,,,
10549557,,residential,False,True,23.171,"LINESTRING (-122.0142062 37.0476881, -122.014456 37.0476275)",permissive,,,
43869741,,residential,False,False,71.332,"LINESTRING (-122.0142062 37.0476881, -122.0143385 37.047796, -122.0144865 37.0478826, -122.014882 37.0480195)",permissive,,,
10549557,,residential,False,True,32.236,"LINESTRING (-122.0135992 37.0478002, -122.0139531 37.0477349)",permissive,,,
