osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,tunnel,junction
5599328,False,East 1st Street,residential,25 mph,False,13.782,,"LINESTRING (-111.9304861 33.4921646, -111.9303375 33.4921666)",,
"[436791476, 436791398]",True,North Goldwater Boulevard,primary,,False,101.812,"['4', '3']","LINESTRING (-111.9304861 33.4921646, -111.9304291 33.4917209, -111.9304166 33.4916026, -111.9303887 33.4913796, -111.9303706 33.4912541)",,
5691989,False,North Marshall Way,tertiary,25 mph,True,152.276,2,"LINESTRING (-111.9289279 33.4963013, -111.9289336 33.4962061, -111.9289358 33.4959618, -111.9289365 33.4958824, -111.9289378 33.4953948, -111.9289338 33.49501, -111.928929 33.4949321)",,
231271715,False,East 3rd Avenue,tertiary,25 mph,False,110.046,2,"LINESTRING (-111.9289279 33.4963013, -111.9287907 33.4963034, -111.9283167 33.4963076, -111.9282775 33.4963085, -111.9281404 33.4963116, -111.9278996 33.4963171, -111.9277414 33.4963207)",,
728252423,False,North Marshall Way,tertiary,25 mph,False,167.57899999999998,2,"LINESTRING (-111.9289279 33.4963013, -111.928921 33.4964164, -111.92892 33.4976809, -111.9289231 33.4978082)",,
728252424,False,East 3rd Avenue,tertiary,25 mph,True,130.17100000000002,2,"LINESTRING (-111.9289279 33.4963013, -111.9290085 33.4962994, -111.9296444 33.4962882, -111.9296909 33.4962874, -111.9302591 33.4962867, -111.9303315 33.4962866)",,
5628239,False,North Craftsman Court,residential,25 mph,False,216.59,2,"LINESTRING (-111.9277414 33.4963207, -111.9277406 33.4964169, -111.9277361 33.4969847, -111.9277316 33.4975014, -111.9277296 33.4978157, -111.9277393 33.4981838, -111.9277373 33.4982684)",,
"[231271715, 1042055883]",False,East 3rd Avenue,tertiary,25 mph,False,166.604,"['3', '2']","LINESTRING (-111.9277414 33.4963207, -111.9275479 33.4963232, -111.9273687 33.4963255, -111.927297 33.4963389, -111.9272376 33.4963608, -111.9271837 33.4963822, -111.9271242 33.4964164, -111.9270719 33.4964677, -111.9269295 33.4966461, -111.9268558 33.4967103, -111.9268097 33.4967457, -111.9267598 33.4967721, -111.9266962 33.4967941, -111.9266388 33.4968058, -111.926602 33.4968093, -111.9264802 33.4968116, -111.92629 33.4968122, -111.92618 33.4968207)",,
231271715,False,East 3rd Avenue,tertiary,25 mph,True,110.046,2,"LINESTRING (-111.9277414 33.4963207, -111.9278996 33.4963171, -111.9281404 33.4963116, -111.9282775 33.4963085, -111.9283167 33.4963076, -111.9287907 33.4963034, -111.9289279 33.4963013)",,
728252412,False,East 3rd Avenue,residential,25 mph,True,10.708,2,"LINESTRING (-111.926065 33.4968295, -111.92618 33.4968207)",,
436932820,True,North Scottsdale Road,secondary,,False,123.585,2,"LINESTRING (-111.926065 33.4968295, -111.9260634 33.4969203, -111.9260456 33.4979408)",,
728252412,False,East 3rd Avenue,residential,25 mph,False,77.246,2,"LINESTRING (-111.926065 33.4968295, -111.9259736 33.4968313, -111.9256596 33.4968381, -111.9254936 33.4968434, -111.9252323 33.496849)",,
5655144,False,North Winfield Scott Plaza,residential,25 mph,False,120.749,2,"LINESTRING (-111.9252323 33.496849, -111.9252319 33.4969535, -111.9252274 33.497494, -111.9252281 33.4978492, -111.925229 33.4979349)",,
728252411,False,East 3rd Avenue,residential,25 mph,False,77.405,2,"LINESTRING (-111.9252323 33.496849, -111.9251977 33.4968487, -111.9248064 33.4968458, -111.924621 33.4968475, -111.9243976 33.4968496)",,
728252412,False,East 3rd Avenue,residential,25 mph,True,77.246,2,"LINESTRING (-111.9252323 33.496849, -111.9254936 33.4968434, -111.9256596 33.4968381, -111.9259736 33.4968313, -111.926065 33.4968295)",,
5597016,False,North Brown Avenue,residential,25 mph,False,120.01,2,"LINESTRING (-111.9243976 33.4968496, -111.9243961 33.4969345, -111.9243957 33.4969523, -111.9243823 33.4979288)",,
728252411,False,East 3rd Avenue,residential,25 mph,False,39.439,2,"LINESTRING (-111.9243976 33.4968496, -111.9242545 33.496851, -111.9240057 33.4968533, -111.9239723 33.4968536)",,
728252411,False,East 3rd Avenue,residential,25 mph,True,77.405,2,"LINESTRING (-111.9243976 33.4968496, -111.924621 33.4968475, -111.9248064 33.4968458, -111.9251977 33.4968487, -111.9252323 33.496849)",,
5686208,False,North Buckboard Trail,residential,25 mph,False,203.34,2,"LINESTRING (-111.9239723 33.4968536, -111.9239704 33.4967618, -111.9239701 33.4967402, -111.9239734 33.4958453, -111.9239721 33.4957428, -111.9239694 33.4954501, -111.9239667 33.4950873, -111.923964 33.495025)",,
728252411,False,East 3rd Avenue,residential,25 mph,True,39.439,2,"LINESTRING (-111.9239723 33.4968536, -111.9240057 33.4968533, -111.9242545 33.496851, -111.9243976 33.4968496)",,
728252425,False,East 3rd Avenue,residential,25 mph,False,190.688,2,"LINESTRING (-111.9239723 33.4968536, -111.923856 33.4968561, -111.9235306 33.4968632, -111.9232681 33.4968678, -111.9231445 33.4968788, -111.9230595 33.4968893, -111.9228078 33.4969217, -111.9224834 33.4970076, -111.922098 33.4971487, -111.921982 33.4971894)",,
"[436932804, 436932813]",False,North Scottsdale Road,secondary,25 mph,False,98.94399999999999,"['4', '5']","LINESTRING (-111.926126 33.4913312, -111.9261257 33.4914222, -111.9261258 33.4917714, -111.926121 33.4921041, -111.92612 33.492221)",,
1064132970,False,East 2nd Street,tertiary,25 mph,False,143.025,,"LINESTRING (-111.926126 33.4913312, -111.9259911 33.4913471, -111.92573 33.4913394, -111.9254839 33.4913284, -111.9254021 33.4913242, -111.9253126 33.4913237, -111.9246727 33.4913264, -111.9245857 33.4913267)",,
"[1064132969, 1064132970, 457356451]",False,East 2nd Street,tertiary,25 mph,True,101.089,,"LINESTRING (-111.926126 33.4913312, -111.9262763 33.4913151, -111.9265995 33.4913021, -111.9268519 33.4912961, -111.9269301 33.491294, -111.9272143 33.4912895)",,
5599329,False,East 1st Street,residential,25 mph,False,145.2,,"LINESTRING (-111.92612 33.492221, -111.9259625 33.4922172, -111.925677 33.4922121, -111.9253648 33.4922095, -111.925247 33.4922103, -111.9246759 33.4922211, -111.9245545 33.4922195)",,
5599329,False,East 1st Street,residential,25 mph,True,200.789,,"LINESTRING (-111.92612 33.492221, -111.92629 33.4922221, -111.926381 33.4922212, -111.9265515 33.4922194, -111.9269422 33.4922152, -111.927273 33.4922117, -111.9275611 33.4922086, -111.9277706 33.4922064, -111.9279924 33.492204, -111.9281831 33.492202, -111.9282851 33.4922009)",,
