osmid,oneway,lanes,highway,reversed,length,geometry,ref,maxspeed,bridge,name,junction
28807820,True,1,motorway_link,False,340.2,"LINESTRING (-73.4675652 41.0745925, -73.4667759 41.0749669, -73.4665936 41.0750639, -73.4664073 41.0751724, -73.4662005 41.0753014, -73.4660383 41.075402, -73.4658869 41.0754896, -73.4657134 41.0755838, -73.4645085 41.076187, -73.464439 41.0762299, -73.4643757 41.0762754, -73.4642653 41.0763633)",,,,,
"[42713025, 42712993, 42713004, 42713008, 855285266]",True,3,motorway,False,473.44199999999995,"LINESTRING (-73.4675652 41.0745925, -73.4673278 41.0747116, -73.4670929 41.0748389, -73.466867 41.0749695, -73.4666417 41.0751094, -73.4664286 41.0752521, -73.4662204 41.0754018, -73.4660209 41.0755544, -73.465823 41.0757171, -73.4656357 41.0758815, -73.465453 41.0760539, -73.4652818 41.0762266, -73.4651164 41.0764059, -73.4649923 41.0765494, -73.4648828 41.076685, -73.4647416 41.0768702, -73.4646074 41.0770639, -73.4644787 41.0772585, -73.4644393 41.0773188, -73.4641266 41.0777961, -73.4640838 41.0778613)",I 95,55 mph,yes,,
10163372,False,,residential,False,161.287,"LINESTRING (-73.4633275 41.0759859, -73.4633496 41.0759113, -73.4633718 41.0755908, -73.4633752 41.0753818, -73.4634084 41.0752056, -73.4634336 41.0749672, -73.4635024 41.0748247, -73.4635747 41.0746894, -73.4636066 41.0745622)",,,,Tokeneke Ridge Road,
28808013,False,,secondary,True,89.11,"LINESTRING (-73.4633275 41.0759859, -73.4634967 41.0760544, -73.4642653 41.0763633)",CT 136,,,Tokeneke Road,
10165308,False,,tertiary,False,192.17999999999998,"LINESTRING (-73.4691596 41.0758896, -73.4694307 41.0754967, -73.4695026 41.0754054, -73.4697193 41.0750633, -73.4698631 41.0748187, -73.4700524 41.0744686, -73.4701241 41.0743238)",,,,Old Kings Highway South,
10165308,False,,tertiary,True,95.781,"LINESTRING (-73.4691596 41.0758896, -73.46898 41.0761519, -73.4686585 41.0766636)",,,,Old Kings Highway South,
10178013,False,,tertiary,True,99.677,"LINESTRING (-73.4691596 41.0758896, -73.4693533 41.0759562, -73.4695667 41.0760297, -73.4697553 41.0760945, -73.4699354 41.0761565, -73.4699729 41.0761768, -73.4702088 41.0763042)",,,,Center Street,
28808013,False,,secondary,False,124.493,"LINESTRING (-73.4655721 41.0768953, -73.4654059 41.0768289, -73.4642653 41.0763633)",CT 136,,,Tokeneke Road,
28808013,False,,secondary,True,234.82799999999997,"LINESTRING (-73.4655721 41.0768953, -73.4656924 41.0769437, -73.4657945 41.0769832, -73.4659006 41.0770231, -73.4660217 41.0770675, -73.4661516 41.0771098, -73.4662795 41.0771451, -73.4664104 41.0771734, -73.4665383 41.0771941, -73.4666666 41.0772069, -73.4668064 41.0772171, -73.4669393 41.0772214, -73.4671675 41.0772253, -73.467416 41.0772152, -73.4676401 41.077199, -73.4682822 41.0771372)",CT 136,,,Tokeneke Road,
28812750,True,1,motorway_link,False,328.36400000000003,"LINESTRING (-73.4655721 41.0768953, -73.4657064 41.0766946, -73.465844 41.0764908, -73.4659709 41.0763035, -73.4661069 41.0761123, -73.4662187 41.0759568, -73.4662821 41.0758713, -73.4663497 41.0757848, -73.466421 41.0757005, -73.4664939 41.0756209, -73.4665715 41.0755422, -73.4666512 41.0754672, -73.4667361 41.0753925, -73.4668189 41.0753245, -73.466907 41.0752581, -73.4669957 41.075195, -73.4670994 41.0751265, -73.467198 41.0750631, -73.467944 41.0746007)",,,,,
