osmid,ref,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry
"[731051273, 71089964, 71089965, 71089966, 71089969]",PA 926,Street Road,secondary,45 mph,False,False,469.503,yes,2,"LINESTRING (-75.5473168 39.9332124, -75.5487614 39.9325239, -75.5493842 39.932219, -75.5496737 39.932089, -75.5496828 39.932085, -75.5501698 39.9318682, -75.5506236 39.931668, -75.550964 39.9315158, -75.5520404 39.9310439)"
71089965,PA 926,Street Road,secondary,45 mph,False,False,164.934,,2,"LINESTRING (-75.5520404 39.9310439, -75.5536572 39.9303217, -75.5537116 39.930297)"
"[731051273, 71089964, 71089965, 71089966, 71089969]",PA 926,Street Road,secondary,45 mph,False,True,469.503,yes,2,"LINESTRING (-75.5520404 39.9310439, -75.550964 39.9315158, -75.5506236 39.931668, -75.5501698 39.9318682, -75.5496828 39.932085, -75.5496737 39.932089, -75.5493842 39.932219, -75.5487614 39.9325239, -75.5473168 39.9332124)"
"[998261018, 229123204, 229123197]",,Westbourne Road,tertiary,35 mph,False,True,538.6980000000001,yes,2,"LINESTRING (-75.5520404 39.9310439, -75.552525 39.9316247, -75.5526784 39.9318308, -75.552734 39.9319055, -75.5531165 39.9324123, -75.5540635 39.9336587, -75.5541421 39.9337696, -75.555102 39.935038, -75.555124 39.935076, -75.555153 39.93511, -75.555199 39.935148, -75.555284 39.935189)"
14236828,,Carrie Lane,residential,,False,False,262.959,,,"LINESTRING (-75.5537116 39.930297, -75.553898 39.930503, -75.553981 39.930573, -75.554042 39.930616, -75.554106 39.930651, -75.55422 39.9307, -75.554291 39.930722, -75.554365 39.93074, -75.554597 39.9307851, -75.555765 39.931012, -75.555869 39.931025, -75.555957 39.931026, -75.556043 39.931015, -75.556191 39.930978, -75.556259 39.930951, -75.556445 39.930847)"
71089965,PA 926,Street Road,secondary,45 mph,False,True,164.934,,2,"LINESTRING (-75.5537116 39.930297, -75.5536572 39.9303217, -75.5520404 39.9310439)"
"[998261018, 229123204, 229123197]",,Westbourne Road,tertiary,35 mph,False,False,538.698,yes,2,"LINESTRING (-75.555284 39.935189, -75.555199 39.935148, -75.555153 39.93511, -75.555124 39.935076, -75.555102 39.935038, -75.5541421 39.9337696, -75.5540635 39.9336587, -75.5531165 39.9324123, -75.552734 39.9319055, -75.5526784 39.9318308, -75.552525 39.9316247, -75.5520404 39.9310439)"
14236828,,Carrie Lane,residential,,False,True,262.959,,,"LINESTRING (-75.556445 39.930847, -75.556259 39.930951, -75.556191 39.930978, -75.556043 39.931015, -75.555957 39.931026, -75.555869 39.931025, -75.555765 39.931012, -75.554597 39.9307851, -75.554365 39.93074, -75.554291 39.930722, -75.55422 39.9307, -75.554106 39.930651, -75.554042 39.930616, -75.553981 39.930573, -75.553898 39.930503, -75.5537116 39.930297)"
