osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref
9517095,2,Britton Street,residential,12.2,False,False,129.88400000000001,"LINESTRING (-71.0725608 41.9454995, -71.0724093 41.9455105, -71.0716375 41.9455663, -71.0709977 41.9456125)",
9517095,2,Britton Street,residential,12.2,False,True,223.18100000000004,"LINESTRING (-71.0725608 41.9454995, -71.0740334 41.9453838, -71.0743216 41.9453603, -71.0744861 41.9453405, -71.074613 41.945321, -71.0747249 41.945297, -71.0749109 41.9452508, -71.0750056 41.94524, -71.0750746 41.9452417, -71.0751346 41.9452512, -71.0752194 41.9452793)",
9517231,2,Thiels Way,residential,15.2,False,False,147.693,"LINESTRING (-71.0725608 41.9454995, -71.0725417 41.9458607, -71.07252 41.9460388, -71.0724946 41.946217, -71.072476 41.946292, -71.072436 41.946404, -71.072408 41.946458, -71.072333 41.946558, -71.072287 41.946604, -71.072196 41.946667, -71.072091 41.94672)",
9517145,2,Gilmore Street,residential,9.1,False,False,353.116,"LINESTRING (-71.071766 41.950846, -71.0712001 41.9506622, -71.067853 41.949575)",
9517320,2,Broadway,primary,15.2,False,False,100.59800000000001,"LINESTRING (-71.071766 41.950846, -71.0715848 41.9511607, -71.0715049 41.9512981, -71.071365 41.951534, -71.071279 41.951675)",MA 138
9517320,2,Broadway,primary,15.2,False,True,105.745,"LINESTRING (-71.071766 41.950846, -71.0717842 41.9508169, -71.0719217 41.950599, -71.071975 41.950516, -71.0719883 41.9504946, -71.072078 41.950351, -71.0720984 41.9503164, -71.072294 41.94998)",MA 138
9517145,2,Gilmore Street,residential,9.1,False,True,353.116,"LINESTRING (-71.067853 41.949575, -71.0712001 41.9506622, -71.071766 41.950846)",
1010448577,2,Oak Street,residential,9.1,False,True,120.926,"LINESTRING (-71.067853 41.949575, -71.067895 41.94947, -71.067932 41.949364, -71.068016 41.949092, -71.068026 41.949009, -71.068018 41.948936, -71.067999 41.948863, -71.067974 41.948792, -71.067935 41.948702, -71.067837 41.948526)",
9517173,2,Center Street,secondary,12.2,False,False,95.608,"LINESTRING (-71.072894 41.948995, -71.0726775 41.9489206, -71.0724726 41.9488502, -71.0718445 41.9486344)",
9517320,2,Broadway,primary,15.2,False,False,120.244,"LINESTRING (-71.072894 41.948995, -71.072799 41.949154, -71.0726635 41.9493796, -71.0725383 41.9495841, -71.0724823 41.9496743, -71.072294 41.94998)",MA 138
9517320,2,Broadway,primary,15.2,False,True,455.80800000000005,"LINESTRING (-71.072894 41.948995, -71.073212 41.948482, -71.073312 41.948321, -71.073509 41.947998, -71.0736412 41.94777, -71.0737941 41.9475057, -71.073805 41.947487, -71.0738393 41.9474302, -71.0740046 41.9471585, -71.0740739 41.9470451, -71.0740976 41.9470064, -71.0742454 41.9467688, -71.0742837 41.9467075, -71.07446 41.946426, -71.0745705 41.9462526, -71.074695 41.946059, -71.074957 41.945663, -71.0752194 41.9452793)",MA 138
9517320,2,Broadway,primary,15.2,False,False,92.456,"LINESTRING (-71.071279 41.951675, -71.071091 41.951969, -71.0710421 41.9520501, -71.070909 41.952278, -71.07083 41.952436)",MA 138
9517320,2,Broadway,primary,15.2,False,True,100.59800000000001,"LINESTRING (-71.071279 41.951675, -71.071365 41.951534, -71.0715049 41.9512981, -71.0715848 41.9511607, -71.071766 41.950846)",MA 138
"[9517603, 9517237]",2,"['Wayne Street', 'Richard Street']",residential,9.1,False,False,174.04200000000003,"LINESTRING (-71.071279 41.951675, -71.071032 41.951685, -71.070909 41.951684, -71.070733 41.951667, -71.070646 41.951653, -71.07054 41.95163, -71.070334 41.95157, -71.070125 41.951499, -71.070017 41.951477, -71.069917 41.951468, -71.069872 41.951472, -71.069859 41.95148, -71.069811 41.951508, -71.069765 41.951568, -71.069722 41.951628, -71.06966 41.951712, -71.069607 41.951799, -71.069553 41.951886)",
9517061,2,Baker Road,residential,9.1,False,False,488.40799999999996,"LINESTRING (-71.0718445 41.9486344, -71.072058 41.947779, -71.072074 41.947717, -71.072074 41.947686, -71.072062 41.947651, -71.07204 41.947616, -71.072012 41.947585, -71.071966 41.947556, -71.0711435 41.9472672, -71.0693147 41.9466252, -71.069277 41.946619, -71.0692376 41.9466168, -71.0692017 41.9466243, -71.0691695 41.9466428, -71.069085 41.946749, -71.068586 41.947515)",
9517173,2,Center Street,secondary,12.2,False,False,275.869,"LINESTRING (-71.0718445 41.9486344, -71.0709303 41.9483203, -71.0688162 41.9475941)",
9517173,2,Center Street,secondary,12.2,False,True,95.608,"LINESTRING (-71.0718445 41.9486344, -71.0724726 41.9488502, -71.0726775 41.9489206, -71.072894 41.948995)",
9517320,2,Broadway,primary,15.2,False,False,105.74499999999999,"LINESTRING (-71.072294 41.94998, -71.0720984 41.9503164, -71.072078 41.950351, -71.0719883 41.9504946, -71.071975 41.950516, -71.0719217 41.950599, -71.0717842 41.9508169, -71.071766 41.950846)",MA 138
9517320,2,Broadway,primary,15.2,False,True,120.24400000000003,"LINESTRING (-71.072294 41.94998, -71.0724823 41.9496743, -71.0725383 41.9495841, -71.0726635 41.9493796, -71.072799 41.949154, -71.072894 41.948995)",MA 138
9517350,2,Lincoln Avenue,residential,9.1,False,False,106.642,"LINESTRING (-71.072294 41.94998, -71.0721407 41.9499276, -71.0720923 41.9499111, -71.071122 41.94958)",
9517584,2,Charles Street,residential,12.2,False,True,137.607,"LINESTRING (-71.067837 41.948526, -71.068093 41.948445, -71.068211 41.948394, -71.068285 41.948347, -71.068353 41.948295, -71.068414 41.948239, -71.068463 41.948184, -71.068505 41.948125, -71.0686 41.947979, -71.068741 41.947736, -71.0688162 41.9475941)",
1010448577,2,Oak Street,residential,9.1,False,False,120.926,"LINESTRING (-71.067837 41.948526, -71.067935 41.948702, -71.067974 41.948792, -71.067999 41.948863, -71.068018 41.948936, -71.068026 41.949009, -71.068016 41.949092, -71.067932 41.949364, -71.067895 41.94947, -71.067853 41.949575)",
1010448577,2,Oak Street,residential,9.1,False,True,165.276,"LINESTRING (-71.067837 41.948526, -71.067779 41.948429, -71.067657 41.948238, -71.067533 41.948021, -71.06748 41.94791, -71.067438 41.947788, -71.067407 41.947662, -71.067349 41.947389, -71.067324 41.947242, -71.0673313 41.9471882, -71.0673424 41.9471061)",
9517095,2,Britton Street,residential,12.2,False,False,233.25100000000003,"LINESTRING (-71.0709977 41.9456125, -71.069208 41.94573, -71.068989 41.945744, -71.0685966 41.9457541, -71.0684974 41.945754, -71.0681878 41.9457253)",
9517095,2,Britton Street,residential,12.2,False,True,129.88400000000001,"LINESTRING (-71.0709977 41.9456125, -71.0716375 41.9455663, -71.0724093 41.9455105, -71.0725608 41.9454995)",
9517095,2,Britton Street,residential,12.2,False,True,233.25100000000003,"LINESTRING (-71.0681878 41.9457253, -71.0684974 41.945754, -71.0685966 41.9457541, -71.068989 41.945744, -71.069208 41.94573, -71.0709977 41.9456125)",
9517577,2,Anawan Road,residential,15.2,False,True,143.873,"LINESTRING (-71.0681878 41.9457253, -71.0683041 41.9452906, -71.0683156 41.9452045, -71.0683027 41.9450773, -71.0682944 41.945007, -71.0682933 41.9449454, -71.0683032 41.9448042, -71.0683056 41.9447323, -71.068297 41.9446605, -71.0682382 41.9444459)",
"[9517603, 9517237]",2,"['Wayne Street', 'Richard Street']",residential,9.1,False,True,174.042,"LINESTRING (-71.069553 41.951886, -71.069607 41.951799, -71.06966 41.951712, -71.069722 41.951628, -71.069765 41.951568, -71.069811 41.951508, -71.069859 41.95148, -71.069872 41.951472, -71.069917 41.951468, -71.070017 41.951477, -71.070125 41.951499, -71.070334 41.95157, -71.07054 41.95163, -71.070646 41.951653, -71.070733 41.951667, -71.070909 41.951684, -71.071032 41.951685, -71.071279 41.951675)",
9517246,2,Sylvain Street,residential,9.1,False,False,39.71,"LINESTRING (-71.069553 41.951886, -71.069406 41.95184, -71.069257 41.951795, -71.069109 41.95175)",
9517246,2,Sylvain Street,residential,9.1,False,True,122.17900000000002,"LINESTRING (-71.069553 41.951886, -71.0698 41.951975, -71.070043 41.952071, -71.070281 41.952172, -71.070466 41.952258, -71.0706299 41.9523382, -71.070648 41.952347, -71.07083 41.952436)",
9517350,2,Lincoln Avenue,residential,9.1,False,True,106.64200000000001,"LINESTRING (-71.071122 41.94958, -71.0720923 41.9499111, -71.0721407 41.9499276, -71.072294 41.94998)",
9517577,2,Anawan Road,residential,15.2,False,False,143.873,"LINESTRING (-71.0682382 41.9444459, -71.068297 41.9446605, -71.0683056 41.9447323, -71.0683032 41.9448042, -71.0682933 41.9449454, -71.0682944 41.945007, -71.0683027 41.9450773, -71.0683156 41.9452045, -71.0683041 41.9452906, -71.0681878 41.9457253)",
9517173,2,Center Street,secondary,12.2,False,True,20.972,"LINESTRING (-71.068586 41.947515, -71.0688162 41.9475941)",
9517061,2,Baker Road,residential,9.1,False,True,488.40799999999996,"LINESTRING (-71.068586 41.947515, -71.069085 41.946749, -71.0691695 41.9466428, -71.0692017 41.9466243, -71.0692376 41.9466168, -71.069277 41.946619, -71.0693147 41.9466252, -71.0711435 41.9472672, -71.071966 41.947556, -71.072012 41.947585, -71.07204 41.947616, -71.072062 41.947651, -71.072074 41.947686, -71.072074 41.947717, -71.072058 41.947779, -71.0718445 41.9486344)",
9517173,2,Center Street,secondary,12.2,False,False,112.49000000000001,"LINESTRING (-71.068586 41.947515, -71.068212 41.947382, -71.067871 41.947267, -71.067717 41.947217, -71.0673424 41.9471061)",
9517246,2,Sylvain Street,residential,9.1,False,True,39.71,"LINESTRING (-71.069109 41.95175, -71.069257 41.951795, -71.069406 41.95184, -71.069553 41.951886)",
9517320,2,Broadway,primary,15.2,False,True,48.096,"LINESTRING (-71.0752194 41.9452793, -71.075481 41.944893)",MA 138
9517095,2,Britton Street,residential,12.2,False,False,223.18099999999998,"LINESTRING (-71.0752194 41.9452793, -71.0751346 41.9452512, -71.0750746 41.9452417, -71.0750056 41.94524, -71.0749109 41.9452508, -71.0747249 41.945297, -71.074613 41.945321, -71.0744861 41.9453405, -71.0743216 41.9453603, -71.0740334 41.9453838, -71.0725608 41.9454995)",
9517320,2,Broadway,primary,15.2,False,False,455.80799999999994,"LINESTRING (-71.0752194 41.9452793, -71.074957 41.945663, -71.074695 41.946059, -71.0745705 41.9462526, -71.07446 41.946426, -71.0742837 41.9467075, -71.0742454 41.9467688, -71.0740976 41.9470064, -71.0740739 41.9470451, -71.0740046 41.9471585, -71.0738393 41.9474302, -71.073805 41.947487, -71.0737941 41.9475057, -71.0736412 41.94777, -71.073509 41.947998, -71.073312 41.948321, -71.073212 41.948482, -71.072894 41.948995)",MA 138
9517173,2,Center Street,secondary,12.2,False,True,112.49000000000001,"LINESTRING (-71.0673424 41.9471061, -71.067717 41.947217, -71.067871 41.947267, -71.068212 41.947382, -71.068586 41.947515)",
1010448577,2,Oak Street,residential,9.1,False,False,165.276,"LINESTRING (-71.0673424 41.9471061, -71.0673313 41.9471882, -71.067324 41.947242, -71.067349 41.947389, -71.067407 41.947662, -71.067438 41.947788, -71.06748 41.94791, -71.067533 41.948021, -71.067657 41.948238, -71.067779 41.948429, -71.067837 41.948526)",
9517231,2,Thiels Way,residential,15.2,False,True,147.693,"LINESTRING (-71.072091 41.94672, -71.072196 41.946667, -71.072287 41.946604, -71.072333 41.946558, -71.072408 41.946458, -71.072436 41.946404, -71.072476 41.946292, -71.0724946 41.946217, -71.07252 41.9460388, -71.0725417 41.9458607, -71.0725608 41.9454995)",
9517320,2,Broadway,primary,15.2,False,False,48.096,"LINESTRING (-71.075481 41.944893, -71.0752194 41.9452793)",MA 138
9517246,2,Sylvain Street,residential,9.1,False,False,122.17900000000002,"LINESTRING (-71.07083 41.952436, -71.070648 41.952347, -71.0706299 41.9523382, -71.070466 41.952258, -71.070281 41.952172, -71.070043 41.952071, -71.0698 41.951975, -71.069553 41.951886)",
9517320,2,Broadway,primary,15.2,False,True,92.456,"LINESTRING (-71.07083 41.952436, -71.070909 41.952278, -71.0710421 41.9520501, -71.071091 41.951969, -71.071279 41.951675)",MA 138
9517173,2,Center Street,secondary,12.2,False,False,20.972,"LINESTRING (-71.0688162 41.9475941, -71.068586 41.947515)",
9517173,2,Center Street,secondary,12.2,False,True,275.869,"LINESTRING (-71.0688162 41.9475941, -71.0709303 41.9483203, -71.0718445 41.9486344)",
9517584,2,Charles Street,residential,12.2,False,False,137.607,"LINESTRING (-71.0688162 41.9475941, -71.068741 41.947736, -71.0686 41.947979, -71.068505 41.948125, -71.068463 41.948184, -71.068414 41.948239, -71.068353 41.948295, -71.068285 41.948347, -71.068211 41.948394, -71.068093 41.948445, -71.067837 41.948526)",
