osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,maxspeed,bridge
17706027,Winter Quarters Drive,tertiary,False,True,38.74,,"LINESTRING (-75.5642642 38.0784461, -75.564567 38.078192)",,,
1265580573,Winter Quarters Drive,tertiary,False,False,15.409,,"LINESTRING (-75.5642642 38.0784461, -75.5641438 38.0785472)",,,
17682691,,trunk_link,True,False,130.82799999999997,1,"LINESTRING (-75.5654609 38.0788931, -75.565159 38.0788261, -75.5644921 38.0787545, -75.5644193 38.0787376, -75.5643552 38.0787137, -75.5643142 38.0786794, -75.564298 38.0786392, -75.564289 38.0785945, -75.5642772 38.0785396, -75.5642642 38.0784461)",,,
914584957,Ocean Highway,trunk,True,False,134.54399999999998,2,"LINESTRING (-75.5654609 38.0788931, -75.5651811 38.0788853, -75.564946 38.0788656, -75.564684 38.0788371, -75.564373 38.0787945, -75.5639443 38.0787145)",US 13,55 mph,
1265580572,Winter Quarters Drive,tertiary,False,False,25.515,,"LINESTRING (-75.5641438 38.0785472, -75.5639443 38.0787145)",,,
1265580573,Winter Quarters Drive,tertiary,False,True,15.409,,"LINESTRING (-75.5641438 38.0785472, -75.5642642 38.0784461)",,,
17682696,,trunk_link,True,False,55.126,1,"LINESTRING (-75.5641438 38.0785472, -75.563952 38.0785836, -75.563832 38.0785968, -75.5637238 38.078601, -75.563521 38.0786082)",,,
17702596,Vine Street,residential,False,False,86.493,,"LINESTRING (-75.5674877 38.0756192, -75.5682425 38.0761212)",,,
47703388,2nd Street,tertiary,True,False,163.737,,"LINESTRING (-75.5674877 38.0756192, -75.5671224 38.0759631, -75.5662877 38.0767488)",,,
17702596,Vine Street,residential,False,False,93.987,,"LINESTRING (-75.5682425 38.0761212, -75.5690641 38.0766654)",,,
17702596,Vine Street,residential,False,True,86.493,,"LINESTRING (-75.5682425 38.0761212, -75.5674877 38.0756192)",,,
17706802,Clarke Avenue,tertiary,True,False,78.421,,"LINESTRING (-75.5682425 38.0761212, -75.5688033 38.0755712)",,,
17702596,Vine Street,residential,False,True,93.987,,"LINESTRING (-75.5690641 38.0766654, -75.5682425 38.0761212)",,,
17710153,Front Street,residential,False,True,80.398,,"LINESTRING (-75.5690641 38.0766654, -75.5696739 38.0761247)",,,
597116101,,unclassified,False,True,54.517,,"LINESTRING (-75.5690641 38.0766654, -75.569532 38.076989)",,,
17710153,Front Street,residential,False,False,77.77,,"LINESTRING (-75.5690641 38.0766654, -75.5686782 38.0769935, -75.568598 38.0770501, -75.5685142 38.0770994, -75.5684188 38.0771395)",,,
17704228,4th Street,residential,False,False,63.339,,"LINESTRING (-75.5681412 38.0714231, -75.5677215 38.0718871)",,,
17704530,Laurel Street,residential,False,False,202.171,,"LINESTRING (-75.5681412 38.0714231, -75.5701491 38.0723215)",,,
17704228,4th Street,residential,False,False,79.174,,"LINESTRING (-75.5677215 38.0718871, -75.5672057 38.072472)",,,
17704228,4th Street,residential,False,True,63.339,,"LINESTRING (-75.5677215 38.0718871, -75.5681412 38.0714231)",,,
17704314,Cedar Street,tertiary,False,False,209.53,,"LINESTRING (-75.5677215 38.0718871, -75.5695342 38.0731177)",,,
17704228,4th Street,residential,False,False,74.81,,"LINESTRING (-75.5672057 38.072472, -75.5667092 38.0730196)",,,
17704228,4th Street,residential,False,True,79.174,,"LINESTRING (-75.5672057 38.072472, -75.5677215 38.0718871)",,,
17705519,Walnut Street,residential,False,True,136.215,,"LINESTRING (-75.5672057 38.072472, -75.5659634 38.0717343)",,,
17705519,Walnut Street,residential,False,False,212.721,,"LINESTRING (-75.5672057 38.072472, -75.5682318 38.0730916, -75.5691438 38.073626)",,,
17704228,4th Street,residential,False,True,74.81,,"LINESTRING (-75.5667092 38.0730196, -75.5672057 38.072472)",,,
17704228,4th Street,residential,False,False,99.125,,"LINESTRING (-75.5667092 38.0730196, -75.5661082 38.0736913, -75.5660571 38.0737484)",,,
17704415,Maple Street,residential,False,False,217.886,,"LINESTRING (-75.5667092 38.0730196, -75.5677588 38.0736147, -75.5687355 38.0741576)",,,
