osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,bridge,maxspeed
12719462,True,primary_link,False,226.86099999999996,"LINESTRING (-76.04457 42.1002731, -76.044941 42.100186, -76.045026 42.100186, -76.045119 42.1002, -76.045207 42.100226, -76.045279 42.100265, -76.045348 42.100322, -76.04539 42.100377, -76.045412 42.100432, -76.045422 42.100513, -76.045414 42.100572, -76.045388 42.100635, -76.045353 42.100685, -76.045287 42.100746, -76.045215 42.100785, -76.04513 42.100819, -76.045053 42.10083, -76.044933 42.100832, -76.044835 42.10082, -76.044758 42.100803, -76.044678 42.100769, -76.044607 42.100726, -76.044543 42.100675, -76.0444578 42.1005558, -76.0443778 42.1003817)",,,,,
48203570,True,primary,False,97.232,"LINESTRING (-76.04457 42.1002731, -76.0451141 42.1000134, -76.0455696 42.0998101)",NY 17C;NY 26,East Main Street,,,
"[382416825, 382416821, 48203566]",True,primary,False,410.437,"LINESTRING (-76.0441719 42.0981863, -76.0441382 42.0978417, -76.0441121 42.0973361, -76.043852 42.094503)",NY 26,,3,yes,
358401512,False,residential,False,111.55600000000001,"LINESTRING (-76.052621 42.094496, -76.0527972 42.095119, -76.052891 42.095479)",,River Terrace,,,
45457519,True,primary,False,79.585,"LINESTRING (-76.044308 42.100993, -76.044375 42.101707)",,McKinley Avenue,2,,
"[48203568, 48203567]",True,primary,False,111.82,"LINESTRING (-76.0434184 42.1008033, -76.044037 42.1005235, -76.04457 42.1002731)",NY 17C;NY 26,East Main Street,,yes,
12721136,True,primary_link,False,287.11999999999995,"LINESTRING (-76.044049 42.098075, -76.044027 42.098387, -76.043858 42.099231, -76.043816 42.099437, -76.043791 42.09956, -76.0435743 42.1005264, -76.0435497 42.1006288)",,,,,
48203562,True,primary,False,325.18100000000004,"LINESTRING (-76.044049 42.098075, -76.0441668 42.099232, -76.044249 42.100266, -76.0442654 42.1004491, -76.044308 42.100993)",NY 26,,2,,
480371060,False,tertiary,False,33.632,"LINESTRING (-76.047884 42.099029, -76.047873 42.098818, -76.047883 42.098727)",,Washington Avenue,,,
670136201,False,tertiary,True,182.446,"LINESTRING (-76.047884 42.099029, -76.0478894 42.099088, -76.0479127 42.0993426, -76.048034 42.100666)",,Washington Avenue,,,30 mph
480371058,False,primary,False,73.028,"LINESTRING (-76.047519 42.098876, -76.046765 42.09922)",NY 17C; NY 26,East Main Street,,,
480371059,False,primary,True,34.299,"LINESTRING (-76.047519 42.098876, -76.047883 42.098727)",NY 17C; NY 26,East Main Street,,,
12721475,True,primary_link,False,36.195,"LINESTRING (-76.047519 42.098876, -76.047723 42.098915, -76.047814 42.098954, -76.047884 42.099029)",,,1,,
12722628,False,residential,False,167.015,"LINESTRING (-76.054674 42.094774, -76.054192 42.094921, -76.05391 42.095034, -76.053595 42.09518, -76.053573 42.0951894, -76.052891 42.095479)",,South Street,,,
