osmid,lanes,highway,oneway,reversed,length,ref,name,maxspeed,geometry,width
452882514,2,secondary_link,False,True,12.61,,,,"LINESTRING (-156.4756021 20.8922188, -156.4755165 20.8922992)",
44711901,3,secondary,True,False,290.16999999999996,HI 3400,Kahului Beach Road,35 mph,"LINESTRING (-156.4756021 20.8922188, -156.4749126 20.8917498, -156.4742377 20.8912797, -156.4739096 20.8910439, -156.4736275 20.890792, -156.4735023 20.8906505, -156.4734482 20.8905744)",
435740830,4,primary_link,False,False,16.982,HI 3400,Kahului Beach Road,,"LINESTRING (-156.4728898 20.8894334, -156.4728415 20.8892875)",
435740831,1,secondary,True,False,87.34,HI 3400,Kahului Beach Road,35 mph,"LINESTRING (-156.4728898 20.8894334, -156.472882 20.8894786, -156.4728748 20.8895304, -156.473058 20.8901962)",
435741287,2,primary,True,False,45.611999999999995,HI 32,Kaahumanu Avenue,45 mph,"LINESTRING (-156.4728898 20.8894334, -156.4730366 20.8893834, -156.4733025 20.8892934)",
435740834,2,primary_link,False,True,16.316,HI-3950,Lono Avenue,,"LINESTRING (-156.4701194 20.8903628, -156.4700637 20.8902256)",
"[435740825, 435740818]","['4', '3']",primary,True,False,149.29,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.4701194 20.8903628, -156.4703027 20.8903024, -156.4709456 20.8900911, -156.4714729 20.8899117)",10
44726782,2,tertiary,False,True,100.638,HI 3950,Lono Avenue,30 mph,"LINESTRING (-156.468637 20.8863256, -156.4683087 20.8854741)",
44712269,,residential,False,True,233.339,,West Kane Street,,"LINESTRING (-156.468637 20.8863256, -156.4700934 20.8858309, -156.4701973 20.8857989, -156.4703498 20.8857587, -156.4705031 20.88573, -156.470646 20.8857233, -156.4707682 20.8856844)",
44726782,2,tertiary,False,False,152.649,HI 3950,Lono Avenue,30 mph,"LINESTRING (-156.468637 20.8863256, -156.4688281 20.8868382, -156.4688564 20.8869093, -156.4689835 20.8872281, -156.4691382 20.887616)",
44751307,2,primary_link,False,False,16.436,,,,"LINESTRING (-156.4714729 20.8899117, -156.4714191 20.8897727)",
435740823,3,primary,True,False,75.719,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.4714729 20.8899117, -156.4721592 20.8896824)",
44726782,2,tertiary,False,False,100.638,HI 3950,Lono Avenue,30 mph,"LINESTRING (-156.4683087 20.8854741, -156.468637 20.8863256)",
44753633,,residential,False,False,176.721,,Alehela Street,,"LINESTRING (-156.4683087 20.8854741, -156.469816 20.88495, -156.4699037 20.8849218)",
"[435740835, 44726782]","['3', '2']",tertiary,False,False,187.77000000000004,"['HI-3950', 'HI 3950']",Lono Avenue,30 mph,"LINESTRING (-156.469495 20.888623, -156.4696463 20.8890614, -156.469738 20.8893181, -156.4697857 20.8894653, -156.4698508 20.8896509, -156.4698969 20.8897679, -156.4700015 20.8900698, -156.470011 20.890095, -156.4700637 20.8902256)",8
44726782,2,tertiary,False,True,117.953,HI 3950,Lono Avenue,30 mph,"LINESTRING (-156.469495 20.888623, -156.4694896 20.8886078, -156.4694564 20.8885199, -156.4693537 20.8882241, -156.4691382 20.887616)",
"[44713121, 44727919]",,residential,False,"[False, True]",302.78999999999996,,"['Vevau Street', 'School Street']",,"LINESTRING (-156.469495 20.888623, -156.469767 20.888526, -156.4708622 20.8881799, -156.470751 20.887895, -156.470691 20.887756, -156.4705965 20.887552, -156.470538 20.887468, -156.470409 20.88726, -156.470359 20.887197, -156.4701858 20.8869729)",
44753633,,residential,False,False,103.57,,Alehela Street,,"LINESTRING (-156.4699037 20.8849218, -156.470236 20.884878, -156.470358 20.884874, -156.470495 20.884876, -156.4706789 20.8849085, -156.4708119 20.8849519, -156.470886 20.8849556)",
44753633,,residential,False,True,176.721,,Alehela Street,,"LINESTRING (-156.4699037 20.8849218, -156.469816 20.88495, -156.4683087 20.8854741)",
456548936,2,primary_link,False,True,15.114,,,,"LINESTRING (-156.4759079 20.8889043, -156.475905 20.8887684)",
435740814,2,primary_link,False,False,17.357,,Heterodox View,,"LINESTRING (-156.4687935 20.8908173, -156.4687373 20.8906703)",
"[435740827, 435740828]","['4', '3']",primary,True,False,146.734,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.4687935 20.8908173, -156.468936 20.8907678, -156.4692001 20.8906765, -156.4696373 20.8905287, -156.4699451 20.8904282, -156.4700362 20.8903939, -156.4701194 20.8903628)",10
435740834,2,primary_link,False,False,16.316,HI-3950,Lono Avenue,,"LINESTRING (-156.4700637 20.8902256, -156.4701194 20.8903628)",
"[435740816, 435740815]","['4', '3']",primary,True,False,146.398,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.4700637 20.8902256, -156.4699545 20.8902618, -156.4693423 20.890466, -156.4688871 20.8906196, -156.4687373 20.8906703)",10
"[435740835, 44726782]","['3', '2']",tertiary,False,True,187.76999999999998,"['HI-3950', 'HI 3950']",Lono Avenue,30 mph,"LINESTRING (-156.4700637 20.8902256, -156.470011 20.890095, -156.4700015 20.8900698, -156.4698969 20.8897679, -156.4698508 20.8896509, -156.4697857 20.8894653, -156.469738 20.8893181, -156.4696463 20.8890614, -156.469495 20.888623)",8
435740814,2,primary_link,False,True,17.357,,Heterodox View,,"LINESTRING (-156.4687373 20.8906703, -156.4687935 20.8908173)",
456548936,2,primary_link,False,False,15.114,,,,"LINESTRING (-156.475905 20.8887684, -156.4759079 20.8889043)",
"[435741284, 435741285, 455659409, 455659413, 455659415]","['3', '2']",primary,True,False,278.09200000000004,HI 32,Kaahumanu Avenue,45 mph,"LINESTRING (-156.475905 20.8887684, -156.4758185 20.8887691, -156.475653 20.8887703, -156.4754626 20.8887732, -156.4750833 20.8887757, -156.4746224 20.8888014, -156.4741631 20.8888753, -156.4737231 20.888994, -156.4735812 20.88904, -156.4732803 20.8891394)",
44751307,2,primary_link,False,True,16.436,,,,"LINESTRING (-156.4714191 20.8897727, -156.4714729 20.8899117)",
"[435740826, 435740829]","['4', '3']",primary,True,False,149.54299999999998,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.4714191 20.8897727, -156.4710205 20.8899053, -156.4706237 20.8900373, -156.470259 20.8901588, -156.4702462 20.8901632, -156.4700637 20.8902256)",10
255214510,1,secondary_link,True,False,122.679,,,35 mph,"LINESTRING (-156.4721592 20.8896824, -156.4722702 20.8896863, -156.4723627 20.8896759, -156.4724563 20.8896734, -156.4725262 20.8896793, -156.4725459 20.8896809, -156.4726328 20.8897009, -156.4727162 20.8897348, -156.4727919 20.8897839, -156.4728582 20.8898439, -156.4729131 20.8899131, -156.4729552 20.8899898, -156.473058 20.8901962)",
435740824,3,primary,True,False,80.79299999999999,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.4721592 20.8896824, -156.4726984 20.8895004, -156.4727822 20.8894709, -156.4728898 20.8894334)",9
452882514,2,secondary_link,False,False,12.61,,,,"LINESTRING (-156.4755165 20.8922992, -156.4756021 20.8922188)",
452904490,2,secondary_link,False,False,16.153,,,,"LINESTRING (-156.4733171 20.8906525, -156.4734482 20.8905744)",
"[452882513, 452882511]","['3', '2']",secondary,True,False,294.039,HI 3400,Kahului Beach Road,35 mph,"LINESTRING (-156.4733171 20.8906525, -156.4735049 20.8908755, -156.4738023 20.8911377, -156.4741449 20.8913835, -156.4746276 20.8917004, -156.4755165 20.8922992)",
452882513,2,secondary,True,False,57.53,HI 3400,Kahului Beach Road,35 mph,"LINESTRING (-156.473058 20.8901962, -156.4731484 20.8903722, -156.4731736 20.8904193, -156.473242 20.8905472, -156.4733171 20.8906525)",
435740830,4,primary_link,False,True,16.982,HI 3400,Kahului Beach Road,,"LINESTRING (-156.4728415 20.8892875, -156.4728898 20.8894334)",
44724870,3,primary_link,False,True,26.903,,Kane Street,,"LINESTRING (-156.4728415 20.8892875, -156.4728157 20.8892179, -156.4728057 20.8891885, -156.4727629 20.889057)",
435741286,2,primary,True,False,31.695,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.4728415 20.8892875, -156.4727439 20.8893217, -156.472556 20.889388)",
452904490,2,secondary_link,False,True,16.153,,,,"LINESTRING (-156.4734482 20.8905744, -156.4733171 20.8906525)",
44711901,3,secondary,True,False,89.315,HI 3400,Kahului Beach Road,35 mph,"LINESTRING (-156.4734482 20.8905744, -156.4732763 20.8902924, -156.4731992 20.8901335, -156.4731376 20.8900029, -156.4730819 20.88985)",
44724870,3,primary_link,False,False,26.903,,Kane Street,,"LINESTRING (-156.4727629 20.889057, -156.4728057 20.8891885, -156.4728157 20.8892179, -156.4728415 20.8892875)",
"[435740832, 435740833, 44725947]",5,"['unclassified', 'residential']",False,"[False, True]",451.068,,Kane Street,20 mph,"LINESTRING (-156.4727629 20.889057, -156.4726755 20.888819, -156.4722886 20.8877032, -156.4720927 20.8871501, -156.471967 20.8868005, -156.4719035 20.8866241, -156.4718713 20.8865394, -156.4718303 20.8864408, -156.47181 20.8864037, -156.4717807 20.8863447, -156.4717284 20.8862646, -156.4716813 20.886198, -156.4715679 20.8860824, -156.471475 20.885991, -156.4713064 20.8858773, -156.4711674 20.8858198, -156.4710685 20.8857919, -156.4708547 20.8857341, -156.4707682 20.8856844)",
435741292,1,primary_link,True,False,44.711,,,,"LINESTRING (-156.4727629 20.889057, -156.4727549 20.8891301, -156.4727461 20.8891765, -156.4727297 20.8892225, -156.4727138 20.8892471, -156.4726925 20.889272, -156.4726438 20.8893128, -156.4726053 20.8893469, -156.472556 20.889388)",
435741288,3,primary,True,False,48.474000000000004,HI 32,Kaahumanu Avenue,45 mph,"LINESTRING (-156.4732803 20.8891394, -156.4730082 20.8892348, -156.4729786 20.8892441, -156.4728415 20.8892875)",7
435741291,1,primary_link,True,False,57.387,,,,"LINESTRING (-156.4732803 20.8891394, -156.4730414 20.8891653, -156.4729616 20.8891634, -156.4729485 20.8891603, -156.4728985 20.8891477, -156.4727629 20.889057)",
"[208362184, 435741289, 455659414]","['3', '2']",primary,True,False,276.841,HI 32,Kaahumanu Avenue,45 mph,"LINESTRING (-156.4733025 20.8892934, -156.4737013 20.8891487, -156.4738708 20.8890944, -156.4741955 20.8890068, -156.4746389 20.8889355, -156.4748789 20.8889179, -156.4751197 20.8889092, -156.4757486 20.8889053, -156.4758198 20.8889048, -156.4759079 20.8889043)",
"[435741283, 435740820]","['4', '3']",primary,True,False,125.62,HI 32,Kaahumanu Avenue,30 mph,"LINESTRING (-156.472556 20.889388, -156.4720064 20.8895787, -156.4714191 20.8897727)",10
255221585,1,secondary_link,True,False,76.082,,,35 mph,"LINESTRING (-156.4730819 20.88985, -156.4730651 20.8897388, -156.4730385 20.889591, -156.4730331 20.8895626, -156.4730329 20.8895338, -156.473038 20.8895054, -156.4730481 20.8894781, -156.4730631 20.8894529, -156.4730771 20.8894363, -156.4730824 20.8894304, -156.4731055 20.8894113, -156.4731317 20.8893962, -156.4731604 20.8893854, -156.4731984 20.8893679, -156.4732495 20.8893382, -156.4733025 20.8892934)",
435741290,2,secondary,True,False,50.856,HI 3400,Kahului Beach Road,,"LINESTRING (-156.4730819 20.88985, -156.4729552 20.8895142, -156.4729163 20.8894668, -156.4728898 20.8894334)",
