osmid,bridge,oneway,name,highway,reversed,length,geometry,ref,lanes
"[113738148, 583538622]",yes,False,Ravenna Road,secondary,False,319.02200000000005,"LINESTRING (-81.436781 41.311464, -81.437024 41.311516, -81.4370394 41.311521, -81.437252 41.3115905, -81.437362 41.311634, -81.437646 41.311743, -81.4383216 41.3120119, -81.4385531 41.3121041, -81.4390256 41.3122922, -81.439159 41.3123453, -81.4392202 41.3123696, -81.439397 41.31244, -81.439549 41.312485, -81.439846 41.312542, -81.440264 41.312593)",,
"[653232472, 583538621]",yes,False,East Aurora Road,primary,True,289.314,"LINESTRING (-81.436781 41.311464, -81.43704 41.3114679, -81.4372829 41.3114715, -81.4383564 41.3114604, -81.438487 41.3114591, -81.438507 41.3114589, -81.4391773 41.3114595, -81.439762 41.31146, -81.4400879 41.3114493, -81.440244 41.311441)",SR 82,
21401755,,False,Church Street,residential,False,137.416,"LINESTRING (-81.441797 41.311441, -81.4417971 41.3115287, -81.4417975 41.311948, -81.4417979 41.3124077, -81.441798 41.312506, -81.441785 41.31256, -81.441762 41.312594, -81.441739 41.312612, -81.441683 41.312644)",,
650943546,,False,East Aurora Road,primary,False,129.711,"LINESTRING (-81.441797 41.311441, -81.441162 41.311441, -81.4403965 41.3114396, -81.440244 41.311441)",SR 82,
511511004,,False,Darrow Road,primary,False,89.352,"LINESTRING (-81.440244 41.311441, -81.4402545 41.3115555, -81.4402652 41.3120271, -81.440268 41.312151, -81.4402672 41.3122442)",SR 91,
650943546,,False,East Aurora Road,primary,True,129.711,"LINESTRING (-81.440244 41.311441, -81.4403965 41.3114396, -81.441162 41.311441, -81.441797 41.311441)",SR 82,
"[653232472, 583538621]",yes,False,East Aurora Road,primary,False,289.314,"LINESTRING (-81.440244 41.311441, -81.4400879 41.3114493, -81.439762 41.31146, -81.4391773 41.3114595, -81.438507 41.3114589, -81.438487 41.3114591, -81.4383564 41.3114604, -81.4372829 41.3114715, -81.43704 41.3114679, -81.436781 41.311464)",SR 82,
"[653232473, 753191205, 698772316, 698772317]",,False,Darrow Road,primary,True,347.378,"LINESTRING (-81.440244 41.311441, -81.4402446 41.3113487, -81.4402465 41.31106, -81.4402471 41.3109835, -81.4402479 41.3108594, -81.4402508 41.3104316, -81.440251 41.3104068, -81.4402527 41.3101456, -81.4402539 41.3099699, -81.4402571 41.3097779, -81.4402567 41.309559, -81.440257 41.309508, -81.440256 41.3092222, -81.440255 41.3089583, -81.4402547 41.3088845, -81.440253 41.308431, -81.440253 41.3084185, -81.440253 41.308317)",SR 91,"['4', '5']"
21401755,,False,Church Street,residential,False,30.177,"LINESTRING (-81.441683 41.312644, -81.441533 41.312723, -81.441449 41.312743, -81.4414171 41.3127466, -81.44136 41.312753)",,
21401755,,False,Church Street,residential,True,137.416,"LINESTRING (-81.441683 41.312644, -81.441739 41.312612, -81.441762 41.312594, -81.441785 41.31256, -81.441798 41.312506, -81.4417979 41.3124077, -81.4417975 41.311948, -81.4417971 41.3115287, -81.441797 41.311441)",,
