osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,width,access,bridge
4020828,2,A167,Northgate Roundabout,primary,30 mph,roundabout,True,False,31.613,"LINESTRING (-1.5528806 54.5281434, -1.5529266 54.5280132, -1.552984 54.527965, -1.5531133 54.5279104)",,,
4020829,2,A167,St Cuthberts Way,primary,30 mph,,True,False,123.82999999999998,"LINESTRING (-1.5528806 54.5281434, -1.5527611 54.5280583, -1.5525448 54.5279366, -1.5523863 54.5278781, -1.5521967 54.5278266, -1.5519818 54.5277683, -1.5516673 54.5276536, -1.5515158 54.5275859, -1.5513401 54.5274984)",,,
1183363299,2,A167,Northgate Roundabout,primary,30 mph,roundabout,True,False,8.428,"LINESTRING (-1.5538252 54.5279516, -1.5538452 54.5280265)",,,
1183363299,2,A167,Northgate Roundabout,primary,30 mph,roundabout,True,False,23.343999999999998,"LINESTRING (-1.5536629 54.5282444, -1.5536284 54.5282569, -1.5533304 54.5283263)",,,
1218222474,2,A167,Feethams Roundabout,primary,30 mph,roundabout,True,False,16.519,"LINESTRING (-1.5525723 54.5219917, -1.5525834 54.5219348, -1.5526074 54.5218957, -1.5526445 54.5218508)",,,
38356604,2,,Feethams,unclassified,30 mph,,True,False,33.044,"LINESTRING (-1.5535481 54.5220875, -1.5536259 54.5222087, -1.5536748 54.5222627, -1.5537559 54.5223586)",,,
1218250750,2,A167,Feethams Roundabout,primary,30 mph,roundabout,True,False,24.441999999999997,"LINESTRING (-1.5535481 54.5220875, -1.5534979 54.5221385, -1.5534354 54.5221738, -1.5533584 54.5222024, -1.5532628 54.5222171)",,,
"[23129080, 827669249, 827669251]","['3', '2']",A167,St Cuthberts Way,primary,30 mph,,True,False,337.29599999999994,"LINESTRING (-1.5527973 54.5221832, -1.5526118 54.5221878, -1.5524668 54.5222076, -1.5523045 54.5222492, -1.5520514 54.522331, -1.5520049 54.522346, -1.5518715 54.5223984, -1.551584 54.5225367, -1.5513627 54.5226731, -1.5512288 54.5227877, -1.5510985 54.522913, -1.5508781 54.5231908, -1.5507967 54.5233327, -1.5507144 54.5234921, -1.5506715 54.5236014, -1.5506306 54.5237295, -1.5505783 54.5239404, -1.5505368 54.5241311, -1.5505072 54.5243264, -1.5504939 54.524448, -1.5504898 54.524486, -1.5505005 54.5246152)",,,
1179917277,2,A167,Feethams Roundabout,primary,30 mph,roundabout,True,False,27.164,"LINESTRING (-1.5527973 54.5221832, -1.5527238 54.5221601, -1.5526691 54.5221292, -1.5526284 54.5220948, -1.552586 54.5220482, -1.5525723 54.5219917)",,,
1170031472,2,A167,Victoria Road,primary,,,True,False,38.480000000000004,"LINESTRING (-1.5533712 54.521716, -1.55374 54.5217405, -1.5539631 54.5217576)",,,
1179917254,2,A167,Feethams Roundabout,primary,30 mph,roundabout,True,False,31.419999999999995,"LINESTRING (-1.5533712 54.521716, -1.5534534 54.5217469, -1.5535315 54.521785, -1.55358 54.5218191, -1.5536123 54.5218566, -1.5536322 54.5218947, -1.5536359 54.5219352)",,,
1179917276,2,A167,Grange Road Roundabout,primary,,roundabout,True,False,16.216,"LINESTRING (-1.5589094 54.5221019, -1.5590326 54.5219748)",,,
28618371,2,B6280,Coniscliffe Road,secondary,,,False,False,43.419000000000004,"LINESTRING (-1.5619993 54.5225567, -1.5621266 54.522523, -1.5625604 54.5223434)",,,
38295774,,,Coniscliffe Road,tertiary,,,True,False,42.102000000000004,"LINESTRING (-1.5619993 54.5225567, -1.5615818 54.5227464, -1.5614856 54.5227901)",5,,
1179917246,2,B6280,Grange Road,secondary,,,False,True,16.576,"LINESTRING (-1.5619993 54.5225567, -1.5618704 54.5225709, -1.5617448 54.5225729)",,,
"[827669257, 827669255]",2,A167,St Cuthberts Way,primary,30 mph,,True,False,32.602000000000004,"LINESTRING (-1.5503825 54.5253157, -1.5503675 54.5251335, -1.5503619 54.5251042, -1.5503463 54.5250234)",,,
"[827669256, 23129737]",1,B6280,Parkgate,secondary_link,30 mph,,True,False,93.923,"LINESTRING (-1.5503825 54.5253157, -1.5502954 54.5252098, -1.5502042 54.5250456, -1.5501063 54.5248799, -1.5500486 54.5248152, -1.5499617 54.5247436, -1.5499272 54.5247218, -1.549881 54.5246907, -1.5497271 54.524572)",,,
"[62267720, 66376467]",,,"['Maude Street', 'Mercia Court']",residential,20 mph,,False,False,127.276,"LINESTRING (-1.5608157 54.5276834, -1.5607641 54.5277719, -1.5606094 54.528037, -1.5604503 54.5283568, -1.5604516 54.5285552, -1.5603362 54.528649, -1.5601419 54.5287025)",,,
1160899361,2,A68,Woodland Road,primary,30 mph,,False,False,60.93900000000001,"LINESTRING (-1.5608157 54.5276834, -1.5604904 54.5276038, -1.5601855 54.5275193, -1.5599584 54.527454)",,,
"[1160899360, 1160899361]",2,A68,Woodland Road,primary,30 mph,,False,True,41.958,"LINESTRING (-1.5608157 54.5276834, -1.5609987 54.5277205, -1.5614358 54.5277967)",,,
395590741,2,,Stanhope Road North,tertiary,30 mph,,False,True,114.142,"LINESTRING (-1.5629815 54.5280087, -1.5631935 54.5269896)",,,
"[1160899358, 1160899359]",2,A68,Woodland Road,primary,30 mph,,False,False,33.382999999999996,"LINESTRING (-1.5629815 54.5280087, -1.5627844 54.5279814, -1.5624783 54.527939)",,,
38295773,1,,Coniscliffe Road,tertiary,,,True,False,29.439999999999998,"LINESTRING (-1.5614856 54.5227901, -1.5615573 54.5227337, -1.5617075 54.5226157, -1.5617448 54.5225729)",5,no,
38296604,2,,Coniscliffe Road,tertiary,,,False,False,77.158,"LINESTRING (-1.5614856 54.5227901, -1.5613756 54.5228009, -1.5612621 54.5228357, -1.5604173 54.523095)",,,
38296607,2,,Stanhope Road South,tertiary,,,False,False,80.62899999999999,"LINESTRING (-1.5614856 54.5227901, -1.5615901 54.5228258, -1.5620977 54.5230585, -1.5623237 54.5231621, -1.5624533 54.5232453)",,,
38296607,2,,Stanhope Road South,tertiary,,,False,True,80.62899999999999,"LINESTRING (-1.5624533 54.5232453, -1.5623237 54.5231621, -1.5620977 54.5230585, -1.5615901 54.5228258, -1.5614856 54.5227901)",,,
62267660,2,,Langholm Crescent,residential,,,False,False,65.439,"LINESTRING (-1.5624533 54.5232453, -1.5631779 54.5229447, -1.563277 54.5229021)",,,
379591396,2,,Stanhope Road South,tertiary,,,False,False,61.227,"LINESTRING (-1.5624533 54.5232453, -1.5625195 54.5233076, -1.5625625 54.5233705, -1.5625901 54.5234328, -1.5626461 54.5237767)",,,
1179917254,2,A167,Feethams Roundabout,primary,30 mph,roundabout,True,False,17.945,"LINESTRING (-1.5536359 54.5219352, -1.5536191 54.5219848, -1.5535866 54.5220401, -1.5535481 54.5220875)",,,
4020830,2,A167,Feethams Roundabout,primary,30 mph,roundabout,True,False,30.397,"LINESTRING (-1.5532628 54.5222171, -1.5531365 54.5222187, -1.5527973 54.5221832)",,,
1218250751,2,A167,Feethams Roundabout,primary,30 mph,roundabout,True,False,27.409,"LINESTRING (-1.5529516 54.5217111, -1.553051 54.5216982, -1.5531535 54.5216981, -1.5532496 54.5217018, -1.5533712 54.521716)",,,
28293436,2,A167,Grange Road,primary,,,True,False,57.034,"LINESTRING (-1.5595947 54.5214909, -1.5594984 54.5216564, -1.5594771 54.5216907, -1.5594625 54.5217591, -1.5594659 54.5218076, -1.5594927 54.521855, -1.5595651 54.521907, -1.5596499 54.5219533)",,,
389850365,2,A167,Grange Road,primary,30 mph,,False,True,51.433,"LINESTRING (-1.5595947 54.5214909, -1.5597802 54.5212816, -1.5599403 54.5210743)",,,
1179917263,2,A167,Grange Road Roundabout,primary,,roundabout,True,False,27.631,"LINESTRING (-1.5596499 54.5219533, -1.5600055 54.5220917)",,,
23128692,3,,Freemans Place,secondary,,,True,False,29.073999999999998,"LINESTRING (-1.5490522 54.5270637, -1.5490879 54.5270214, -1.5491983 54.5269057, -1.5492936 54.526845)",,,
23131220,2,B6279,Freemans Place,secondary,,,False,False,66.217,"LINESTRING (-1.5490522 54.5270637, -1.5489055 54.5272242, -1.548648 54.5274583, -1.5485123 54.5275693)",,,
156344302,2,,Freeman's Place Roundabout,primary,30 mph,roundabout,True,False,20.387,"LINESTRING (-1.5504722 54.5267615, -1.5504062 54.5268091, -1.5503099 54.5268339, -1.5502048 54.5268303)",,,
827669248,1,A167,St Cuthberts Way,primary,30 mph,,True,False,15.622,"LINESTRING (-1.5504722 54.5267615, -1.5505114 54.5268161, -1.5505825 54.5268862)",,,
23131139,3,A167,St Cuthberts Way,primary,30 mph,,True,False,86.055,"LINESTRING (-1.5500974 54.5266244, -1.5501049 54.5265493, -1.5501398 54.526473, -1.5502444 54.5263625, -1.5503249 54.5262488, -1.5504026 54.5261196, -1.5504348 54.5260029, -1.5504536 54.5258877)",,,
156344302,2,,Freeman's Place Roundabout,primary,30 mph,roundabout,True,False,37.826,"LINESTRING (-1.5500974 54.5266244, -1.5501743 54.5265895, -1.5502696 54.5265769, -1.550365 54.5265892, -1.5504422 54.526624, -1.5504864 54.5266745, -1.5504892 54.5267312)",,,
156344302,2,,Freeman's Place Roundabout,primary,30 mph,roundabout,True,False,5.729,"LINESTRING (-1.5502048 54.5268303, -1.5501268 54.5268057)",,,
156344302,2,,Freeman's Place Roundabout,primary,30 mph,roundabout,True,False,2.84,"LINESTRING (-1.5500731 54.5266457, -1.5500974 54.5266244)",,,
"[338662297, 65075523, 38703318]",,,East Street,unclassified,20 mph,,False,True,66.328,"LINESTRING (-1.5507433 54.5265633, -1.5509059 54.526566, -1.5509557 54.5265676, -1.551163 54.526574, -1.55138 54.5265783, -1.5517705 54.5265839)",,,yes
