osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,access,ref,bridge
17178479,Great Meadow Road,tertiary,25 mph,False,False,125.205,,"LINESTRING (-72.6488659 41.7140191, -72.6474649 41.7144364)",,,
1148378927,Great Meadow Road,tertiary,25 mph,False,True,18.205,,"LINESTRING (-72.6488659 41.7140191, -72.6490696 41.7139584)",,,
262470374,,motorway_link,,True,False,303.51,1,"LINESTRING (-72.6488659 41.7140191, -72.6486918 41.7138397, -72.6485348 41.7136727, -72.6476771 41.7127369, -72.6475819 41.7126216, -72.6474866 41.7124885, -72.6473907 41.712344, -72.6469408 41.7117043)",,,
17178479,Great Meadow Road,tertiary,25 mph,False,True,125.205,,"LINESTRING (-72.6474649 41.7144364, -72.6488659 41.7140191)",,,
1002130525,Great Meadow Road,residential,25 mph,False,False,37.822,,"LINESTRING (-72.6474649 41.7144364, -72.6470417 41.7145625)",,,
262470373,,motorway_link,,True,False,294.244,,"LINESTRING (-72.6474649 41.7144364, -72.6483827 41.7153215, -72.6485093 41.7154513, -72.6486033 41.7155527, -72.6486791 41.715647, -72.6487528 41.7157566, -72.6493214 41.7166736)",,,
17171223,,motorway_link,,True,False,219.45999999999998,1,"LINESTRING (-72.6468723 41.7125195, -72.646868 41.7125278, -72.6468666 41.7125428, -72.6468745 41.7125623, -72.6469377 41.7126656, -72.6469798 41.7127554, -72.6470292 41.7128801, -72.6470747 41.7130121, -72.6472914 41.7138243, -72.6474084 41.7142808, -72.6474357 41.714368, -72.6474513 41.7144078, -72.6474649 41.7144364)",,,
17172319,,motorway_link,35 mph,True,False,174.568,1,"LINESTRING (-72.6468723 41.7125195, -72.6468838 41.7125221, -72.6469004 41.7125305, -72.6469086 41.7125381, -72.6469246 41.7125587, -72.6470629 41.712771, -72.647245 41.7130313, -72.6473621 41.7132104, -72.6475652 41.713534, -72.6476384 41.7136407, -72.6477066 41.713727, -72.647744 41.7137687, -72.6478043 41.7138277, -72.6478365 41.713855, -72.6478794 41.7138869)",,,
791687667,Hartford Avenue,tertiary,,False,True,162.406,,"LINESTRING (-72.6574369 41.7164213, -72.6561119 41.7153466)",,,
252219697,Hart Street,residential,,True,False,427.77400000000006,,"LINESTRING (-72.6526613 41.715532, -72.6516002 41.7155163, -72.6510787 41.7155143, -72.6508516 41.7155116, -72.6505068 41.7155031, -72.6500179 41.7155015, -72.6498077 41.7154947, -72.6497484 41.7154851, -72.6497047 41.7154643, -72.6496736 41.7154284, -72.6496648 41.7153916, -72.6496088 41.7150135, -72.6495866 41.7149024, -72.6495624 41.7147856, -72.6495329 41.7146651, -72.6494971 41.7145289, -72.6494521 41.7144057, -72.6493977 41.7142751, -72.6493226 41.7141366, -72.6492645 41.7140676, -72.6492186 41.7140264, -72.6491726 41.7139986, -72.6491243 41.7139758, -72.6490696 41.7139584)",,,
657687450,Main Street,tertiary,,False,True,140.329,,"LINESTRING (-72.6526613 41.715532, -72.6526482 41.7151467, -72.6526433 41.7147526, -72.6526428 41.7147136, -72.6526465 41.7145238, -72.652651 41.7144181, -72.6526771 41.7142715)",yes,,
1144381164,Main Street,tertiary,,False,False,230.699,,"LINESTRING (-72.6526613 41.715532, -72.6526548 41.7165698, -72.6526484 41.7176067)",yes,,
