osmid,highway,width,oneway,reversed,length,geometry,lanes,ref,bridge,name,maxspeed,tunnel
84234923,tertiary,5,False,True,200.45600000000002,"LINESTRING (7.1773969 44.5003166, 7.1773269 44.5002634, 7.1768741 44.5003019, 7.176311 44.5002598, 7.1757349 44.5002707, 7.1754165 44.5001734, 7.1750124 44.4999882)",,,,,,
"[967287586, 967287588, 165964597]",secondary,,False,False,423.798,"LINESTRING (7.1773969 44.5003166, 7.1775838 44.5003054, 7.177746 44.5003207, 7.1779014 44.5003774, 7.1781352 44.500484, 7.1783575 44.500645, 7.178544 44.5007146, 7.1787115 44.5007527, 7.1788546 44.5008111, 7.1789511 44.5008963, 7.1790278 44.5009268, 7.1791116 44.5009324, 7.17919 44.5009028, 7.1794148 44.5006753, 7.1794429 44.500647, 7.1795071 44.5005838, 7.1795709 44.5004889, 7.1796026 44.5003729, 7.1796173 44.5002575, 7.1795977 44.5001471, 7.179504 44.5000049, 7.1794647 44.4999323, 7.1792834 44.4995975, 7.1791668 44.4993259, 7.1791291 44.4992085, 7.1792225 44.4989394, 7.1793251 44.4987461)",2,SP422,yes,Macra,30,
"[1116570374, 165964595, 165964598, 852789693, 852789694, 852789695]","['residential', 'unclassified']",,False,False,421.717,"LINESTRING (7.1793251 44.4987461, 7.1792446 44.4987594, 7.1791255 44.4989763, 7.1789918 44.499171, 7.1787658 44.4995195, 7.178759 44.4995403, 7.1787345 44.4995759, 7.1785131 44.499732, 7.1784254 44.4997872, 7.178342 44.4998338, 7.1782312 44.4998967, 7.1781147 44.4999521, 7.1779771 44.4999712, 7.1777453 44.4999558, 7.1773387 44.4998875, 7.1770439 44.4998461, 7.1767348 44.4998214, 7.1763879 44.4998252, 7.1761513 44.4998105, 7.1759757 44.4998666, 7.1756731 44.4999447, 7.1753375 44.4999651, 7.1750124 44.4999882)",,,yes,Macra,,building_passage
967287586,secondary,,False,False,180.497,"LINESTRING (7.1793251 44.4987461, 7.1794395 44.4986078, 7.1795825 44.4984707, 7.1798225 44.4982833, 7.1800651 44.4981758, 7.1802845 44.4981266, 7.1804861 44.4981165, 7.1806749 44.4981282, 7.180858 44.4981643, 7.1811935 44.4982535)",2,SP422,,,30,
"[967287586, 967287588, 165964597]",secondary,,False,True,423.79799999999994,"LINESTRING (7.1793251 44.4987461, 7.1792225 44.4989394, 7.1791291 44.4992085, 7.1791668 44.4993259, 7.1792834 44.4995975, 7.1794647 44.4999323, 7.179504 44.5000049, 7.1795977 44.5001471, 7.1796173 44.5002575, 7.1796026 44.5003729, 7.1795709 44.5004889, 7.1795071 44.5005838, 7.1794429 44.500647, 7.1794148 44.5006753, 7.17919 44.5009028, 7.1791116 44.5009324, 7.1790278 44.5009268, 7.1789511 44.5008963, 7.1788546 44.5008111, 7.1787115 44.5007527, 7.178544 44.5007146, 7.1783575 44.500645, 7.1781352 44.500484, 7.1779014 44.5003774, 7.177746 44.5003207, 7.1775838 44.5003054, 7.1773969 44.5003166)",2,SP422,yes,Macra,30,
"[967287585, 967287586, 1116763541, 1116763542]",secondary,,False,False,357.387,"LINESTRING (7.1811935 44.4982535, 7.1820545 44.4985652, 7.1821724 44.498632, 7.1825775 44.4988615, 7.182841 44.4989117, 7.1832759 44.49895, 7.1835206 44.4989157, 7.1835426 44.498909, 7.183767 44.4988407, 7.1841062 44.4987404, 7.1843326 44.4987062, 7.1845711 44.4986914, 7.1852853 44.4987133, 7.1853768 44.4987156)",2,SP422,,,"['50', '30']",
967287586,secondary,,False,True,180.497,"LINESTRING (7.1811935 44.4982535, 7.180858 44.4981643, 7.1806749 44.4981282, 7.1804861 44.4981165, 7.1802845 44.4981266, 7.1800651 44.4981758, 7.1798225 44.4982833, 7.1795825 44.4984707, 7.1794395 44.4986078, 7.1793251 44.4987461)",2,SP422,,,30,
"[967287585, 967287586, 1116763541, 1116763542]",secondary,,False,True,357.38699999999994,"LINESTRING (7.1853768 44.4987156, 7.1852853 44.4987133, 7.1845711 44.4986914, 7.1843326 44.4987062, 7.1841062 44.4987404, 7.183767 44.4988407, 7.1835426 44.498909, 7.1835206 44.4989157, 7.1832759 44.49895, 7.182841 44.4989117, 7.1825775 44.4988615, 7.1821724 44.498632, 7.1820545 44.4985652, 7.1811935 44.4982535)",2,SP422,,,"['50', '30']",
84234923,tertiary,5,False,False,200.45600000000002,"LINESTRING (7.1750124 44.4999882, 7.1754165 44.5001734, 7.1757349 44.5002707, 7.176311 44.5002598, 7.1768741 44.5003019, 7.1773269 44.5002634, 7.1773969 44.5003166)",,,,,,
"[1116570374, 165964595, 165964598, 852789693, 852789694, 852789695]","['unclassified', 'residential']",,False,True,421.7169999999999,"LINESTRING (7.1750124 44.4999882, 7.1753375 44.4999651, 7.1756731 44.4999447, 7.1759757 44.4998666, 7.1761513 44.4998105, 7.1763879 44.4998252, 7.1767348 44.4998214, 7.1770439 44.4998461, 7.1773387 44.4998875, 7.1777453 44.4999558, 7.1779771 44.4999712, 7.1781147 44.4999521, 7.1782312 44.4998967, 7.178342 44.4998338, 7.1784254 44.4997872, 7.1785131 44.499732, 7.1787345 44.4995759, 7.178759 44.4995403, 7.1787658 44.4995195, 7.1789918 44.499171, 7.1791255 44.4989763, 7.1792446 44.4987594, 7.1793251 44.4987461)",,,yes,Macra,,building_passage
