osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,bridge
42928927,True,2,SR 5,trunk,False,300.647,"LINESTRING (-81.213844 41.15248, -81.210608 41.153652)",,,
"[42928930, 19220079]",True,,,trunk_link,False,198.729,"LINESTRING (-81.213844 41.15248, -81.213563 41.152491, -81.213428 41.15249, -81.2133 41.152483, -81.213252 41.152479, -81.213199 41.152469, -81.213135 41.152452, -81.213102 41.152439, -81.213065 41.152419, -81.212985 41.152371, -81.212829 41.152229, -81.212767 41.152116, -81.212745 41.15199, -81.212745 41.151818, -81.2127841 41.1517351, -81.2128614 41.1516123, -81.2129644 41.1515219, -81.2131274 41.1514185)",,,
19220295,False,,,residential,False,85.251,"LINESTRING (-81.208457 41.146879, -81.208672 41.146722, -81.208959 41.146544, -81.209155 41.146404, -81.209209 41.146363)",,,
"[90238168, 90238198, 19231382, 128358063]",False,"['3', '2']",SR 14,primary,False,555.752,"LINESTRING (-81.208457 41.146879, -81.208494 41.146902, -81.2086872 41.1470214, -81.209036 41.147237, -81.2105175 41.1481378, -81.2109014 41.1483589, -81.211117 41.148494, -81.211524 41.148756, -81.211746 41.148917, -81.212065 41.149187, -81.212265 41.149378, -81.212592 41.149721, -81.212856 41.150022, -81.2131092 41.1503103, -81.2131566 41.1503539)","['Cleveland–East Liverpool Road', 'Cleveland East Liverpool Road']",55 mph,yes
19220295,False,,,residential,False,3.231,"LINESTRING (-81.209209 41.146363, -81.209237 41.146343)",,,
19220295,False,,,residential,True,85.251,"LINESTRING (-81.209209 41.146363, -81.209155 41.146404, -81.208959 41.146544, -81.208672 41.146722, -81.208457 41.146879)",,,
19223718,False,,,residential,True,135.736,"LINESTRING (-81.209209 41.146363, -81.209068 41.14626, -81.20902 41.146223, -81.208982 41.146182, -81.208952 41.146142, -81.208921 41.146092, -81.208906 41.146054, -81.208898 41.146016, -81.208858 41.145889, -81.208839 41.145808, -81.208818 41.145765, -81.208789 41.145721, -81.208732 41.145655, -81.208684 41.145614, -81.208627 41.145583, -81.208576 41.145563, -81.208529 41.145557, -81.208435 41.145555, -81.208384 41.145558, -81.208348 41.145562, -81.208242 41.14558)",,,
19220295,False,,,residential,True,3.231,"LINESTRING (-81.209237 41.146343, -81.209209 41.146363)",,,
128358063,False,3,SR 14,primary,False,84.622,"LINESTRING (-81.213195 41.150408, -81.21376 41.151039)",Cleveland East Liverpool Road,,
128358063,False,3,SR 14,primary,True,6.821,"LINESTRING (-81.213195 41.150408, -81.2131566 41.1503539)",Cleveland East Liverpool Road,,
19223718,False,,,residential,False,135.736,"LINESTRING (-81.208242 41.14558, -81.208348 41.145562, -81.208384 41.145558, -81.208435 41.145555, -81.208529 41.145557, -81.208576 41.145563, -81.208627 41.145583, -81.208684 41.145614, -81.208732 41.145655, -81.208789 41.145721, -81.208818 41.145765, -81.208839 41.145808, -81.208858 41.145889, -81.208898 41.146016, -81.208906 41.146054, -81.208921 41.146092, -81.208952 41.146142, -81.208982 41.146182, -81.20902 41.146223, -81.209068 41.14626, -81.209209 41.146363)",,,
"[19224128, 19223331]",False,,,residential,"[False, True]",256.288,"LINESTRING (-81.2124316 41.1498993, -81.212605 41.150156, -81.212501 41.150203, -81.212369 41.150258, -81.212288 41.150287, -81.21218 41.150315, -81.212102 41.150324, -81.212014 41.150331, -81.2118552 41.1503274, -81.2118277 41.150361, -81.2118086 41.1503986, -81.2119762 41.150732, -81.212043 41.1507435, -81.2121494 41.1507136, -81.2123836 41.1506308, -81.2131566 41.1503539)",,,
128358063,False,3,SR 14,primary,True,84.622,"LINESTRING (-81.21376 41.151039, -81.213195 41.150408)",Cleveland East Liverpool Road,,
"[19227769, 19230447]",True,,,trunk_link,False,406.76400000000007,"LINESTRING (-81.21376 41.151039, -81.2134193 41.1511793, -81.2130588 41.1513732, -81.212827 41.1515606, -81.212651 41.151828, -81.212507 41.152178, -81.212392 41.152404, -81.212244 41.152623, -81.212146 41.152731, -81.212032 41.152842, -81.211945 41.152915, -81.21185 41.153003, -81.211735 41.153087, -81.211672 41.15313, -81.210608 41.153652)",,,
42928932,True,,,trunk_link,False,67.945,"LINESTRING (-81.2131274 41.1514185, -81.2135137 41.1512181, -81.21376 41.151039)",,,
128358063,False,3,SR 14,primary,False,6.821,"LINESTRING (-81.2131566 41.1503539, -81.213195 41.150408)",Cleveland East Liverpool Road,,
"[19224128, 19223331]",False,,,residential,"[False, True]",256.288,"LINESTRING (-81.2131566 41.1503539, -81.2123836 41.1506308, -81.2121494 41.1507136, -81.212043 41.1507435, -81.2119762 41.150732, -81.2118086 41.1503986, -81.2118277 41.150361, -81.2118552 41.1503274, -81.212014 41.150331, -81.212102 41.150324, -81.21218 41.150315, -81.212288 41.150287, -81.212369 41.150258, -81.212501 41.150203, -81.212605 41.150156, -81.2124316 41.1498993)",,,
"[90238168, 19231382, 90238198, 128358063]",False,"['3', '2']",SR 14,primary,True,555.7520000000001,"LINESTRING (-81.2131566 41.1503539, -81.2131092 41.1503103, -81.212856 41.150022, -81.212592 41.149721, -81.212265 41.149378, -81.212065 41.149187, -81.211746 41.148917, -81.211524 41.148756, -81.211117 41.148494, -81.2109014 41.1483589, -81.2105175 41.1481378, -81.209036 41.147237, -81.2086872 41.1470214, -81.208494 41.146902, -81.208457 41.146879)","['Cleveland East Liverpool Road', 'Cleveland–East Liverpool Road']",55 mph,yes
