osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,access,ref
13019858,North D Street,residential,False,False,131.434,"LINESTRING (-97.0340516 37.0647085, -97.0340572 37.0658905)",,,,
13016565,East Walnut Avenue,residential,False,False,109.678,"LINESTRING (-97.0340516 37.0647085, -97.034663 37.0647063, -97.0352877 37.0647048)",,,,
13019858,North D Street,residential,False,True,131.20000000000002,"LINESTRING (-97.0340516 37.0647085, -97.0340484 37.0636508, -97.0340471 37.0635286)",,,,
203192416,North C Street,tertiary,False,True,131.019,"LINESTRING (-97.0352877 37.0647048, -97.0352707 37.0635266)",,,,
13016565,East Walnut Avenue,residential,False,True,109.678,"LINESTRING (-97.0352877 37.0647048, -97.034663 37.0647063, -97.0340516 37.0647085)",,,,
203192416,North C Street,tertiary,False,False,131.656,"LINESTRING (-97.0352877 37.0647048, -97.0352884 37.0649371, -97.0352902 37.0655621, -97.0352911 37.0658888)",,,,
203192425,East Walnut Avenue,residential,False,False,108.986,"LINESTRING (-97.0352877 37.0647048, -97.0359022 37.0647045, -97.036516 37.0647042)",,,,
13020884,North B Street,residential,False,False,131.536,"LINESTRING (-97.036516 37.0647042, -97.0365259 37.0658871)",,,,
13020884,North B Street,residential,False,True,131.466,"LINESTRING (-97.036516 37.0647042, -97.0365156 37.0635219)",,,,
203192425,East Walnut Avenue,residential,False,False,109.518,"LINESTRING (-97.036516 37.0647042, -97.0371468 37.0647046, -97.0377503 37.064705)",,,,
203192425,East Walnut Avenue,residential,False,True,108.986,"LINESTRING (-97.036516 37.0647042, -97.0359022 37.0647045, -97.0352877 37.0647048)",,,,
13018645,North A Street,residential,False,False,130.792,"LINESTRING (-97.0377503 37.064705, -97.0377629 37.0658812)",20 mph,,,
13018645,North A Street,residential,False,True,132.148,"LINESTRING (-97.0377503 37.064705, -97.0377389 37.0635166)",20 mph,,,
203192425,East Walnut Avenue,residential,False,False,113.258,"LINESTRING (-97.0377503 37.064705, -97.0383698 37.0647007, -97.0390267 37.0646961)",,,,
203192425,East Walnut Avenue,residential,False,True,109.518,"LINESTRING (-97.0377503 37.064705, -97.0371468 37.0647046, -97.036516 37.0647042)",,,,
13017589,North Summit Street,primary,False,True,131.604,"LINESTRING (-97.0390267 37.0646961, -97.0390144 37.0635126)",20 mph,4,,
203063146,North Summit Street,primary,False,False,131.794,"LINESTRING (-97.0390267 37.0646961, -97.0390401 37.0658813)",30 mph,4,,
13022495,West Walnut Avenue,residential,False,False,114.11500000000001,"LINESTRING (-97.0390267 37.0646961, -97.0396948 37.0646938, -97.0403128 37.0646917)",,,,
203192425,East Walnut Avenue,residential,False,True,113.258,"LINESTRING (-97.0390267 37.0646961, -97.0383698 37.0647007, -97.0377503 37.064705)",,,,
13021223,North 4th Street,tertiary,False,True,132.157,"LINESTRING (-97.0440288 37.0658697, -97.0440225 37.0646812)",,,,
203202628,West Spruce Avenue,residential,False,False,110.17500000000001,"LINESTRING (-97.0440288 37.0658697, -97.0434177 37.0658728, -97.0427871 37.065876)",,,,
203833877,North 3rd Street,residential,False,True,132.468,"LINESTRING (-97.0427871 37.065876, -97.0427933 37.0646847)",,,,
203202628,West Spruce Avenue,residential,False,False,109.765,"LINESTRING (-97.0427871 37.065876, -97.042184 37.0658772, -97.04155 37.0658785)",,,,
203202628,West Spruce Avenue,residential,False,True,110.17500000000001,"LINESTRING (-97.0427871 37.065876, -97.0434177 37.0658728, -97.0440288 37.0658697)",,,,
203833887,North 2nd Street,residential,False,True,131.744,"LINESTRING (-97.04155 37.0658785, -97.0415506 37.0646937)",,,,
203202628,West Spruce Avenue,residential,False,False,109.314,"LINESTRING (-97.04155 37.0658785, -97.040934 37.0658759, -97.040318 37.0658732)",,,,
203202628,West Spruce Avenue,residential,False,True,109.765,"LINESTRING (-97.04155 37.0658785, -97.042184 37.0658772, -97.0427871 37.065876)",,,,
