osmid,oneway,ref,name,highway,junction,reversed,length,geometry,lanes,maxspeed
740899493,True,NC 84,Weddington Road,primary,roundabout,False,25.935000000000002,"LINESTRING (-80.7601391 35.0222206, -80.7601758 35.0221971, -80.7602049 35.0221673, -80.7602249 35.0221328, -80.7602348 35.0220955, -80.7602339 35.0220573, -80.7602204 35.0220164)",,
"[625226914, 740899496, 625226922, 18883184, 625226911]",True,NC 84,Weddington Road,primary,,False,193.528,"LINESTRING (-80.7601391 35.0222206, -80.7602446 35.0222029, -80.7603713 35.0221924, -80.7604965 35.0221965, -80.7605554 35.0221985, -80.7607235 35.0221947, -80.7609408 35.022182, -80.7612906 35.0221534, -80.7615503 35.0221264, -80.7616132 35.0221199, -80.7617238 35.0221086, -80.7621233 35.022068, -80.7621585 35.0220645, -80.7622516 35.0220553)","['1', '2']",
740899492,True,,Weddington Matthews Road,secondary,,False,48.341,"LINESTRING (-80.7598581 35.0221602, -80.7598429 35.022283, -80.7598101 35.0223775, -80.7597356 35.0225076, -80.7597296 35.0225768)",1,
740899493,True,NC 84,Weddington Road,primary,roundabout,False,25.231,"LINESTRING (-80.7598581 35.0221602, -80.7598849 35.0221907, -80.7599195 35.0222155, -80.7599601 35.0222332, -80.7600045 35.022243, -80.7600511 35.0222441, -80.7600968 35.0222365)",,
740899490,False,NC 84,Weddington Road,primary,,False,17.624,"LINESTRING (-80.7628541 35.0220149, -80.7626638 35.021986)",2,
265880603,True,NC 16,Providence Road South,primary,,False,344.347,"LINESTRING (-80.7628541 35.0220149, -80.7628829 35.0219256, -80.7629239 35.0217988, -80.7631371 35.0211047, -80.7634705 35.0199702, -80.7634934 35.0198923, -80.7637116 35.0189995)",2,
740899493,True,NC 84,Weddington Road,primary,roundabout,False,4.182,"LINESTRING (-80.7598404 35.0221255, -80.7598581 35.0221602)",,
740899490,False,NC 84,Weddington Road,primary,,True,17.624,"LINESTRING (-80.7626638 35.021986, -80.7628541 35.0220149)",2,
272640655,True,NC 16,Providence Road,primary,,False,28.916,"LINESTRING (-80.7626638 35.021986, -80.7626179 35.0222051, -80.7626101 35.0222423)",2,45 mph
"[740899488, 740899489, 740899485, 740899486, 740899487]",True,NC 84,Weddington Road,primary,,False,226.967,"LINESTRING (-80.7626638 35.021986, -80.7625849 35.0219642, -80.7625225 35.0219469, -80.7621118 35.0219923, -80.7616448 35.0220397, -80.7616015 35.0220441, -80.7612801 35.0220776, -80.7609342 35.0221058, -80.7607189 35.0221184, -80.760556 35.0221221, -80.760499 35.0221164, -80.7603915 35.0220941, -80.7603205 35.0220669, -80.7602204 35.0220164)",2,
