osmid,oneway,name,highway,reversed,length,geometry,maxspeed,junction,lanes,ref
303358745,True,Taylor Road,residential,False,25.727,"LINESTRING (-90.6274364 38.5827274, -90.6274867 38.5824994)",,,,
717767538,False,Taylor Road,residential,False,47.022999999999996,"LINESTRING (-90.6274364 38.5827274, -90.6274384 38.5828408, -90.6274371 38.5830068, -90.6274397 38.5830802, -90.6274485 38.5831499)",,,,
624289701,False,Manchester Road,tertiary,False,145.99699999999999,"LINESTRING (-90.6352695 38.5762453, -90.6347617 38.5763607, -90.6342259 38.5764824, -90.6338646 38.5765689, -90.6338012 38.5765831, -90.633658 38.576615)",35 mph,,,
49393908,True,Main Street,residential,False,104.513,"LINESTRING (-90.6320708 38.5809904, -90.6320073 38.5809878, -90.6315378 38.5809686, -90.6314599 38.5809654, -90.6308701 38.5809413)",,,,
"[303359849, 659473554]",False,Market Avenue,"['residential', 'unclassified']","[False, True]",58.893,"LINESTRING (-90.6320708 38.5809904, -90.6320736 38.5809013, -90.6320837 38.5805617, -90.6320867 38.5804609)",,,,
303359849,False,Market Avenue,residential,True,8.963000000000001,"LINESTRING (-90.6320708 38.5809904, -90.6320707 38.5810412, -90.6320707 38.581071)",,,,
624289715,True,,tertiary,False,14.162000000000003,"LINESTRING (-90.6272806 38.5781884, -90.6272882 38.5782487, -90.6273273 38.5782861, -90.6273442 38.578299)",,roundabout,,
919019535,True,Manchester Road,tertiary,False,35.43,"LINESTRING (-90.6272806 38.5781884, -90.6271539 38.5782379, -90.626916 38.5783308)",,,,
624730664,True,Manchester Road,tertiary,False,30.973,"LINESTRING (-90.6276872 38.578199, -90.6280013 38.5780675)",,,,
"[277231579, 50692028]",True,,tertiary,False,13.677,"LINESTRING (-90.6276872 38.578199, -90.6276852 38.5781439, -90.6276584 38.5780985, -90.6276437 38.5780848)",,roundabout,,
50692331,False,Grover Crossing Way,residential,False,37.595,"LINESTRING (-90.633658 38.576615, -90.633657 38.5762769)",,,,
624289701,False,Manchester Road,tertiary,False,517.578,"LINESTRING (-90.633658 38.576615, -90.6333879 38.5766839, -90.6331541 38.5767436, -90.6319518 38.5770502, -90.6313315 38.5772123, -90.6308824 38.5773271, -90.630256 38.5774872, -90.6298823 38.5775828, -90.6291263 38.5777761, -90.6283308 38.5779795, -90.6280013 38.5780675)",35 mph,,,
624289701,False,Manchester Road,tertiary,True,145.997,"LINESTRING (-90.633658 38.576615, -90.6338012 38.5765831, -90.6338646 38.5765689, -90.6342259 38.5764824, -90.6347617 38.5763607, -90.6352695 38.5762453)",35 mph,,,
50692331,False,Grover Crossing Way,residential,True,37.595,"LINESTRING (-90.633657 38.5762769, -90.633658 38.576615)",,,,
466930330,False,Village Hills Parkway,residential,False,7.457,"LINESTRING (-90.627783 38.5770302, -90.627736 38.5769741)",,,2,
580522565,True,,trunk,False,49.799,"LINESTRING (-90.6299309 38.582663, -90.6293602 38.5826237)",55 mph,,2,MO 100
303357102,True,,trunk_link,False,31.335,"LINESTRING (-90.6299309 38.582663, -90.6297935 38.5825891, -90.6297299 38.5825567, -90.6296977 38.5825329, -90.6296469 38.5824914)",,,,
858160028,True,,trunk,False,124.71600000000001,"LINESTRING (-90.6293602 38.5826237, -90.6290109 38.5825995, -90.6285965 38.5825723, -90.6279306 38.5825283)",55 mph,,2,MO 100
303356892,True,,residential,False,19.881999999999998,"LINESTRING (-90.6296731 38.5819955, -90.6297108 38.5819914, -90.6297461 38.5819801, -90.6297767 38.5819623, -90.6298006 38.5819391, -90.6298164 38.5819119, -90.629823 38.5818826)",,roundabout,,
"[773665946, 303357143]",False,Fountain Place,residential,True,55.19,"LINESTRING (-90.6296731 38.5819955, -90.6296663 38.5820967, -90.6296505 38.5824028, -90.6296469 38.5824914)",,,,
303356892,True,,residential,False,21.597,"LINESTRING (-90.6295196 38.5818699, -90.6295229 38.5819022, -90.6295372 38.5819326, -90.6295614 38.5819588, -90.6295938 38.5819789, -90.629632 38.5819915, -90.6296731 38.5819955)",,roundabout,,
303359219,False,Plaza Drive,residential,False,94.078,"LINESTRING (-90.6295196 38.5818699, -90.6293943 38.5818648, -90.6287993 38.5818406, -90.6285983 38.5818312, -90.6284389 38.5818238)",,,,
303356892,True,,residential,False,20.36,"LINESTRING (-90.6296765 38.581758, -90.62963 38.5817624, -90.6295874 38.5817777, -90.6295528 38.5818024, -90.6295294 38.5818341, -90.6295196 38.5818699)",,roundabout,,
303357712,False,Fountain Place,residential,True,86.53,"LINESTRING (-90.6296765 38.581758, -90.6296826 38.5816681, -90.6296934 38.5815087, -90.6297229 38.5810725, -90.6297291 38.5809809)",,,,
303356892,True,,residential,False,20.881999999999998,"LINESTRING (-90.629823 38.5818826, -90.6298197 38.5818514, -90.6298061 38.581822, -90.6297831 38.5817964, -90.6297524 38.5817763, -90.629716 38.5817632, -90.6296765 38.581758)",,roundabout,,
