osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,tunnel,access
8973060,Forest Avenue,residential,False,True,30.779,"LINESTRING (-131.6453099 55.3454611, -131.6457495 55.34558)",,,,
8972351,Miller Ridge Road,residential,False,False,159.304,"LINESTRING (-131.6453099 55.3454611, -131.6448067 55.3456485, -131.6446165 55.3457118, -131.6444282 55.3457606, -131.6442282 55.3457987, -131.6440364 55.3458227, -131.64384 55.345837, -131.6436641 55.3458459, -131.6434369 55.345848, -131.6432153 55.3458381, -131.6429573 55.3458234)",,,,
8973060,Forest Avenue,residential,False,False,67.509,"LINESTRING (-131.6453099 55.3454611, -131.6446157 55.345187, -131.6444607 55.3450962)",,,,
8972299,Dock Street,residential,True,False,31.869,"LINESTRING (-131.6426669 55.3418651, -131.6430296 55.3420641)",,,,
8972418,Mill Street,secondary,False,False,114.022,"LINESTRING (-131.6426669 55.3418651, -131.6427603 55.3418616, -131.6428579 55.3418506, -131.642962 55.3418236, -131.643965 55.3414274, -131.6441904 55.3413384)",AK 7,,,
"[8970654, 181002846, 181002847]",Stedman Street,secondary,False,"[False, True]",271.15099999999995,"LINESTRING (-131.6426669 55.3418651, -131.6414968 55.3412958, -131.641116 55.3411108, -131.6410693 55.3410865, -131.6405135 55.3407999, -131.6402012 55.3406391, -131.6401355 55.340605, -131.6399424 55.3405058, -131.6398951 55.340481, -131.6394382 55.3402608)",AK 7,yes,,
8973134,Freeman Street,residential,False,False,10.3,"LINESTRING (-131.6400062 55.343536, -131.6398919 55.343602)",,,,
"[181034409, 713189303]",Park Avenue,residential,False,True,42.199,"LINESTRING (-131.6400062 55.343536, -131.640131 55.3435623, -131.6402735 55.343588, -131.6405336 55.3436301, -131.6406479 55.3436285)",,,,
"[8970753, 8973151]","['Spruce Mill Way', 'Bawden Street']",residential,False,False,156.199,"LINESTRING (-131.6441904 55.3413384, -131.6434658 55.3407347, -131.6434324 55.3406965, -131.6434099 55.3406539, -131.6434246 55.3406114, -131.6434896 55.3405524, -131.6436213 55.340473, -131.6437953 55.3403664, -131.6440826 55.3402204)",,,,
8972418,Mill Street,secondary,False,False,67.143,"LINESTRING (-131.6441904 55.3413384, -131.6449686 55.3410365, -131.6450675 55.3409981)",AK 7,,,
8972418,Mill Street,secondary,False,True,114.022,"LINESTRING (-131.6441904 55.3413384, -131.643965 55.3414274, -131.642962 55.3418236, -131.6428579 55.3418506, -131.6427603 55.3418616, -131.6426669 55.3418651)",AK 7,,,
1086305965,Bawden Street,residential,False,True,44.82299999999999,"LINESTRING (-131.6441904 55.3413384, -131.6442655 55.3414021, -131.6443596 55.341687, -131.6443715 55.3417229)",,,,
"[8971449, 148013018, 148013013]",Harris Street,residential,False,False,29.169999999999998,"LINESTRING (-131.6408165 55.3438726, -131.6407851 55.3438288, -131.6406769 55.3436777, -131.6406479 55.3436285)",,yes,,
181035522,Harris Street,residential,False,False,23.613999999999997,"LINESTRING (-131.6408165 55.3438726, -131.6406207 55.3439112, -131.6404753 55.343957)",,,,
181035522,Harris Street,residential,False,True,239.902,"LINESTRING (-131.6408165 55.3438726, -131.6413065 55.3437981, -131.6414487 55.3437842, -131.6415837 55.3437792, -131.6416936 55.3437765, -131.6417957 55.3437918, -131.6418915 55.343827, -131.6422547 55.3439803, -131.6427187 55.3442228, -131.6427651 55.3442446, -131.6428619 55.3442693, -131.642959 55.3442812, -131.6430499 55.3442881, -131.6431371 55.3442854, -131.6432144 55.3442729, -131.6432944 55.3442503, -131.6433623 55.3442226, -131.6434273 55.3441834, -131.6434791 55.3441448, -131.6435142 55.3441002, -131.6435539 55.3440453, -131.6435844 55.3439909, -131.6435995 55.3439498, -131.6436284 55.3439035, -131.6436662 55.3438585, -131.6437515 55.3437694)",,,,
"[148014546, 148014540]",Spruce Mill Way,residential,True,False,78.518,"LINESTRING (-131.6451024 55.3398176, -131.6443503 55.3401129, -131.6440826 55.3402204)",,,,
181035522,Harris Street,residential,False,True,23.613999999999997,"LINESTRING (-131.6404753 55.343957, -131.6406207 55.3439112, -131.6408165 55.3438726)",,,,
