osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,ref,bridge
"[732763016, 903305466]",True,"['1', '2']",motorway_link,False,465.071,"LINESTRING (-104.9907492 39.9133568, -104.9907778 39.9129764, -104.990817 39.9126433, -104.9908828 39.9121548, -104.9909358 39.9117828, -104.990975 39.9114858, -104.9909852 39.9114085, -104.9910106 39.9111069, -104.9910333 39.9107529, -104.9910535 39.9103775, -104.9910759 39.909746, -104.9910813 39.9095716, -104.9910081 39.9091888)",,,,
337120154,True,3,motorway_link,False,22.831,"LINESTRING (-104.9889995 39.9139792, -104.9889245 39.9141763)",,,,
130920288,True,3,primary,False,61.098,"LINESTRING (-104.9889995 39.9139792, -104.9888076 39.9139703, -104.9882835 39.913974)",East 120th Avenue,40 mph,,
"[40117744, 130920496, 16979414]",True,5,primary,False,151.204,"LINESTRING (-104.9889245 39.9141763, -104.9891595 39.9141722, -104.9902732 39.9141526, -104.9906969 39.9141452)","['East 120th Avenue', 'West 120th Avenue']",40 mph,CO 128,yes
440657973,True,2,motorway_link,False,45.863,"LINESTRING (-104.9889245 39.9141763, -104.9888967 39.9142909, -104.9888262 39.9145818)",,,,
337120172,True,2,motorway_link,False,66.04599999999999,"LINESTRING (-104.9907098 39.91395, -104.9907199 39.9137983, -104.9907492 39.9133568)",,,,
"[42943905, 793098466, 40117766]",True,5,primary,False,145.904,"LINESTRING (-104.9907098 39.91395, -104.9903693 39.9139558, -104.9892389 39.9139751, -104.9889995 39.9139792)","['East 120th Avenue', 'West 120th Avenue']",40 mph,CO 128,yes
337120168,True,3,primary,False,35.523,"LINESTRING (-104.9906969 39.9141452, -104.9911133 39.9141379)",West 120th Avenue,40 mph,CO 128,
1218699379,True,2,motorway_link,False,21.733,"LINESTRING (-104.9906969 39.9141452, -104.9907098 39.91395)",,,,
607246748,True,1,motorway_link,False,68.045,"LINESTRING (-104.990483 39.9144988, -104.9906374 39.9143743, -104.9906824 39.9143395, -104.9907122 39.9143172, -104.9907628 39.9142808, -104.990828 39.9142448, -104.9908638 39.9142264, -104.9909144 39.9142035, -104.9909505 39.9141887, -104.9909889 39.9141759, -104.9910351 39.9141613, -104.9911133 39.9141379)",,,,
607246755,True,2,motorway_link,False,43.614000000000004,"LINESTRING (-104.990483 39.9144988, -104.9906611 39.9142506, -104.9906969 39.9141452)",,,,
"[606863163, 427827948, 793098469, 606859941]",True,"['4', '3', '2']",motorway_link,False,465.88199999999995,"LINESTRING (-104.9905511 39.9095959, -104.9904467 39.9098872, -104.9904156 39.9101454, -104.9903791 39.9103933, -104.990306 39.910829, -104.9902307 39.9111848, -104.9901566 39.9115206, -104.9900955 39.9117543, -104.9900453 39.9119312, -104.989965 39.9121745, -104.9899028 39.9123507, -104.9898119 39.9125699, -104.9897246 39.9127532, -104.9896412 39.9129032, -104.9893784 39.9133545, -104.9892005 39.9136252)",,,,
"[1089780307, 766089743]",True,"['1', '2']",tertiary,False,103.92,"LINESTRING (-104.9870113 39.9110149, -104.9869709 39.9110765, -104.9869226 39.9112404, -104.9868956 39.9112904, -104.9868483 39.9113678, -104.9867927 39.9114357, -104.9867256 39.9115008, -104.986676 39.9115446, -104.9865917 39.9115994, -104.9865049 39.9116457, -104.9863192 39.9117402)",Community Center Drive,25 mph,,
