osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,bridge,tunnel
585505099,Pearl Street,secondary,False,True,29.868,,"LINESTRING (-96.4079224 42.4985164, -96.4079193 42.4982478)",,,
416211411,Pearl Street,residential,False,False,122.274,3,"LINESTRING (-96.4079224 42.4985164, -96.4079294 42.4991311, -96.407935 42.499616)",,,
585505100,West 7th Street,secondary,False,False,40.396,,"LINESTRING (-96.4079224 42.4985164, -96.4080455 42.4985151, -96.4080743 42.4985148, -96.4082218 42.4985133, -96.4084151 42.4985147)",,,
585505128,8th Street,residential,False,False,117.766,,"LINESTRING (-96.4079224 42.4985164, -96.4077604 42.4985179, -96.4071826 42.4985231, -96.4066046 42.4985252, -96.406486 42.4985256)",,,
16072653,9th Street,residential,False,False,120.769,,"LINESTRING (-96.407935 42.499616, -96.4064619 42.499621)",,,
416211411,Pearl Street,residential,False,True,122.274,3,"LINESTRING (-96.407935 42.499616, -96.4079294 42.4991311, -96.4079224 42.4985164)",,,
585489773,Grandview Boulevard,residential,False,False,123.43,,"LINESTRING (-96.407935 42.499616, -96.4079407 42.5001711, -96.4079465 42.500726)",,,
416211435,West 3rd Street,residential,False,True,53.669,,"LINESTRING (-96.4115542 42.4949507, -96.4110021 42.4946914)",,,
16067696,,tertiary,False,False,87.688,,"LINESTRING (-96.4115542 42.4949507, -96.4114878 42.495029, -96.4114032 42.495096, -96.4112799 42.4951562, -96.4111851 42.4951896, -96.4111119 42.4952153, -96.410919 42.4952328, -96.4107757 42.4952358, -96.4106274 42.4952399)",,,
585163093,5th Street,secondary,True,False,32.297,3,"LINESTRING (-96.4106274 42.4952399, -96.4102338 42.4952282)",25 mph,,
16067696,,tertiary,False,True,87.688,,"LINESTRING (-96.4106274 42.4952399, -96.4107757 42.4952358, -96.410919 42.4952328, -96.4111119 42.4952153, -96.4111851 42.4951896, -96.4112799 42.4951562, -96.4114032 42.495096, -96.4114878 42.495029, -96.4115542 42.4949507)",,,
"[1034519904, 585727510]",Wesley Parkway,primary,False,True,119.805,"['4', '5']","LINESTRING (-96.4106274 42.4952399, -96.4106378 42.495459, -96.4106538 42.4956067, -96.4107245 42.4959852, -96.4107676 42.4963116)",30 mph,,
"[1034519905, 518650033]",Wesley Parkway,primary,False,False,69.626,"['4', '5']","LINESTRING (-96.4106274 42.4952399, -96.410631 42.4950524, -96.410681 42.4948362, -96.4107491 42.4946227)",35 mph,,
"[466696038, 466696022]",3rd Street,secondary,False,True,120.676,"['4', '5']","LINESTRING (-96.4019743 42.4931031, -96.4026509 42.4930997, -96.4034461 42.4930957)",25 mph,,
"[466696033, 466696035, 466696030]",3rd Street,secondary,False,False,97.007,"['4', '5']","LINESTRING (-96.4019743 42.4931031, -96.4015398 42.4931111, -96.4012809 42.4931119, -96.4007913 42.4931136)",25 mph,,
"[492440472, 525610184, 492440471]",Jackson Street,secondary,False,True,119.418,,"LINESTRING (-96.4019743 42.4931031, -96.4019814 42.4936282, -96.4019817 42.4936541, -96.4019888 42.494177)",25 mph,,
35372385,4th Street,residential,False,False,119.798,2,"LINESTRING (-96.4019888 42.494177, -96.4034499 42.4941691)",25 mph,,
35372385,4th Street,residential,False,True,95.92699999999999,2,"LINESTRING (-96.4019888 42.494177, -96.4009657 42.4941838, -96.4008213 42.4941641)",25 mph,,
"[525610184, 492440472, 492440471]",Jackson Street,secondary,False,False,119.418,,"LINESTRING (-96.4019888 42.494177, -96.4019817 42.4936541, -96.4019814 42.4936282, -96.4019743 42.4931031)",25 mph,,
"[525610184, 462427270, 525610183]",Jackson Street,secondary,False,True,122.924,,"LINESTRING (-96.4019888 42.494177, -96.4019904 42.4945035, -96.4019903 42.4945275, -96.4019887 42.4946152, -96.4020013 42.4952824)",25 mph,,
"[1228772032, 1228772033, 35373275]",5th Street,secondary,True,False,96.564,3,"LINESTRING (-96.4020013 42.4952824, -96.4015984 42.4952863, -96.4015543 42.4952856, -96.4008236 42.4952914)",25 mph,,
"[525610184, 462427270, 525610183]",Jackson Street,secondary,False,False,122.924,,"LINESTRING (-96.4020013 42.4952824, -96.4019887 42.4946152, -96.4019903 42.4945275, -96.4019904 42.4945035, -96.4019888 42.494177)",25 mph,,
462427270,Jackson Street,secondary,False,True,122.006,,"LINESTRING (-96.4020013 42.4952824, -96.4020046 42.4958309, -96.4020107 42.4963796)",25 mph,,
