osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,bridge,ref,tunnel,junction
147407320,True,3,Ann Street,primary,40,False,223.60899999999998,"LINESTRING (153.0271539 -27.4654983, 153.0270686 -27.4655638, 153.0263489 -27.4661245, 153.0262893 -27.4661709, 153.0255236 -27.466761, 153.0254453 -27.4668195)",,,,,
246443545,True,4,Creek Street,secondary,40,False,28.177,"LINESTRING (153.0271539 -27.4654983, 153.0271255 -27.4654584, 153.0271003 -27.4654166, 153.0270893 -27.4653958, 153.0270704 -27.4653507, 153.0270447 -27.465266)",,,,,
198255782,True,4,Edward Street,secondary,40,False,111.6,"LINESTRING (153.0269588 -27.4683239, 153.0270236 -27.4683923, 153.0272833 -27.4686662, 153.0276348 -27.4690349, 153.0276881 -27.4690911)",,,,,
5870357,True,2,Elizabeth Street,secondary,40,False,220.934,"LINESTRING (153.0260025 -27.4703991, 153.0260596 -27.4703542, 153.026626 -27.4699154, 153.0266868 -27.4698678, 153.0269891 -27.4696327, 153.0271528 -27.4695064, 153.0272065 -27.4694653, 153.027224 -27.4694518, 153.0276127 -27.4691533, 153.0276881 -27.4690911)",,,,,
146419581,False,4,Mary Street,tertiary,40,True,222.21200000000002,"LINESTRING (153.0257937 -27.4732391, 153.0258593 -27.4731881, 153.0266528 -27.4725699, 153.0268841 -27.4723897, 153.0270746 -27.4722413, 153.0274253 -27.4719682, 153.0274863 -27.4719206)",,,,,
"[1011410136, 1243059870]",False,,George Street,tertiary,40,False,111.878,"LINESTRING (153.0257937 -27.4732391, 153.0256439 -27.4730837, 153.025187 -27.4726098, 153.0251227 -27.4725431, 153.0250566 -27.4724745)",,,,,
28968805,True,4,George Street,tertiary,40,False,103.07100000000001,"LINESTRING (153.0227619 -27.4701458, 153.0226863 -27.4700692, 153.0221682 -27.4695443, 153.0221474 -27.4695227, 153.022075 -27.4694474)",,,,,
28969210,False,2,Adelaide Street,unclassified,40,True,103.06,"LINESTRING (153.0227619 -27.4701458, 153.0226743 -27.4701643, 153.0225569 -27.4702125, 153.0223761 -27.470341, 153.0220061 -27.4706478, 153.0219564 -27.4707113)",yes,,,,
198003875,False,2,Adelaide Street,tertiary,40,False,221.123,"LINESTRING (153.0227619 -27.4701458, 153.0228686 -27.4701047, 153.0230038 -27.4700251, 153.02424 -27.4690676, 153.0243323 -27.4689966, 153.0243882 -27.4689513, 153.024421 -27.4689284, 153.0244831 -27.4688807)",yes,,,,
8016475,True,3,Turbot Street,primary,60,False,30.71,"LINESTRING (153.0213226 -27.4686854, 153.0213946 -27.4686292, 153.021421 -27.4686086, 153.0215519 -27.4684987)",,,,,
61756758,True,2,George Street,tertiary,40,False,115.403,"LINESTRING (153.0213226 -27.4686854, 153.0212509 -27.4686181, 153.0211993 -27.4685697, 153.0211704 -27.4685418, 153.0206466 -27.4680079, 153.0206141 -27.4679743, 153.0205493 -27.4679069)",,,,,
28968851,True,5,Edward Street,secondary,40,False,110.03899999999999,"LINESTRING (153.024766 -27.4660426, 153.0247866 -27.4660944, 153.0248094 -27.4661395, 153.024818 -27.4661565, 153.0248716 -27.4662268, 153.024928 -27.4662953, 153.0249823 -27.4663567, 153.025039 -27.4664165, 153.0253869 -27.4667615, 153.0254453 -27.4668195)",,,,,
"[244036586, 244036587]",False,5,Edward Street,secondary,60,False,137.909,"LINESTRING (153.024766 -27.4660426, 153.0247612 -27.4660303, 153.0247419 -27.4659644, 153.024737 -27.4659393, 153.0247288 -27.4658974, 153.024722 -27.4658252, 153.0247225 -27.4657529, 153.0247302 -27.4656808, 153.0247467 -27.4655773, 153.0247692 -27.4654746, 153.0247979 -27.4653732, 153.0248317 -27.4652757, 153.024871 -27.4651798, 153.0250014 -27.4648429)",,,,,
"[996645721, 214322321, 214322323, 1011001590]",True,3,Turbot Street,primary,60,False,286.671,"LINESTRING (153.024766 -27.4660426, 153.0248758 -27.4659576, 153.0249715 -27.4658835, 153.0250604 -27.4658147, 153.025225 -27.4656872, 153.0253156 -27.4656171, 153.0254356 -27.4655349, 153.0255595 -27.4654573, 153.0256871 -27.4653845, 153.0258373 -27.4653072, 153.0259928 -27.4652286, 153.026105 -27.4651719, 153.0264661 -27.4649893, 153.0266802 -27.4648812, 153.0267693 -27.4648325, 153.0268565 -27.4647812, 153.0269756 -27.4647046, 153.0270903 -27.4646231, 153.0271459 -27.4645795)",,yes,,,
9628273,False,2,Wickham Terrace,tertiary,50,True,114.79899999999999,"LINESTRING (153.0250014 -27.4648429, 153.024845 -27.4648922, 153.0248151 -27.4649016, 153.0246527 -27.4649955, 153.0242927 -27.4652038, 153.0240147 -27.4653809)",,,,,
"[244036586, 244036587]",False,5,Edward Street,secondary,60,True,137.909,"LINESTRING (153.0250014 -27.4648429, 153.024871 -27.4651798, 153.0248317 -27.4652757, 153.0247979 -27.4653732, 153.0247692 -27.4654746, 153.0247467 -27.4655773, 153.0247302 -27.4656808, 153.0247225 -27.4657529, 153.024722 -27.4658252, 153.0247288 -27.4658974, 153.024737 -27.4659393, 153.0247419 -27.4659644, 153.0247612 -27.4660303, 153.024766 -27.4660426)",,,,,
480331902,False,2,Wickham Terrace,tertiary,50,False,62.849000000000004,"LINESTRING (153.0250014 -27.4648429, 153.0251037 -27.4648196, 153.0251327 -27.4648131, 153.0252653 -27.4647883, 153.0253683 -27.4647728, 153.0256268 -27.4647377)",,,,,
"[280420482, 280421138, 26253158]",True,2,Wickham Terrace,tertiary,"['50', '40']",False,177.878,"LINESTRING (153.0270447 -27.465266, 153.0269968 -27.4651645, 153.0269824 -27.4651353, 153.0269722 -27.4651048, 153.0269428 -27.4649906, 153.0269295 -27.4649441, 153.0269089 -27.4648996, 153.0268867 -27.464866, 153.0268815 -27.4648581, 153.0268478 -27.4648205, 153.0268078 -27.4647868, 153.0267628 -27.4647586, 153.0267374 -27.4647471, 153.0267136 -27.4647363, 153.0266514 -27.4647171, 153.0265872 -27.4647077, 153.0265239 -27.4647079, 153.026176 -27.4647305, 153.026148 -27.4647319, 153.0260881 -27.4647347, 153.0260093 -27.4647384, 153.0259325 -27.464742, 153.025844 -27.4647461, 153.0256268 -27.4647377)",,yes,,,
9628273,False,2,Wickham Terrace,tertiary,50,False,47.668,"LINESTRING (153.0212782 -27.4647286, 153.0216852 -27.4649596)",,,,,
29336948,True,,Wickham Terrace,tertiary,,False,40.089999999999996,"LINESTRING (153.0212782 -27.4647286, 153.0212025 -27.4647142, 153.0209322 -27.4645479)",,,,,
9628273,False,2,Wickham Terrace,tertiary,50,True,47.668,"LINESTRING (153.0216852 -27.4649596, 153.0212782 -27.4647286)",,,,,
9628273,False,2,Wickham Terrace,tertiary,50,False,166.85000000000002,"LINESTRING (153.0216852 -27.4649596, 153.0217671 -27.4650046, 153.0221412 -27.4652101, 153.0224979 -27.4654065, 153.02278 -27.4655639, 153.02285 -27.465601, 153.022931 -27.4656258, 153.022994 -27.4656302, 153.0231653 -27.465634)",,,,,
"[1210910978, 26252772]",True,1,Wickham Terrace,tertiary,50,False,151.145,"LINESTRING (153.0256268 -27.4647377, 153.0258473 -27.4646878, 153.0260367 -27.4646698, 153.0260816 -27.4646656, 153.0261048 -27.4646634, 153.0263552 -27.4646435, 153.0267987 -27.4646084, 153.0268214 -27.4646066, 153.0268669 -27.4646028, 153.0270239 -27.4645897, 153.0270529 -27.4645873, 153.0271459 -27.4645795)",,yes,,,
480331902,False,2,Wickham Terrace,tertiary,50,True,62.849,"LINESTRING (153.0256268 -27.4647377, 153.0253683 -27.4647728, 153.0252653 -27.4647883, 153.0251327 -27.4648131, 153.0251037 -27.4648196, 153.0250014 -27.4648429)",,,,,
47346502,False,,Herschel Street,tertiary,,False,38.385,"LINESTRING (153.0198611 -27.4671847, 153.0199572 -27.4671055, 153.0200437 -27.4670341, 153.0200607 -27.4670201, 153.0200804 -27.4670035, 153.0201461 -27.4669497)",,,,,
61756758,True,2,George Street,tertiary,40,False,75.85499999999999,"LINESTRING (153.0198611 -27.4671847, 153.0195882 -27.4668866, 153.0195373 -27.4668384, 153.0194776 -27.4668009, 153.0194347 -27.4667753, 153.019312 -27.4667218)",,,,,
198419641,False,2,Herschel Street,tertiary,40,True,179.54399999999998,"LINESTRING (153.0198611 -27.4671847, 153.0197986 -27.4672329, 153.019208 -27.4677013, 153.018574 -27.4681939, 153.0185535 -27.4682102, 153.0184963 -27.4682527)",,,,,
"[1225193000, 38898527]",True,4,North Quay,primary,40,False,63.437,"LINESTRING (153.0203124 -27.4695414, 153.0205819 -27.4697116, 153.0208239 -27.4698866)",,,,,
"[1225192994, 8039445]",True,1,Turbot Street,primary,60,False,100.261,"LINESTRING (153.0203124 -27.4695414, 153.0203428 -27.4695095, 153.0204804 -27.4693779, 153.020506 -27.469354, 153.0208038 -27.4691243, 153.0209965 -27.4689881, 153.0210241 -27.4689133)",,,,,
"[1011410136, 1243059870]",False,,George Street,tertiary,40,True,111.87799999999999,"LINESTRING (153.0250566 -27.4724745, 153.0251227 -27.4725431, 153.025187 -27.4726098, 153.0256439 -27.4730837, 153.0257937 -27.4732391)",,,,,
1191701710,True,3,George Street,tertiary,40,False,111.97399999999999,"LINESTRING (153.0250566 -27.4724745, 153.0250067 -27.472425, 153.0248101 -27.4722298, 153.0243711 -27.4717955, 153.0243438 -27.4717682, 153.0242991 -27.4717246)",,,,,
146419581,False,4,Mary Street,tertiary,40,False,222.212,"LINESTRING (153.0274863 -27.4719206, 153.0274253 -27.4719682, 153.0270746 -27.4722413, 153.0268841 -27.4723897, 153.0266528 -27.4725699, 153.0258593 -27.4731881, 153.0257937 -27.4732391)",,,,,
732321214,False,,Albert Street,tertiary,40,False,110.50299999999999,"LINESTRING (153.0274863 -27.4719206, 153.0275454 -27.4719838, 153.0281438 -27.4726251, 153.0282007 -27.472686)",,,,,
732321214,False,,Albert Street,tertiary,40,True,110.50299999999999,"LINESTRING (153.0282007 -27.472686, 153.0281438 -27.4726251, 153.0275454 -27.4719838, 153.0274863 -27.4719206)",,,,,
1016550310,True,4,Edward Street,secondary,40,False,112.38499999999999,"LINESTRING (153.0276881 -27.4690911, 153.0277235 -27.4691286, 153.0277818 -27.4691647, 153.0280974 -27.4694882, 153.0283784 -27.4697925, 153.0284386 -27.4698486)",,,,,
8036229,True,1,Albert Street,living_street,10,False,58.464999999999996,"LINESTRING (153.0244831 -27.4688807, 153.0245337 -27.4689356, 153.0245608 -27.4689619, 153.0248735 -27.4692762)",,,,,
